Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,113290.126331,76.3,7.6,7.9,4.0,10.3,0.0,54.0,30267367993800,2317629526800,64810536420,1764123480,13230926100,12390867300,33518346120,42002940,17.862860,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4a0
[vmlinux],99228.421572,55.5,2.8,0.0,4.5,0.8,20.3,1.0,1265959977660,582137463600,2898202860,168011760,588041160,0,546038220,42002940,54.393872,vmlinux,[vmlinux],[Unknown],0x0
duplicateGivenGraph$omp$parallel_for@169,79168.736604,32.2,2.9,0.5,11.1,26.8,12.2,0.0,337942137960,257467723800,210014700,84005880,0,0,0,0,323.714141,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@169,utilityFunctions.cpp,0x44cd34
max,35941.859612,86.6,0.5,3.2,4.3,8.8,0.0,75.6,1812564375300,81902457000,30326122680,42002940,4536317520,7266508620,17095196580,0,28.160856,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfb0
sumVertexDegree$omp$parallel_for@74,26150.231444,72.8,0.0,0.1,13.0,10.3,0.0,66.3,84296528820,3570107100,12978908460,1638114660,1218085260,6174432180,3066214620,0,976.833333,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43ceec
parallelLouvianMethod$omp$parallel_for@237,16158.827493,53.0,4.1,7.9,8.0,50.5,2.9,0.0,32886986580,17430522900,42002940,0,0,0,0,0,33.206897,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430bd0
_int_free,8796.933046,52.0,43.5,2.4,3.4,8.5,1.8,8.9,4669196071680,2040211204500,966067620,84005880,462032340,126008820,210014700,0,18.334677,libc-2.29.so,_int_free,malloc.c,0x950c0
parallelLouvianMethod$omp$parallel_for@210,7212.324097,51.8,0.0,42.7,6.1,0.0,0.0,36.9,13230396900,0,336023520,0,0,210014700,42002940,0,327.880952,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x430ee3
__GI___libc_malloc,7094.655116,46.5,65.5,0.8,0.7,0.0,0.4,2.6,3259213773480,1152304568100,0,0,0,0,42002940,0,13.719949,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
plm_init$omp$parallel_for@285,6593.646742,70.2,0.4,0.0,0.6,0.0,50.8,0.0,0,23520705600,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x431f90
__kmpc_atomic_float8_add,5402.313677,91.4,39.0,0.0,18.5,0.0,0.0,42.0,53677610280,8610258300,1050073500,0,0,252017640,462032340,0,71.703704,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
malloc_consolidate,5216.658174,81.4,5.0,11.0,5.5,27.3,9.4,22.9,646399391400,261457843500,13188923160,210014700,7854549780,3192223440,1428099960,0,45.740369,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
std::_Rb_tree_increment,4515.874018,81.3,5.3,6.5,1.6,38.4,0.0,37.4,691382740860,0,13986979020,84005880,7182502740,3402238140,1470102900,0,18.440016,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
std::_Rb_tree_insert_and_rebalance,4470.898318,11.1,17.1,6.6,1.3,4.9,0.4,11.9,3918087539100,1990019698800,1050073500,0,420029400,168011760,462032340,0,13.834088,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__kmpc_atomic_float8_sub,3601.193803,90.7,23.8,4.2,27.0,0.0,0.0,35.4,67286018520,11340340200,882061740,0,0,168011760,756052920,0,14.888889,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
_int_malloc,3272.243628,16.7,28.3,1.4,2.8,0.0,0.3,7.6,1837891135080,1973429201100,84005880,0,0,168011760,168011760,0,16.509530,libc-2.29.so,_int_malloc,malloc.c,0x966c0
plm_analyzeClusters$omp$parallel_for@64,2398.355327,60.1,3.4,1.7,1.5,2.4,8.4,56.9,720489614040,290018700300,1008070560,0,42002940,84005880,504035280,0,21.945319,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431684
__intel_avx_rep_memcpy,1719.536048,69.6,30.0,0.0,1.6,26.7,6.3,0.0,378011340,420012600,0,0,0,0,0,0,966.333333,driverForGraphClustering,__intel_avx_rep_memcpy,[Unknown],0x46e400
__GI_,1654.164391,20.0,22.2,2.4,4.0,11.2,0.0,17.8,1534348029060,156874706100,3780264600,42002940,1596111720,1512105840,336023520,0,13.210943,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",1602.913013,83.1,0.3,2.4,3.6,43.4,0.0,37.8,91478744280,23940718200,2016141120,42002940,840058800,294020580,210014700,0,27.446759,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41e310
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1498.841336,14.2,10.3,0.1,0.0,0.0,0.0,0.0,1214172424080,115923477600,0,0,0,0,0,0,15.519477,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
func@0xbcd30,1189.241172,13.7,24.5,1.3,0.3,14.6,0.0,6.8,1451185534260,0,882061740,0,630044100,168011760,42002940,0,12.835211,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
unlink_chunk,1172.506028,83.4,5.8,2.4,3.7,40.5,4.1,28.2,96392891700,23940718200,5838408660,126008820,3696258720,1050073500,714049980,0,33.193732,libc-2.29.so,unlink_chunk,malloc.c,0x93760
unlink_chunk,1037.055956,84.5,0.0,4.3,9.7,28.0,9.2,32.8,146668399920,250747522200,4746332220,0,2814196980,1890132300,462032340,0,23.514329,libc-2.29.so,unlink_chunk,malloc.c,0x94987
__intel_ssse3_rep_memmove,845.124773,57.8,20.9,2.5,0.4,10.5,24.0,13.8,268010040060,210426312600,210014700,0,42002940,42002940,0,0,25.448517,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47b5b0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",818.453137,90.7,1.6,0.0,3.0,90.4,0.0,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41e310
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",816.884217,90.1,13.5,0.0,0.0,94.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41e310
