Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,26654.589732,71.3,3.3,0.8,6.3,63.4,0.0,0.0,16825662754740,1191071731080,171245986380,46035222240,110803755720,0,0,4662326340,15.887740,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4a0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5882.946753,12.6,8.4,0.0,0.0,0.0,0.0,0.0,5079590383140,473606207760,0,0,0,0,0,0,6.898000,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,3626.116180,73.9,0.7,1.6,0.2,75.7,0.0,0.0,1323669708900,40993229760,77831447820,18271278900,56241936660,0,0,588041160,34.449259,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfb0
_int_free,1486.641739,0.1,10.1,0.3,0.2,0.1,1.2,0.0,3245479361460,1363948917240,0,0,0,0,0,0,9.114205,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,1244.084815,5.2,10.8,0.8,0.5,3.3,0.0,0.0,2174951246580,643627308240,0,0,0,0,0,42002940,9.688905,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,1172.619952,8.2,12.1,2.4,3.3,2.8,0.0,0.0,2919129571260,1282046460240,0,0,0,0,0,0,7.678887,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1152.302280,19.2,20.3,1.4,0.4,1.1,0.0,0.0,1097618927580,1019370580200,0,0,0,0,0,0,19.272904,libc-2.29.so,_int_malloc,malloc.c,0x966c0
[vmlinux],1115.746159,55.9,4.6,0.0,6.0,5.0,27.3,0.0,286280588160,180437412960,168011760,252017640,84005880,0,0,0,14.939627,vmlinux,[vmlinux],[Unknown],0x0
sumVertexDegree$omp$parallel_for@74,1047.968286,95.3,3.7,0.0,2.0,89.6,0.0,0.0,3780113400,0,0,42002940,0,0,0,0,11.500000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43ceec
duplicateGivenGraph$omp$parallel_for@169,861.108457,88.1,9.7,0.0,33.1,22.2,18.5,0.0,10458313740,9072272160,0,0,0,0,0,0,321.000000,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@169,utilityFunctions.cpp,0x44cd34
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",672.679696,10.5,5.9,0.0,0.0,0.0,0.0,0.0,595115852940,58045741320,0,0,0,0,0,0,6.745387,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
plm_analyzeClusters$omp$parallel_for@64,528.965503,19.2,13.5,0.0,1.4,9.1,15.4,0.0,568277047800,329541885960,378026460,168011760,378026460,0,0,0,9.752969,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431684
__GI_,492.566275,0.0,18.8,1.4,0.0,0.8,1.0,0.0,1078718360580,107187215520,0,0,0,0,0,0,7.506590,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
parallelLouvianMethod$omp$parallel_for@237,328.691303,89.1,3.0,57.4,5.3,10.1,14.9,0.0,43849315440,21420642600,126008820,42002940,0,0,0,0,156.175926,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430bd0
plm_init$omp$parallel_for@285,288.918871,90.1,0.0,0.0,0.0,0.0,90.6,0.0,0,26880806400,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x431f90
malloc_consolidate,216.983328,7.1,13.6,2.5,1.0,0.7,0.0,0.0,316017480240,101055031560,0,42002940,0,0,0,0,15.165249,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
tcache_get,167.326623,0.0,7.1,0.0,0.5,1.0,0.0,0.0,203244097140,616494494280,0,0,0,0,0,0,7.312893,libc-2.29.so,tcache_get,malloc.c,0x98bd9
