Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,39885.043378,90.5,2.2,16.3,3.7,72.1,0.0,32.9,4394147820480,371243136960,68164771200,19297350720,22321562400,8976628320,9264648480,1536107520,40.155345,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
sumVertexDegree$omp$parallel_for@83,6057.703128,50.1,0.0,0.1,8.0,75.7,0.0,75.7,3456103680,0,480033600,0,0,0,480033600,0,262.000000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e5bc
max,5049.328023,90.1,0.8,0.1,2.7,90.8,0.0,42.1,333898016640,3216096480,14353004640,2304161280,4800336000,1920134400,1584110880,192013440,53.234679,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1233.976563,9.3,8.8,0.0,0.0,0.0,0.0,0.0,1078592356800,100275008160,0,0,0,0,0,0,6.899055,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",726.356940,89.1,0.6,49.4,1.1,43.8,0.0,43.8,58369751040,47473424160,288020160,0,0,96006720,240016800,0,33.500000,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43efbb
std::_Rb_tree_insert_and_rebalance,560.048592,0.0,23.0,1.0,0.8,1.1,0.1,0.0,606642198720,312489374400,0,0,0,0,0,0,7.394400,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,514.483765,6.0,23.5,2.6,1.5,3.6,0.0,2.0,356458693440,320457613440,0,96006720,0,48003360,0,0,14.378687,libc-2.29.so,_int_malloc,malloc.c,0x966c0
_int_free,508.796334,0.0,15.0,0.8,0.7,0.7,1.4,0.0,749494484160,338794163520,48003360,48003360,0,0,0,0,8.664956,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,413.482823,0.0,20.0,1.1,0.0,1.7,0.2,0.0,475694270400,149908497120,0,0,0,0,0,0,9.233279,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,209.585127,0.0,26.3,0.7,0.0,1.7,0.0,0.0,215526465600,0,0,0,0,0,0,0,6.966867,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
plm_analyzeClusters$omp$parallel_for@64,174.022336,55.2,11.5,0.0,5.9,62.7,0.2,62.7,94370831040,21024630720,48003360,0,0,96006720,96006720,0,8.915888,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
__GI_,162.320609,0.0,31.5,0.4,0.0,2.9,0.0,0.0,238663159680,25440763200,48003360,48003360,0,0,0,0,7.977204,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,113.748634,2.8,20.6,5.9,4.8,4.8,0.0,0.0,87266617920,46705401120,48003360,144010080,0,0,0,0,11.280543,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",100.543333,7.7,6.9,0.3,0.0,0.0,0.0,0.0,92258767680,8832264960,0,0,0,0,0,0,6.783069,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
__kmpc_atomic_float8_add,97.274694,91.6,24.7,0.0,0.6,69.2,0.0,0.0,960028800,144004320,192013440,0,0,0,0,0,0.0,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
std::_Rb_tree_increment,70.210364,25.9,21.7,1.3,4.8,26.1,0.0,0.0,84770543040,0,96006720,0,0,0,0,0,8.651297,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",69.622009,90.3,1.9,,3.4,,0.0,,5184155520,2160064800,0,0,0,48003360,0,0,7.000000,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43ef43
tcache_get,63.215477,0.0,12.4,0.0,0.0,2.9,0.0,0.0,66241987200,155668669920,0,0,0,0,0,0,7.724832,libc-2.29.so,tcache_get,malloc.c,0x98bd9
parallelLouvianMethod$omp$parallel_for@237,60.535193,69.6,8.6,67.7,14.0,8.6,0.8,0.0,1920057600,1584047520,0,0,0,0,0,0,7.000000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4322a0
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",60.469820,4.8,7.0,6.5,3.2,7.6,0.0,0.0,62593877760,0,0,0,0,0,0,0,7.320000,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43ec6e
apic_timer_interrupt,55.305370,58.7,0.0,7.5,0.0,26.1,0.0,0.0,0,48001440,0,0,0,0,0,0,0.0,vmlinux,apic_timer_interrupt,[Unknown],0xffffffff8bc01a60
plm_init$omp$parallel_for@285,51.579122,91.0,0.0,0.0,0.0,1.8,67.2,0.0,0,1728051840,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x433660
__kmpc_atomic_float8_sub,51.317631,95.7,7.1,7.6,3.8,67.1,0.0,0.0,1152034560,240007200,0,0,0,0,0,0,328.000000,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
operator new,49.487193,0.0,20.4,,3.2,,0.0,,14304429120,5568167040,0,0,0,0,0,0,7.228856,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
