Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,9430156318320,124350944351040,91519746421200,997085911680,26688800640,4394147820480,371243136960,53718510720,24720741600,39841195200,124658102831616,114586728060288,93955337800960,89312770991872,117378412154752,42240061952,1630176903840,768023040,1152034560,2898244250752,1629122389376,3840005632,23040033792,45651195360,6494409525120,298560437888,960001408,126856506055936,2016030240,0,0,7728231840,0,0,0,25296758880,48001440,5234877600,0,0,19297350720,22321562400,1536107520,0,9264648480,128403852000,4092486002304,117315519360,27552826560,17095176960,68164771200,8976628320,0,4704141120,0,0,0,0,0,7227850600832,119263854920064,179520263296,10602255549952,8197452022912,2157085331520,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
_int_free,3123254956320,1611038664000,1167478018800,13248397440,384011520,749494484160,338794163520,10289485920,96002880,0,1678082461184,33600049280,21120030976,10560015488,274560402688,0,4080122400,0,0,393600577280,338880497024,22080032384,2880004224,2592181440,1032961515008,4800007040,0,140160205568,768011520,0,336010080,4704141120,27121898400,0,0,0,0,0,0,0,48003360,0,0,0,0,2832084960,710401041920,4896146880,5088152640,168070560,48003360,0,0,0,0,0,0,0,0,4800007040,122880180224,55680081664,2733124008576,2792644095872,89157939360,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2405847738960,3891873402720,2831467953600,33024990720,2448073440,1078592356800,100275008160,12699808800,0,0,4032005913600,1920002816,960001408,0,342720502656,0,192005760,0,0,467520685696,397440582912,0,646080947584,7488524160,1565762296448,0,0,5760008448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833281222144,48001440,0,0,0,0,0,0,0,0,0,0,2880004224,0,48960071808,118080173184,3169924649216,3110404561920,87616677120,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,1887345295200,1717781225760,1285080841200,14064421920,720021600,606642198720,312489374400,6001800000,288008640,480014400,1788482623104,48000070400,31680046464,18240026752,443520650496,0,47953438560,432012960,1488044640,396480581504,263040385792,960001408,17280025344,12576880320,1541762261248,127680187264,0,109440160512,1152017280,0,0,2640079200,0,0,0,0,0,0,0,0,0,0,0,0,0,1824054720,584640857472,3408102240,2928087840,96040320,0,0,0,48001440,0,0,0,0,0,43200063360,819841202432,1920002816,2199363225728,1572482306304,44379709920,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,1831723960320,1327531860000,948772770000,9552286560,576017280,475694270400,149908497120,5886565440,0,0,1320001936000,34560050688,20160029568,23040033792,300480440704,960001408,36769103040,336010080,2736082080,262080384384,262080384384,2880004224,5760008448,5712399840,854401253120,27840040832,0,63360092928,1152017280,0,0,3120093600,16417149120,0,0,0,0,0,0,0,0,0,0,0,0,96002880,420480616704,1392041760,2016060480,0,0,0,0,0,0,0,0,0,0,36480053504,704641033472,24000035200,2136003132800,1753922572416,54352300800,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,1773582564960,1607618581920,1180528332000,12144364320,192005760,356458693440,320457613440,5046313440,48001440,144004320,1605122354176,123840181632,81600119680,57600084480,501120734976,0,6816204480,144004320,336010080,350400513920,326400478720,0,11520016896,5520386400,664320974336,43200063360,0,232320340736,480007200,0,11760352800,1392041760,18865320480,0,0,0,0,0,0,0,96006720,0,0,0,0,1056031680,357120523776,15072452160,14448433440,96040320,0,48003360,0,0,0,0,0,0,0,37440054912,747841096832,7680011264,2019842962432,1809602654080,72559361280,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,864740753280,15655335719040,11586128060400,121779653280,2304069120,333898016640,3216096480,3212163360,1536046080,4992149760,15486742713856,14657301497344,14640021472000,14213780846848,14789781691648,2880004224,663763912320,48001440,336010080,439680644864,184320270336,0,9600014080,2304161280,704641033472,76800112640,0,25783717816064,96001440,0,0,2400072000,0,0,0,8592257760,0,912501600,0,0,2304161280,4800336000,192013440,0,1584110880,11568347040,254400373120,40369211040,8592257760,5234197440,14353004640,1920134400,0,144004320,0,0,0,0,0,286080419584,15222742326656,20160029568,1269121861376,905281327744,170998484160,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
func@0xbcd30,652335655680,672496139520,480911541600,5328159840,48001440,215526465600,0,1594078080,144004320,144004320,655680961664,16320023936,11520016896,11520016896,192960283008,0,36625098720,96002880,0,136320199936,88320129536,0,8640012672,18145270080,677760994048,101760149248,0,51840076032,864012960,0,0,1392041760,0,0,0,0,0,0,0,0,0,0,0,0,0,768023040,215040315392,1104033120,1104033120,120050400,0,0,0,0,0,0,0,0,0,13440019712,349440512512,960001408,616320903936,633600929280,11105730720,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,396549516960,500592013920,372458938800,3888116640,192005760,238663159680,25440763200,3159347520,48001440,0,530880778624,14400021120,12480018304,14400021120,171840252032,0,24768743040,48001440,288008640,103680152064,76800112640,0,7680011264,15745102080,672000985600,15360022528,0,36480053504,768011520,0,48001440,384011520,0,0,0,0,0,0,0,0,48003360,0,0,0,0,96002880,218880321024,5568167040,4800144000,192080640,48003360,0,0,0,0,0,0,0,0,0,72960107008,960001408,740161085568,391680574464,25202758560,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,393849452160,376569037440,261006264000,3600108000,432012960,87266617920,46705401120,1061118240,0,0,362880532224,58560085888,36480053504,18240026752,136320199936,960001408,8544256320,1104033120,1824054720,83520122496,56640083072,0,4800007040,4704329280,260160381568,20160029568,0,170880250624,0,0,0,432012960,1008070560,0,0,192005760,0,0,0,0,144010080,0,0,0,0,3312099360,63360092928,6864205920,6144184320,1032433440,48003360,0,0,0,0,0,0,0,0,10560015488,104640153472,2880004224,459840674432,360960529408,11969989920,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
