Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
[vmlinux],386273.698170,26.8,8.7,0.0,1.1,0.4,9.4,0.4,13528689848520,831372940440,2352164640,210014700,546038220,168011760,252017640,84005880,12.150832,vmlinux,[vmlinux],[Unknown],0x0
buildLocalMapCounter,175437.284250,78.3,5.3,7.2,4.2,0.2,0.0,68.8,30026280761400,2306877204240,64222495260,252017640,168011760,9870690900,53427739680,0,21.194339,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4a0
max,52768.012972,84.7,0.3,2.5,2.3,0.0,0.0,83.6,1744564335360,75098252880,30620143260,42002940,0,3654255780,24613722840,0,29.846432,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfb0
parallelLouvianMethod$omp$parallel_for@237,28875.724690,53.0,3.6,4.3,7.4,54.8,2.8,0.0,33264997920,18144544320,84005880,0,0,0,0,0,64.598485,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430bd0
_int_free,20174.639465,73.7,54.8,2.3,2.8,0.0,1.9,20.4,4766596993620,2099474982360,630044100,0,0,126008820,504035280,0,22.457877,libc-2.29.so,_int_free,malloc.c,0x950c0
sumVertexDegree$omp$parallel_for@74,19702.487554,75.1,0.0,0.1,14.8,8.8,0.0,65.9,84548536380,2772083160,14070984900,2478173460,882061740,7476523320,3780264600,0,992.028302,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43ceec
duplicateGivenGraph$omp$parallel_for@169,19013.093205,53.5,0.3,37.6,2.4,4.4,3.0,0.0,333111993060,248731461720,126008820,84005880,0,0,0,0,45.941948,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@169,utilityFunctions.cpp,0x44cd34
parallelLouvianMethod$omp$parallel_for@210,15077.325973,46.7,0.0,16.2,5.9,0.0,0.0,61.9,12012360360,0,210014700,0,0,126008820,42002940,0,233.019231,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x430ee3
plm_init$omp$parallel_for@285,14270.550629,72.9,0.0,0.0,0.5,0.0,53.1,0.0,0,27720831600,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x431f90
malloc_consolidate,13881.616587,88.6,8.2,10.5,5.0,0.0,9.4,51.5,638041140660,258811764120,13356934920,0,0,3192223440,10332723240,0,39.771739,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI___libc_malloc,12999.507171,61.4,72.1,0.0,0.8,3.3,0.2,0.0,3338050138500,1186199584920,0,0,0,0,0,0,17.724646,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_increment,10184.991232,86.3,3.4,1.7,0.0,0.0,0.0,84.0,718893566160,0,12516876120,0,0,3066214620,9492664440,0,23.075480,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
__kmpc_atomic_float8_add,7714.734478,89.3,47.1,0.0,12.3,0.0,0.0,41.1,57751732500,9828294840,840058800,0,0,42002940,546038220,0,39.156250,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
std::_Rb_tree_insert_and_rebalance,6701.228427,30.9,15.8,9.7,3.7,0.0,0.3,26.8,4003812110760,1970699119200,1428099960,0,0,126008820,1260088200,0,14.520787,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__kmpc_atomic_float8_sub,4777.581679,88.6,30.9,3.7,27.6,0.0,0.0,37.4,70226106720,10080302400,546038220,0,0,84005880,462032340,0,91.843750,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
_int_malloc,4072.419733,20.4,33.2,0.0,1.0,0.0,0.0,10.3,1819872594540,1986575595480,210014700,0,0,84005880,168011760,0,18.333286,libc-2.29.so,_int_malloc,malloc.c,0x966c0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",3728.160547,89.4,0.0,1.4,12.0,0.0,0.1,77.6,97946938320,23436703080,1344094080,0,0,546038220,1512105840,0,37.681818,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41e310
plm_analyzeClusters$omp$parallel_for@64,3397.917003,64.3,4.1,0.0,3.9,0.0,12.0,57.8,735526065120,286532595720,966067620,0,0,42002940,546038220,0,17.024954,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431684
unlink_chunk,3387.405272,89.7,6.3,4.7,6.5,0.0,4.6,67.6,107649229380,31752952560,4410308700,0,0,1386097020,2898202860,0,55.215625,libc-2.29.so,unlink_chunk,malloc.c,0x93760
