Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,54630.091160,69.4,11.0,16.2,3.8,13.0,23.5,58.0,44.2,6.2,4.0,0.0,31.7,15.1,24.7,30511563319440,2383865513820,64096486440,21043472940,8736611520,12810896700,18061264200,0,15.740466,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dc00
sumVertexDegree$omp$parallel_for@74,43406.736373,75.0,0.0,0.1,14.5,0.0,71.5,16.3,9.7,0.0,0.0,0.0,69.3,40.4,5.1,81650449440,3150094500,4284299880,0,0,2730191100,294020580,0,403.368182,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d64c
max,8227.985707,77.6,1.6,3.4,4.7,27.8,17.8,73.4,43.4,12.0,9.8,0.0,47.7,25.4,36.0,1805886174960,81272438100,29612072700,9408658560,4956346920,4956346920,6048423360,42002940,25.842653,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e710
_int_free,3474.334753,14.2,21.0,1.9,1.8,4.1,5.6,16.7,14.3,2.5,0.0,0.0,5.8,2.8,2.5,4664407928040,2056633697160,1176082320,588041160,0,168011760,126008820,0,15.093878,libc-2.29.so,_int_free,malloc.c,0x950c0
parallelLouvianMethod$omp$parallel_for@237,3450.108647,62.9,7.3,51.8,7.2,2.2,47.4,29.2,50.0,1.4,0.0,0.0,7.4,0.0,6.5,30744922320,14616438480,84005880,42002940,0,0,42002940,0,153.000000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x431330
std::_Rb_tree_insert_and_rebalance,3233.851757,6.4,17.3,1.4,1.7,2.7,14.5,36.6,5.6,1.4,0.0,0.0,4.5,3.0,0.6,3968867062440,1966036979340,1176082320,462032340,0,252017640,42002940,0,10.681717,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,3100.274787,16.0,32.2,0.5,3.0,1.7,12.5,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333051988560,1198169944020,0,0,0,0,0,0,12.673346,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_increment,2459.505398,80.5,4.5,3.1,3.9,26.8,17.2,69.9,10.4,22.3,1.0,0.0,48.3,49.6,15.9,697808933640,0,12852899640,6048423360,168011760,3360235200,924064680,0,18.422830,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
_int_malloc,2430.389619,12.8,21.8,0.9,0.4,0.5,14.1,31.8,0.0,0.4,0.0,0.0,2.5,2.9,0.0,1828062840240,2001066030180,420029400,126008820,0,252017640,0,0,13.373628,libc-2.29.so,_int_malloc,malloc.c,0x966c0
malloc_consolidate,2169.458900,72.1,5.1,6.9,2.8,25.3,21.2,49.9,6.6,45.7,0.0,0.0,34.4,75.2,21.4,619938597600,245077352100,14365005480,9198643860,0,3780264600,924064680,0,33.148455,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
