Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,58804.088262,71.0,10.3,16.7,3.7,9.8,0.0,37.0,30161524818600,2348332447860,64474512900,14449011360,7518526260,15961117200,20917464120,42002940,15.736957,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dc00
sumVertexDegree$omp$parallel_for@74,14396.023344,72.6,0.0,0.7,11.1,0.0,0.0,73.1,91226736720,2520075600,10542737940,0,0,6174432180,3822267540,0,401.033654,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d64c
native_queued_spin_lock_slowpath,14236.829909,21.6,15.0,0.1,0.8,1.6,0.0,0.0,717465523320,882026460,210014700,0,0,0,0,42002940,28.336122,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff910f1320
max,9958.061833,81.2,1.6,1.4,4.5,20.5,0.0,59.0,1816974507600,77618328480,29234046240,6678467460,3906273420,5670396900,7980558600,0,26.198574,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e710
parallelLouvianMethod$omp$parallel_for@237,7540.664557,52.9,1.4,18.4,5.6,43.4,2.6,0.0,29988899640,14364430920,168011760,42002940,0,0,0,0,19.250000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x431330
plm_init$omp$parallel_for@285,4947.338663,76.8,0.0,0.0,0.3,0.4,54.2,0.0,0,23436703080,0,0,0,0,0,0,8.000000,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x4326f0
_int_free,3890.930195,21.6,25.3,3.3,1.3,2.7,1.5,9.3,4647775429080,2061043829460,1512105840,336023520,0,294020580,126008820,0,14.448351,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,3592.207168,25.5,40.3,0.0,3.6,2.7,0.1,0.0,3366064978920,1196153883540,0,0,0,0,0,0,14.780985,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,3279.050044,8.0,18.7,2.2,1.3,2.7,0.1,7.0,3972395168280,1963138892400,1386097020,714049980,0,504035280,168011760,0,10.962177,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
parallelLouvianMethod$omp$parallel_for@210,3125.295544,52.4,0.0,32.5,9.7,8.0,0.0,31.4,13356400680,0,588041160,168011760,84005880,294020580,168011760,0,239.333333,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x431643
std::_Rb_tree_increment,2816.531406,82.5,6.0,0.0,8.1,17.4,0.0,54.9,693524805120,0,12222855540,4914343980,168011760,4284299880,1764123480,0,22.053689,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
malloc_consolidate,2552.115505,74.9,7.8,8.3,3.7,19.6,3.4,40.1,650683519920,248227446600,14070984900,8232576240,42002940,4578320460,1680117600,0,34.993679,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
_int_malloc,2412.167531,14.8,23.2,0.9,0.3,0.7,0.0,2.7,1823526704160,1980401410260,378026460,126008820,0,210014700,0,0,13.127442,libc-2.29.so,_int_malloc,malloc.c,0x966c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1460.353962,11.2,8.2,0.1,0.0,0.1,0.0,0.0,1081616447520,102567076920,0,0,0,0,0,0,10.352959,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
plm_analyzeClusters$omp$parallel_for@64,1358.060152,51.1,4.1,0.3,5.3,7.2,5.0,44.7,698312948760,299384981280,1344094080,336023520,42002940,588041160,336023520,0,13.665258,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431de4
__kmpc_atomic_float8_add,1322.288697,90.1,37.2,0.0,10.1,10.2,0.0,42.3,60481814400,9828294840,630044100,210014700,0,210014700,210014700,84005880,144.602941,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",1232.755465,85.2,0.0,4.3,1.6,29.6,0.0,56.8,95762872800,22554676620,1470102900,1218085260,0,546038220,294020580,0,10.699571,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41ea70
__GI_,1224.806252,14.9,16.2,3.1,3.2,5.9,0.2,14.9,1584119522160,161536845960,4914343980,2142149940,0,1890132300,210014700,0,17.121678,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
clear_page_erms,1217.484610,90.1,0.1,0.0,0.1,0.1,67.0,0.0,2016060480,2898086940,0,0,0,0,0,0,14.666667,vmlinux,clear_page_erms,[Unknown],0xffffffff91a3c070
__kmpc_atomic_float8_sub,957.461694,92.6,28.6,0.0,28.3,8.6,0.0,30.3,68798063880,12348370440,882061740,126008820,126008820,126008820,294020580,0,32.611111,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
copy_user_enhanced_fast_string,954.323847,79.4,0.0,0.0,0.1,16.7,0.1,54.4,7812234360,5040151200,294020580,0,84005880,42002940,126008820,0,163.272727,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffff91a3c560
func@0xbcd30,908.511282,8.4,22.2,3.7,0.1,3.7,0.0,6.6,1444255326360,0,756052920,546038220,0,336023520,42002940,0,12.496180,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
