Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,66953518190460,186667343290890,134932213808640,1469120072280,466718001120,30161524818600,2348332447860,369618452280,186077072912640,125269383728160,94180098130608,87300488040528,144507091943424,1631282392544,21368771043900,28014840420,8778263340,15683663002672,9143413410320,22680033264,122640179872,714049980,25318477133712,1452362130128,8400012320,139551084674624,13356200340,0,126003780,97694930760,0,0,0,95006850120,0,285757080,0,0,14449011360,7518526260,42002940,0,20917464120,813270397380,29011962550816,529341879780,439417182120,22794569700,64474512900,15961117200,1393562043888,43438143709184,154246906228464,2619123841376,73364867601648,56644643078688,0,0,5816669677560,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dc00
_int_free,19186856171010,12538503150930,8928151776000,102147064320,34021020600,4647775429080,2061043829460,57834545160,12381618159680,2081523052896,1670762450448,1504442206512,5249167698768,27720040656,116343490200,546016380,2184065520,2019362961728,1846322707936,182280267344,12600018480,84005880,6274809203040,32760048048,0,3074404509120,1680025200,0,19656589680,46621398600,148018360560,0,0,126003780,0,0,0,0,336023520,0,0,0,126008820,25452763560,4786327019936,20076602280,16590497700,819343980,1512105840,294020580,11760017248,609840894432,3185284671744,3403684992064,17105785088448,17900426253920,0,0,835613808960,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13958577291780,11272511629440,8242700123520,91058731680,28182845460,3366064978920,1196153883540,38710409640,11376976686208,675360990528,710641042272,299880439824,5221447658112,94080137984,182705481000,5040151200,16464493920,1543082263184,1512002217600,10920016016,47040068992,84005880,5236567680288,216720317856,3360004928,987841448832,11340170100,0,1008030240,67916037420,135249466800,0,0,0,0,0,0,0,0,0,0,0,0,1260037800,3311284856544,4788143640,4830144900,147061740,0,0,43680064064,1328881949024,5115607502880,2424243555552,13592899936224,12942738982656,0,0,572178001920,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12892329165870,10419207123510,7524127908000,78458353680,26754802620,3972395168280,1963138892400,36433326720,10466415350720,1383482029104,1149121685376,1010521482096,3333964889808,41160060368,312069361800,14406432180,33264997920,1975682897664,1548962271808,10080014784,78960115808,0,7764131387376,645960947408,3360004928,2419203548160,2436036540,0,0,32886986580,42002940,0,0,1134034020,42001260,0,0,0,714049980,0,0,0,168011760,14742442260,3847205642560,29862895860,26544796320,1512635040,1386097020,504035280,16800024640,1350721981056,5188687610064,514080753984,13986020512800,11371936678816,0,0,399388580640,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,9907098417810,7535528101800,5534974092960,58129743840,18522555660,1823526704160,1980401410260,28812241080,7744811359040,340200498960,274680402864,254520373296,2091603067680,23520034496,24360730800,2730081900,7518225540,1671602451680,1497722196656,3360004928,63840093632,420029400,3351604915680,138600203280,840001232,567840832832,5628084420,0,68420052540,26754802620,91734420960,0,0,126003780,126003780,0,0,0,126008820,0,0,0,0,2898086940,1666562444288,30408912240,30534916020,483202860,378026460,210014700,21840032032,1128961655808,3316324863936,178080261184,10599135545376,10363935200416,0,0,378231035280,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4689379718100,31383023502330,22849828440480,244447333200,68924067660,1816974507600,77618328480,20628186600,31053165544576,26802759310656,26351678649072,24945516586704,27316840064640,76440112112,9131283930300,2520075600,1386041580,1378442021712,934921371216,1680002464,67200098560,42002940,3853085651184,277200406560,1680002464,53424078355200,336005040,0,0,30576917280,0,0,0,18564556920,0,571514160,0,0,6678467460,3906273420,0,0,7980558600,53635609020,1664882441824,100509015180,52795583820,12353186160,29234046240,5670396900,72240105952,5206327635936,28884282363552,399840586432,6688089809184,4512486618304,0,0,540429080100,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e710
func@0xbcd30,3335036694660,2840358285270,2084675438880,23184695520,6216186480,1444255326360,0,9898168560,2815684129664,400680587664,294840432432,292320428736,1030681511664,14280020944,120543616200,4116123480,756022680,512400751520,397320582736,0,43680064064,42002940,2343603437280,358680526064,0,645120946176,672010080,0,0,7518225540,0,0,0,84002520,0,0,0,0,546038220,0,0,0,42002940,3528105840,1424642089472,7014210420,6888206640,336141120,756052920,336023520,4200006160,327600480480,1486802180640,97440142912,2494803659040,3228964735808,0,0,123689295660,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
native_queued_spin_lock_slowpath,2868408762120,44753740800660,32667915345120,359026770480,48511455300,717465523320,882026460,11049313800,45195426286528,1123921648416,1083601589280,705601034880,7849811513040,0,1470044100,0,630018900,2812324124736,6720009856,840001232,11566816964640,0,30852405250128,3360004928,2520003696,1145761680448,0,0,42001260,0,42002940,0,0,0,0,25213860,0,0,0,0,0,42002940,0,84002520,682081000384,546016380,0,0,210014700,0,799681172864,1056721549856,5853968585808,6867850072832,8699052758592,8688972743808,0,0,313094700240,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff910f1320
__GI_,2784587337180,3786004360980,2810447776800,28644859320,9870296100,1584119522160,161536845960,18023405400,3827045612992,1023121500576,907201330560,786241153152,1638002402400,24360035728,133774013100,966028980,2856085680,621600911680,578760848848,7560011088,25200036960,42002940,3003844405632,58800086240,0,1498562197888,1260018900,0,2100063000,10836325080,0,0,0,210006300,0,0,0,0,2142149940,0,0,0,210014700,2100063000,1643042409792,24990749700,19026570780,798335160,4914343980,1890132300,10080014784,327600480480,1575002310000,198240290752,4830847085232,2718243986752,0,0,308590949520,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2715946170300,4727090359170,3350936964960,35113053360,11298338940,1081616447520,102567076920,14200258800,4522566633088,2520003696,0,2520003696,390600572880,840001232,210006300,336010080,42001260,561960824208,451920662816,840001232,741721087856,0,3018964427808,1680002464,0,3360004928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113841633632,0,0,0,0,0,21000030800,35280051744,189000277200,781201145760,3409565000688,3642245341952,0,0,147014691180,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
