Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,64854240500064,180992845636880,129959284250496,1428042840000,274248227200,30055621641600,2348710459200,361756494400,34241027200,15840475200,179389072670976,117289778280192,89808136508160,82979326128384,138793810966272,1632002480640,19457383704000,30400912000,15520465600,16832025584640,9580814562816,12800019456,128000194560,181612712000,26371240084224,1209601838592,6400009728,129465796787712,6400096000,0,0,65281958400,0,0,0,89922697600,0,96052800,0,0,14721030400,1120078400,0,0,16161131200,814264427200,28483243294464,604338129600,513935417600,25210584000,63844468800,15361075200,0,0,0,0,0,0,1324802013696,37609657166592,144009818894592,2265603443712,68198503661568,55414484229888,6198162891200,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
_int_free,18760143128304,12519662252720,8884115136640,97122913600,21920657600,4573257193600,2055581665600,60946278400,4320129600,0,12230418590208,1833602787072,1628802475776,1420802159616,4889607432192,25600038912,100323009600,480014400,1600048000,2185603322112,2041603103232,134400204288,12800019456,34402408000,6035209173504,22400034048,0,3328005058560,640009600,0,10240307200,36961108800,143850068800,0,0,160004800,0,0,0,0,480033600,0,0,0,0,22720681600,4380806658816,23360700800,16320489600,1280537600,1760123200,160011200,0,0,0,0,0,0,6400009728,617600938752,3344005082880,3219204893184,16992025827840,17651226829824,685805680000,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13521775239936,10658638134160,7670499408384,88482654400,13920417600,3252257564800,1159074771200,38475539200,1440043200,640019200,10672016221440,400000608000,412800627456,156800238336,3824005812480,92800141056,152324569600,5120153600,18240547200,1766402684928,1795202728704,22400034048,48000072960,38722710400,5747208735744,144000218880,3200004864,534400812288,5120076800,0,640019200,44801344000,126088825600,0,0,0,0,0,0,0,0,0,0,0,0,960028800,3059204649984,5440163200,4000120000,80033600,0,0,0,0,0,0,0,0,22400034048,1100801673216,4560006931200,1516802305536,14326421776128,12950419684608,361372379200,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12729164967840,10893641179760,7973703337856,86242587200,14080422400,3860275804800,2016540494400,37675299200,800024000,320009600,11068816824576,1078401639168,998401517568,870401323008,3296005009920,16000024320,300009000000,15360460800,35681070400,2256003429120,1574402393088,9600014592,38400058368,77605432000,8220812495616,611200929024,3200004864,2041603103232,960014400,0,0,25440763200,0,0,0,1760052800,0,0,0,0,640044800,0,0,0,160011200,13920417600,3744005690880,33280998400,25600768000,1920806400,1280089600,0,0,0,0,0,0,0,22400034048,1120001702400,4873607407872,352000535040,13382420341248,11216017048320,273746099200,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,10457835531792,8173105922080,5828075530880,63521905600,10080302400,1912377369600,2027100811200,30825244800,320009600,320009600,8028812203776,387200588544,217600330752,243200369664,2326403536128,25600038912,16480494400,4000120000,7360220800,1923202923264,1529602324992,3200004864,54400082688,26401848000,3648005544960,124800189696,0,656000997120,2560038400,0,57441723200,20960628800,88326182400,0,0,160004800,0,0,0,0,0,0,0,0,0,3040091200,1865602835712,36001080000,34081022400,720302400,160011200,160011200,0,0,0,0,0,0,3200004864,953601449472,3136004766720,131200199424,11558417568768,10729616308992,399671865600,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4786862036928,28275366444000,20341063616768,221126633600,33441003200,1815414460800,80642419200,21846552000,14720441600,3680110400,28784043751680,23590435857408,23123235147264,21526432720128,24240036844800,54400082688,7906157177600,1440043200,1440043200,1465602227712,953601449472,3200004864,54400082688,25441780800,3481605292032,243200369664,0,46467270630144,320004800,0,0,38241147200,0,0,0,19200576000,0,192105600,0,0,7200504000,320022400,0,0,1920134400,55681670400,1532802329856,106243187200,54401632000,11444804800,30242116800,5280369600,0,0,0,0,0,0,54400082688,3820805807616,24521637272832,310400471808,6412809747456,4556806926336,782986825600,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f330
func@0xbcd30,3510945501264,3327543124400,2401631124736,30880926400,4480134400,1437483123200,0,10691206400,640019200,0,3292805005056,435200661504,377600573952,313600476672,1312001994240,6400009728,140164204800,4480134400,1120033600,662401006848,403200612864,0,35200053504,86246036800,2604803959296,416000632320,0,595200904704,320004800,0,0,4960148800,0,0,0,0,0,0,0,0,160011200,0,0,0,0,4480134400,1494402271488,7040211200,8320249600,400168000,480033600,160011200,0,0,0,0,0,0,3200004864,288000437760,1539202339584,89600136192,2838404314368,3136004766720,88506544000,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,3144040746240,3967051412320,2786036106560,30240907200,5600168000,1749492483200,173445203200,18213462400,2080062400,320009600,3788805758976,969601473792,774401177088,780801186816,1609602446592,16000024320,104963148800,1280038400,800024000,774401177088,598400909568,9600014592,35200053504,71204984000,3094404703488,76800116736,0,1491202266624,960014400,0,1440043200,12160364800,0,0,0,0,0,0,0,0,1120078400,0,0,0,160011200,2880086400,1820802767616,27200816000,20160604800,400168000,3360235200,800056000,0,0,0,0,0,0,9600014592,281600428032,1558402368768,201600306432,4838407354368,3046404630528,145099516800,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,2654434401024,8263107088480,5380469729984,64481934400,31840955200,595857875200,266728001600,7330198400,19520585600,960028800,8768013327360,6009609134592,5484808336896,5014407621888,6608010044160,12800019456,292488774400,7520225600,48161444800,566400860928,435200661504,211200321024,25600038912,33282329600,1689602568192,86400131328,0,12950419684608,320004800,0,0,6240187200,640044800,0,0,3040091200,0,0,0,0,8000560000,0,0,0,1440100800,37921137600,377600573952,56641699200,41281238400,2240940800,12800896000,4000280000,0,0,0,0,0,0,9600014592,1673602543872,5920008998400,1894402879488,2969604513792,2332803545856,243000878400,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2615133891696,4315055922400,3058039631680,34241027200,5280158400,1145954377600,104323129600,13428027200,0,0,4364806634496,0,3200004864,3200004864,396800603136,0,480014400,0,0,540800822016,368000559360,0,697601060352,4320302400,1731202631424,0,0,9600014592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040001580800,0,0,0,0,0,0,0,0,0,0,0,22400034048,76800116736,291200442624,460800700416,3564805418496,3532805369856,91387408000,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
