Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
[vmlinux],59011.347246,47.1,11.7,0.0,2.6,3.0,17.8,3019176572580,663955918080,2688188160,462032340,294020580,294020580,126008820,84005880,30.208686,vmlinux,[vmlinux],[Unknown],0x0
buildLocalMapCounter,57761.248775,68.3,11.0,27.8,5.1,32.9,0.0,30345532338660,2331069930000,63592451160,25495784580,28099966860,1554108780,3360235200,0,16.875775,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4d0
sumVertexDegree$omp$parallel_for@74,46867.847316,76.3,0.0,0.1,13.1,72.2,0.0,86732601900,4032120960,7308511560,84005880,0,1806126420,2142149940,0,515.865801,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43cf1c
duplicateGivenGraph$omp$parallel_for@171,9233.101557,75.2,5.5,6.5,3.8,53.1,9.2,328995869580,254527635600,378026460,0,0,168011760,0,0,109.468278,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@171,utilityFunctions.cpp,0x44cd3b
max,6216.995318,72.1,0.7,2.4,8.7,68.4,0.0,1788749660880,77786333520,28393987440,12726890820,14491014300,462032340,252017640,0,17.300040,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfe0
_int_free,3607.795720,16.6,19.8,2.6,1.9,9.4,3.4,4682972484960,2066966007120,1008070560,546038220,126008820,42002940,0,0,12.642601,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,3313.186526,21.4,34.5,0.0,3.4,2.7,0.1,3271436140140,1185611567280,0,0,42002940,0,42002940,0,13.677597,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,3202.811040,6.3,18.3,1.6,2.5,5.8,0.1,3975293255220,1972715179680,1218085260,756052920,210014700,0,0,0,10.599216,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
parallelLouvianMethod$omp$parallel_for@237,2967.782643,65.4,10.8,20.9,6.7,42.1,5.9,34105023120,18312549360,84005880,0,0,0,42002940,0,108.666667,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430c00
_int_malloc,2442.812673,12.5,22.1,1.6,0.1,3.6,0.1,1813740410580,1954738640400,84005880,84005880,84005880,0,0,0,12.406193,libc-2.29.so,_int_malloc,malloc.c,0x966c0
plm_init$omp$parallel_for@285,1938.435143,83.2,0.1,0.0,0.4,0.2,77.7,0,21504645120,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x431fc0
plm_analyzeClusters$omp$parallel_for@64,1740.473140,63.4,2.9,2.5,0.3,61.5,7.4,719733591360,295688870400,1134079380,294020580,168011760,210014700,252017640,0,13.562812,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x4316b4
std::_Rb_tree_increment,1700.661087,72.6,4.3,3.2,6.1,68.0,0.0,704151123900,0,13482943740,9492664440,2310161700,210014700,42002940,0,18.122660,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
malloc_consolidate,1679.244948,62.5,7.2,3.1,8.9,50.9,1.7,633589007100,257215716240,14659026060,10164711480,2730191100,126008820,0,0,21.826901,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__kmpc_atomic_float8_add,1673.479065,92.1,54.6,0.0,11.7,43.2,0.0,65563966860,7224216720,1344094080,336023520,294020580,84005880,42002940,0,63.928571,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1387.655979,11.9,8.2,0.1,0.0,0.0,0.0,1138108142220,108363250800,0,0,0,0,0,0,26.272027,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI_,1163.610218,9.1,19.0,0.0,3.1,15.2,0.2,1640569215600,166492994640,4536317520,4242296940,378026460,0,0,0,16.042735,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
func@0xbcd30,934.347704,9.7,21.4,1.1,2.9,9.9,0.0,1396835903820,0,1008070560,798055860,84005880,0,0,0,14.909500,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__kmpc_atomic_float8_sub,915.128092,92.7,33.9,1.8,20.8,38.7,0.0,69386081520,10416312480,1260088200,252017640,252017640,42002940,126008820,84005880,52.952381,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
