Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,65020.735070,71.4,9.9,29.9,4.5,33.6,0.0,30320793596520,2388653657460,65104557000,30158110920,25915813980,1596111720,1974138180,0,16.021017,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dbc0
sumVertexDegree$omp$parallel_for@74,37041.025408,71.0,0.3,0.1,9.2,70.9,0.0,85934577960,1890056700,5166361620,0,0,2142149940,1596111720,0,645.562500,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d60c
max,6592.444003,71.3,2.7,4.9,5.6,67.7,0.0,1788749660880,75098252880,29528066820,14575020180,10542737940,210014700,168011760,0,17.886364,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e6d0
std::_Rb_tree_insert_and_rebalance,3345.800260,5.9,20.8,2.2,1.4,5.0,0.0,3870836121600,1941970257360,1050073500,1386097020,126008820,0,0,0,9.188191,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,3246.225361,5.7,16.9,2.3,0.7,6.9,2.9,4605690166560,2064193923960,1092076440,756052920,126008820,0,0,0,13.564689,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,3075.316345,15.4,33.0,0.0,0.9,2.1,0.1,3327003807120,1165660968780,0,0,0,0,0,0,11.651943,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,2447.743456,11.5,22.8,1.4,0.6,1.7,0.0,1840411210680,1947766431240,210014700,0,84005880,0,0,0,15.234563,libc-2.29.so,_int_malloc,malloc.c,0x966c0
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",2065.760758,91.4,0.0,58.2,0.2,37.9,0.0,107607228120,164182925340,714049980,0,0,252017640,336023520,0,13.787179,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43e307
std::_Rb_tree_increment,1636.291711,68.4,7.9,2.3,6.6,58.6,0.0,686972608560,0,12222855540,11130779100,966067620,210014700,0,0,15.192961,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
malloc_consolidate,1511.823088,56.3,10.1,5.2,3.9,49.0,0.6,627246816840,250243507080,12978908460,12768893760,1302091140,0,0,0,22.875296,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
