Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,66715801682400,184221031718400,133204855202160,1438507153920,254215626240,30634279000800,2377511323200,377009068800,29376881280,91826754720,183833549622144,120700977027840,70861543930112,62578651781888,141396687381504,1687682475264,13856959696320,36961108800,8784263520,17190745213056,9394573778688,17280025344,115200168960,223839667680,27258279978752,1445762120448,8640012672,132119233774592,16416246240,0,144004320,84050521440,0,0,0,93314799360,48001440,182500320,0,0,12672887040,42050943360,0,0,1776124320,839593187040,29193642817280,560560816320,469598087520,25762815840,60772253760,2400168000,0,48001440,0,0,192005760,0,4109766027648,58154965293824,151902942790656,3964805815040,70220262989568,56822483339520,6214724658240,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dea0
_int_free,18614770107600,15799768771200,11060678170080,121923657600,36049081440,4477334316000,1990427711040,59835545280,2640079200,20112603360,15791063160192,3830405617920,3475205096960,2985604378880,7925771624448,37440054912,157540726080,2784083520,2736082080,2326083411584,2160963169408,255360374528,30720045056,34562419200,6693129816576,41280060544,0,5794568498688,1248018720,0,13440403200,46945408320,146842278240,0,0,336010080,0,0,0,0,144010080,576040320,0,0,48003360,20544616320,4325766344448,21312639360,19632588960,840352800,672047040,0,0,0,0,0,0,0,32640047872,840961233408,5356807856640,6754569906688,16947864856832,16942104848384,897792456960,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13325879714400,11783464189440,8562428236320,92354770560,18000540000,3167375018400,1154626637760,37432026240,1296038880,5040151200,12018257626752,679680996864,585600858880,270720397056,5048647404672,116160170368,175541266080,7584227520,17472524160,1800002640000,1729922537216,11520016896,43200063360,39506765280,5556488149504,201600295680,960001408,1067521565696,21696325440,0,336010080,55297658880,132489273600,0,0,0,0,9605280,0,0,0,0,0,0,0,1824054720,3239044750592,5520165600,5280158400,72030240,0,0,0,0,0,0,0,0,34560050688,1464962148608,5129287522944,3542405195520,13436179706368,12679698596864,446879623680,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12784660231200,11034157215360,8070590530800,87074612160,17424522720,3853075588800,1997339918400,38056213440,912027360,3744112320,10702095696384,1319041934592,879361289728,804481179904,3392644975872,32640047872,291752752320,18432552960,27744832320,2274243335552,1718402520320,11520016896,74880109824,84629923680,7802891444224,683521002496,1920002816,2365443469312,3456051840,0,0,25680770400,0,0,0,1200036000,48001440,0,0,0,288020160,768053760,0,0,0,14448433440,3586565260288,31440943200,30096902880,1968826560,1584110880,0,0,0,0,0,0,0,27840040832,1595522340096,5555528148096,819841202432,13681940066816,11241616487680,430425088800,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,10494077773200,8059970148480,5731946342640,63169895040,12672380160,1871816152800,2039821192800,31065316800,384011520,1200036000,7830731485056,345600506880,220800323840,159360233728,2211843244032,30720045056,19296578880,2688080640,5808174240,1896962782208,1687682475264,2880004224,75840111232,29282049600,3336964894208,134400197120,0,533760782848,6240093600,0,69794093760,21696650880,94950646080,0,0,144004320,96002880,0,0,0,0,0,0,0,0,3648109440,1772162599168,36289088640,36433092960,312131040,384026880,0,0,0,0,0,0,0,15360022528,1386242033152,3741125486976,170880250624,10759695780864,10475535364096,468318053280,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4735070456400,23899580353920,17236160479440,188069641920,28032840960,1776053280000,77762332800,20694206400,12528375840,32592977760,23849314978944,18999387865728,18372506946304,16874904749824,20168669580672,76800112640,5413266393120,1392041760,816024480,1392962043008,973441427712,1920002816,54720080256,25489784160,3513605153280,272640399872,1920002816,38192696015872,192002880,0,0,28080842400,0,0,0,18336550080,0,672369600,0,0,7392517440,18913323840,48003360,0,96006720,55009650240,1601282348544,105075152160,59089772640,13613715360,28033962240,0,0,48001440,0,0,0,0,98880145024,4200966161408,21548191603968,370560543488,6485769512448,4604166752768,487139698080,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e9b0
func@0xbcd30,3566528390400,3407162653440,2507490266400,27264817920,5472164160,1463323898400,0,10467139200,528015840,1440043200,3283204815360,584640857472,460800675840,384000563200,1298881905024,24000035200,148036440960,5136154080,768023040,588480863104,462720678656,0,39360057728,92454471360,2647683883264,404160592768,0,856321255936,1344020160,0,0,8736262080,0,0,0,48001440,0,0,0,0,528036960,480033600,0,0,48003360,2592077760,1436162106368,8640259200,7344220320,504211680,912063840,0,0,0,0,0,0,0,3840005632,430080630784,1837442694912,222720326656,2995204392960,3325444877312,100902261600,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,3203815333200,3737894559360,2698177130880,30528915840,6480194400,1675010248800,169061071680,18879262080,816024480,4416132480,3925445757312,832321220736,633600929280,602880884224,1690562479488,20160029568,95906877120,1632048960,1584047520,706561036288,597120875776,1920002816,34560050688,82613782560,3242884756224,73920108416,1920002816,1190401745920,1824027360,0,1344040320,8352250560,0,0,0,336010080,0,0,0,0,1152080640,2448171360,0,0,0,2736082080,1664642441472,25152754560,21600648000,864362880,3696258720,0,0,0,0,0,0,0,21120030976,286080419584,1359361993728,263040385792,4771206997760,2945284319744,286261852800,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,2621194359600,8015328541440,5431215516720,55297658880,30864925920,628818864000,252007560000,7250174400,6528195840,32736982080,8144651945472,4824007075200,4483206575360,4256646243072,5774408469120,19200028160,263095892640,8928267840,58225746720,510720749056,403200591360,229440336512,42240061952,32930304960,1895042779392,120000176000,0,13255699441664,576008640,0,0,6720201600,1344094080,0,0,3168095040,0,0,0,0,4368305760,8976628320,0,0,0,39793193760,520320763136,58513755360,41521245600,2497048320,14160991200,0,0,0,0,0,0,0,9600014080,1555202280960,5227207666560,3646085347584,3137284601344,2373123480576,264386492160,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2249180967600,3653891535360,2606193819600,28128843840,5040151200,923307698400,83666509920,11273781120,0,0,3709445440512,2880004224,0,0,293760430848,0,0,48001440,0,512640751872,431040632192,0,689281010944,4704329280,1480322171136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935041371392,0,0,0,0,0,0,0,0,0,0,0,17280025344,3840005632,86400126720,180480264704,2906884263424,2835844159232,178748008320,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
