Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,55809.383067,66.6,12.8,28.3,5.4,29.6,0.0,29966338963200,2344390329600,70244916800,26721870400,20481433600,800056000,4160291200,0,16.896049,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
sumVertexDegree$omp$parallel_for@83,23726.871716,74.1,0.0,0.0,13.7,75.6,0.0,68162044800,320009600,4480313600,0,0,3200224000,1440100800,0,1460.333333,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e5bc
max,6162.961925,69.0,3.8,2.8,7.4,66.0,0.0,1815414460800,81282438400,27201904000,9920694400,10720750400,0,0,0,32.755133,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
_int_free,3914.325434,18.8,21.0,1.2,2.8,14.2,2.0,4518855561600,2033020988800,640044800,800056000,0,0,0,0,11.743072,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,3484.436482,5.9,21.1,1.5,2.1,5.9,0.0,3956598694400,2033180993600,1120078400,320022400,480033600,0,0,0,8.499366,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,3414.531588,11.3,35.4,0.4,1.4,2.0,0.1,3296738899200,1155074651200,160011200,0,0,0,0,0,10.271766,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,2516.401872,8.8,22.2,1.4,0.9,2.9,0.0,1930297907200,2026140782400,0,0,160011200,0,0,0,13.845779,libc-2.29.so,_int_malloc,malloc.c,0x966c0
malloc_consolidate,2008.240358,68.0,10.6,4.9,3.2,50.8,0.8,625938777600,263847915200,12640884800,8320582400,6720470400,160011200,0,0,31.488938,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
std::_Rb_tree_increment,1994.817224,74.2,5.7,3.7,3.2,61.0,0.0,692820784000,0,15041052800,5280369600,7040492800,160011200,0,0,16.589457,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
parallelLouvianMethod$omp$parallel_for@237,1682.075626,75.3,8.6,18.1,8.5,38.1,6.6,29760892800,15840475200,0,0,0,0,0,0,366.285714,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4322a0
plm_analyzeClusters$omp$parallel_for@64,1500.776149,47.0,8.1,2.4,0.0,56.0,6.2,761302838400,290248707200,1280089600,320022400,0,0,0,0,13.384746,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",1465.910865,77.1,1.7,21.9,8.9,50.7,0.0,309449283200,295848875200,1120078400,0,0,160011200,640044800,0,29.708333,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43efbb
__GI_,1208.953722,2.4,23.7,1.6,4.1,13.4,0.1,1710131302400,167045011200,2560179200,1760123200,800056000,0,0,0,10.171196,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1106.449788,9.1,6.9,0.1,0.1,0.0,0.0,773783212800,70402112000,0,0,0,0,0,0,6.812793,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
func@0xbcd30,1068.272302,8.8,26.6,1.2,0.0,12.6,0.0,1483564505600,0,800056000,640044800,0,0,0,0,10.195159,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
clear_page_erms,1061.647898,92.7,0.0,0.0,0.5,0.4,66.2,5120153600,2720081600,0,0,0,0,0,0,30.500000,vmlinux,clear_page_erms,[Unknown],0xffffffff9f03c070
__kmpc_atomic_float8_add,912.598809,85.9,41.2,0.0,12.0,48.6,0.0,57281718400,8160244800,320022400,0,160011200,0,0,0,196.750000,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
native_queued_spin_lock_slowpath,896.386451,25.5,11.1,1.6,1.0,1.6,0.0,59521785600,320009600,0,0,0,0,0,0,7.017241,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff9e6f1320
copy_user_enhanced_fast_string,896.212125,81.9,0.0,0.1,0.0,76.8,0.0,51521545600,26240787200,640044800,0,0,160011200,480033600,0,174.550000,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffff9f03c560
plm_init$omp$parallel_for@285,721.711379,84.4,0.0,0.0,0.4,0.1,83.9,0,21600648000,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x433660
parallelLouvianMethod$omp$parallel_for@210,716.481586,87.7,0.0,22.2,11.3,63.7,0.0,10880326400,0,1120078400,0,160011200,0,0,0,295.200000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x4325b3
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",684.754178,72.8,9.7,0.0,9.9,58.6,0.0,103683110400,22240667200,2080145600,640044800,640044800,0,0,0,26.756522,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
unlink_chunk,461.267707,70.9,9.1,0.0,8.9,58.9,0.0,127043811200,31200936000,5760403200,1920134400,1920134400,0,0,0,30.036364,libc-2.29.so,unlink_chunk,malloc.c,0x93760
unlink_chunk,457.955505,74.1,8.9,6.8,3.8,61.0,0.6,148164444800,259687790400,4640324800,2720190400,2880201600,0,0,0,28.116402,libc-2.29.so,unlink_chunk,malloc.c,0x94987
__kmpc_atomic_float8_sub,451.679754,85.0,26.4,0.0,12.6,49.7,0.0,65281958400,12800384000,160011200,160011200,320022400,0,0,0,378.166667,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
tcache_get,353.708306,0.0,16.4,0.3,1.1,1.9,0.5,375691270400,992669779200,0,0,0,0,0,0,7.670886,libc-2.29.so,tcache_get,malloc.c,0x98bd9
page_fault,347.606881,34.7,0.0,0.0,0.0,27.0,2.0,0,1920057600,0,0,0,0,0,0,0.0,vmlinux,page_fault,[Unknown],0xffffffff9f201070
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",345.340638,9.6,19.0,3.9,0.0,2.2,0.0,397771932800,0,0,0,0,0,0,0,7.418070,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43ec6e
