Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,65201005790304,176594995000320,128059371850112,1412202364800,260487814400,29966338963200,2344390329600,362124604800,69122073600,65921977600,177353869577472,111760169875200,61782493909248,52262479438848,134285004112896,1644802500096,15655989665600,34081022400,20160604800,17193626134272,9222414018048,22400034048,124800189696,187853148800,28675243586304,1132801721856,0,121852985216256,7680115200,0,0,76482294400,0,0,0,91842755200,0,160088000,0,0,26721870400,20481433600,0,0,4160291200,831384940800,28374443129088,564976948800,452493574400,25290617600,70244916800,800056000,0,0,0,0,160004800,0,3484805296896,52716880129536,143510618135808,4438406746368,68067303462144,54892883437056,6118474992000,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
_int_free,18690016977312,12935719386080,8981752327936,102083062400,32160964800,4518855561600,2033020988800,59489841600,4800144000,10560316800,12870419563008,2352003575040,2185603322112,1827202777344,5062407694848,22400034048,149124473600,640019200,4000120000,2284803472896,2163203288064,256000389120,16000024320,31682217600,6240009484800,12800019456,3200004864,4096006225920,320004800,0,13120393600,41761252800,142249956800,0,0,320009600,0,0,0,0,800056000,0,0,0,0,22080662400,4204806391296,21920657600,16640499200,1200504000,640044800,0,0,0,0,0,0,0,12800019456,771201172224,4048006152960,4211206401024,17222426178048,17824027092480,698593515200,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13711432541952,10810183337600,7834932878208,87522625600,18400552000,3296738899200,1155074651200,39339798400,3360100800,1440043200,10873616527872,406400617728,364800554496,214400325888,4236806439936,105600160512,157764732800,5440163200,23520705600,1923202923264,2000003040000,9600014592,16000024320,40482833600,5993609110272,166400252928,0,726401104128,6080091200,0,160004800,37441123200,128488993600,0,0,160004800,0,0,0,0,0,0,0,0,0,2240067200,3296005009920,5280158400,6560196800,80033600,160011200,0,0,0,0,0,0,0,41600063232,1427202169344,5251207981824,2083203166464,14534422092288,12803219460864,404089190400,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12656314647456,10810183337600,7995335598592,83202496000,19360580800,3956598694400,2033180993600,37851352000,2240067200,2240067200,11011216737024,1024001556480,857601303552,633600963072,3305605024512,32000048640,292168764800,17600528000,25440763200,2262403438848,1683202558464,0,51200077824,74405208000,8134412364288,652800992256,0,1964802986496,1600024000,0,0,26240787200,0,0,0,1120033600,0,0,0,0,320022400,480033600,0,0,0,14240427200,3622405506048,27680830400,27040811200,1680705600,1120078400,0,0,0,0,0,0,0,12800019456,1555202363904,5283208030464,508800773376,12931219655424,10771216372224,321712484800,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,10357675663200,7940634670880,5774097927040,59041771200,10400312000,1930297907200,2026140782400,29576870400,640019200,640019200,7916812033536,412800627456,300800457216,227200345344,2176003307520,19200029184,18240547200,2240067200,7520225600,1968002991360,1625602470912,0,64000097280,26081825600,3398405165568,86400131328,0,624000948480,1920028800,0,57761732800,21600648000,90406328000,0,0,0,160004800,0,0,0,0,160011200,0,0,0,3360100800,1817602762752,38241147200,38721161600,240100800,0,0,0,0,0,0,0,0,22400034048,1392002115840,3856005861120,300800457216,11075216834304,10617616138752,409514817600,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4729280207232,19742334824320,14141439834752,140004200000,24960748800,1815414460800,81282438400,21046312000,18560556800,17440523200,19225629222912,15049622875392,14470421995008,13017619786752,15795224008704,80000121600,5625128748800,2560076800,800024000,1545602349312,963201464064,0,51200077824,23361635200,3526405360128,227200345344,3200004864,31609648046592,0,0,0,24000720000,0,0,0,19040571200,0,352193600,0,0,9920694400,10720750400,0,0,0,60801824000,1516802305536,100483014400,60321809600,11684905600,27201904000,0,0,0,0,0,0,0,99200150784,3657605559552,17324826333696,470400715008,6540809942016,4368006639360,689374750400,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
func@0xbcd30,3436858288128,3328056442880,2451241572352,29120873600,6080182400,1483564505600,0,10579172800,480014400,480014400,3427205209344,451200685824,412800627456,419200637184,1337602033152,22400034048,152804584000,6240187200,480014400,528000802560,393600598272,0,41600063232,96006720000,2675204066304,364800554496,0,729601108992,1280019200,0,0,7360220800,0,0,0,0,0,0,0,0,640044800,0,0,0,0,3040091200,1283201950464,10880326400,9120273600,720302400,800056000,0,0,0,0,0,0,0,3200004864,393600598272,1766402684928,179200272384,2816004280320,3321605048832,107856347200,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,3195054187200,3790064278400,2774047047040,28960868800,5760172800,1710131302400,167045011200,17669299200,2240067200,3200096000,3859205865984,723201099264,662401006848,508800773376,1622402466048,22400034048,116963508800,1280038400,640019200,812801235456,617600938752,3200004864,19200029184,76165331200,3411205185024,48000072960,0,1305601984512,960014400,0,1600048000,6880206400,0,0,0,160004800,0,0,0,0,1760123200,800056000,0,0,0,3040091200,1558402368768,23840715200,20160604800,960403200,2560179200,0,0,0,0,0,0,0,16000024320,316800481536,1478402247168,384000583680,5120007782400,3014404581888,179717899200,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,2620844448768,6922117397120,4608078151680,46561396800,30560916800,625938777600,263847915200,7234169600,13920417600,19040571200,7036810695936,4076806196736,3737605681152,3513605340672,4809607310592,19200029184,242727281600,10560316800,47521425600,464000705280,371200564224,57600087552,19200029184,25921814400,1817602762752,153600233472,0,10361615749632,0,0,0,4960148800,1760123200,0,0,4160124800,0,0,0,0,8320582400,6720470400,0,0,0,38721161600,480000729600,57441723200,35521065600,3041276800,12640884800,160011200,0,0,0,0,0,0,12800019456,1628802475776,4739207203584,2649604027392,3222404898048,2550403876608,227796318400,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
tcache_get,2148336435168,1207020470720,811613764736,11840355200,480014400,375691270400,992669779200,3793137600,0,160004800,1113601692672,38400058368,35200053504,22400034048,236800359936,9600014592,8800264000,960028800,480014400,256000389120,246400374528,6400009728,0,9120638400,742401128448,25600038912,0,83200126464,320004800,0,0,5120153600,0,0,0,0,0,0,0,0,0,0,0,0,0,480014400,345600525312,11680350400,11840355200,0,0,0,0,0,0,0,0,0,28800043776,288000437760,697601060352,44800068096,1830402782208,1788802718976,29096726400,libc-2.29.so,tcache_get,malloc.c,0x98bd9
