Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,38333168316360,100218524115780,71340575445180,770951127840,3936118080,17155378645920,1297766931840,213937762080,201894056640,138916167360,100565907496448,69383141761792,67791459427328,58876886352640,75825711210880,214080313984,474782243040,17328519840,672020160,9973454627712,6179529063296,960001408,74880109824,130761152640,17231065272192,741121086976,0,90637572934912,9504142560,0,0,35617068480,0,0,0,816024480,0,10748308320,0,0,108391586880,80885661600,1968137760,0,0,193397801760,16849944713216,264871945920,19488584640,31933406400,197389816320,0,0,11136334080,0,0,0,0,960001408,3394564978688,78741235486976,1487042180992,38591096600192,32509487680512,3133395736800,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dea0
_int_free,12246352676280,6599795393730,4650208352280,50977529280,192005760,2898806961600,1281254436480,43366606080,1344040320,240007200,6599049678592,49920073216,6720009856,4800007040,1103041617792,18240026752,1536046080,720021600,0,1780802611840,1650242420352,120000176000,14400021120,23377636320,4305606314880,10560015488,0,336000492800,1536023040,0,48001440,18624558720,94902642720,0,0,0,0,0,0,0,48003360,0,0,0,0,6624198720,2819524135296,14928447840,15072452160,96040320,0,0,0,0,0,0,0,0,0,23040033792,267840392832,278400408320,11193616417280,11498896865024,361087493760,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11379996215820,18359808829740,13166890166160,141412242240,13440403200,4763806909920,431244936960,56546558880,0,0,18393626977280,960001408,1920002816,0,1619522375296,0,48001440,48001440,48001440,2410563535488,1959362873728,0,3145924614016,36146530080,7081930386816,2880004224,0,3840005632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4632006793600,0,96002880,0,0,0,0,0,0,0,0,0,960001408,0,139200204160,1014721488256,14955861935232,14657301497344,384283250400,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,8202395842560,6166347158370,4335922380960,50593517760,288008640,2642335267680,1341928256640,25130736960,1680050400,1584047520,6151689022464,111360163328,68160099968,53760078848,1556162282368,5760008448,89714691360,4416132480,3744112320,1440962113408,1073281574144,0,59520087296,39938795520,3745925494016,343680504064,0,278400408320,5472082080,0,0,13680410400,0,0,0,0,0,0,0,0,0,0,0,0,0,1008030240,2568963767808,3504105120,5280158400,24010080,0,0,0,0,0,0,0,0,0,6720009856,954241399552,66240097152,7409290866944,7176970526208,176313678240,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,7535843178300,5783089876620,4097597852880,43537306080,48001440,1905897175200,582641478720,25572469440,3888116640,1632048960,5610248228352,98880145024,73920108416,63360092928,1334401957120,39360057728,84290528640,4848145440,10320309600,1263361852928,1188481743104,960001408,38400056320,27505925280,3626885319424,80640118272,0,374400549120,9696145440,0,48001440,16656499680,65380576320,0,0,0,0,0,0,0,0,0,0,0,0,576017280,1947842856832,3696110880,3504105120,0,0,0,0,96002880,0,0,0,0,0,22080032384,918721347456,683521002496,8356812256640,7258570645888,227607461760,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,6260338944180,5144677747020,3591968246100,41905257120,288008640,1242037260000,1115265456960,17712512160,528015840,1344040320,5134087529984,221760325248,53760078848,33600049280,1392002041600,11520016896,10464313920,528015840,816024480,1251841836032,1116481637504,960001408,56640083072,21217485120,2307843384832,125760184448,0,483840709632,2112031680,0,51121533600,8880266400,64708529280,0,0,48001440,0,0,0,0,48003360,0,0,0,0,2352070560,1162561705088,50353510560,50641519200,504211680,48003360,0,0,0,0,0,0,0,0,2880004224,524160768768,36480053504,6626889719424,6330249284352,250217442720,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3650109350760,17596024318110,12314933979300,127971839040,528015840,1372505173920,40129203840,13972190400,11328339840,33216996480,17247385296128,14375061083392,14508501279104,13447699723264,14456661203072,66240097152,158404752000,1152034560,96002880,1607042356992,844801239040,0,27840040832,8256577920,1768322593536,145920214016,0,36597173675776,96001440,0,0,22512675360,0,0,0,2304069120,0,1018159680,0,0,16081125600,60052203360,384026880,0,0,32688980640,1209601774080,124803744000,20496614880,7659215520,76373345760,0,0,576017280,0,0,0,0,0,77760114048,16416024076800,150720221056,4454406533120,3720005456000,485968146720,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e9b0
__GI_,2297743656300,2466916870530,1757013382620,18240547200,96002880,1128129842880,155908677120,13381613280,432012960,240007200,2457603604480,40320059136,13440019712,6720009856,680640998272,8640012672,36433092960,432012960,2016060480,607680891264,450240660352,960001408,50880074624,64276499040,2640003872000,116160170368,0,94080137984,2016030240,0,0,3696110880,0,0,0,0,0,0,0,0,0,0,0,0,0,432012960,1128001654400,16560496800,15120453600,48020160,0,0,0,0,0,0,0,0,0,24000035200,130560191488,85440125312,3225604730880,2314563394688,102525148320,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1914876381960,1936446791790,1468647903780,14688440640,96002880,675092252160,322857685440,8224866720,1536046080,192005760,1939202844160,203520298496,197760290048,168960247808,570240836352,13440019712,9984299520,2784083520,672020160,443520650496,396480581504,54720080256,7680011264,13680957600,1211521776896,39360057728,0,447360656128,480007200,0,0,4896146880,0,0,0,48001440,0,19210560,0,0,672047040,48003360,0,0,0,14592437760,612480898304,25104753120,23280698400,24010080,1008070560,0,0,0,0,0,0,0,0,39360057728,451200661760,176640259072,2368323473536,2051523008896,77111126400,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432084
tcache_get,1683211980420,860596351020,632892024720,8208246240,48001440,274616238240,754294628160,3260177760,528015840,288008640,867841272832,26880039424,10560015488,7680011264,168000246400,14400021120,864025920,768023040,0,239040350592,204480299904,0,1920002816,6480453600,592320868736,23040033792,0,88320129536,96001440,0,0,2544076320,0,0,0,0,0,0,0,0,0,0,0,0,0,96002880,259200380160,8928267840,10080302400,48020160,0,0,0,0,0,0,0,0,0,2880004224,205440301312,21120030976,1117441638912,1415042075392,26441530080,libc-2.29.so,tcache_get,malloc.c,0x98bd9
