Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,33506.063439,65.2,6.1,2.0,9.2,60.9,0.0,16928571841920,1307079211200,206318441280,113719959840,88038162240,0,0,2064144480,15.337553,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5805.527401,9.6,9.4,,0.0,,0.0,4928979864960,450637518720,0,0,0,0,0,0,7.173390,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,5607.839014,73.2,1.9,0.0,4.2,79.4,0.0,1355512664160,41857255680,78869520480,17665236480,56355944640,0,0,240016800,39.915825,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
_int_free,2049.683399,0.0,16.2,0.8,0.0,0.1,1.8,2921847652800,1279046370240,0,0,0,0,0,0,8.250866,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,1864.860447,0.0,24.1,0.7,0.2,1.1,0.0,2587469621760,1365544965120,0,0,0,0,0,0,7.003090,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,1802.494468,0.0,23.6,0.4,0.2,1.1,0.0,1923465702240,579761392320,0,0,0,0,0,0,8.748665,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,1571.308882,4.0,23.7,2.9,0.5,0.5,0.0,1227780832320,1107585226560,0,0,0,0,0,0,14.254613,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI_,742.272823,0.0,28.9,1.0,0.2,0.3,0.0,1160674819200,145732371840,0,0,0,0,0,0,7.618495,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,666.806066,4.4,18.7,0.7,1.1,11.1,3.0,725637768480,316521495360,1056073920,672047040,48003360,0,0,0,9.668715,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",651.116511,10.9,7.0,,0.0,,0.0,576017280000,56737702080,0,0,0,0,0,0,6.883404,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
