Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,31914425742990,232111146331350,164146092436800,1779701389440,22896686880,14562724868640,1114593436800,182608366080,32400972000,76514295360,232510421014784,201456295468800,196946208854016,183262348784384,211891510773760,182400267520,7867052004480,12624378720,1872056160,8380812291840,5123527514496,2880004224,80640118272,107767543200,15576982846208,489600718080,2880004224,217353918785280,8352125280,0,48001440,26544796320,0,0,0,131907957120,0,8519883360,0,0,25777804320,60148210080,1440100800,0,19105337280,175157254560,13985300511744,252295568640,19728591840,25066523520,197533826400,89526266400,0,7584227520,0,0,0,0,1920002816,2923204287360,208297265502208,2159043166592,31837486694912,27532840381440,5424849366720,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",16446199338450,26563429690050,19576858730400,208854265440,12816384480,6844093316640,624594737280,81451628160,0,0,26338598629888,1920002816,5760008448,0,2398083517184,0,288008640,144004320,0,3429125029376,2866564204288,0,4604166752768,53475743040,10632975595008,4800007040,0,3840005632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6614409701120,48001440,48001440,0,0,0,0,0,0,0,0,0,3840005632,7680011264,593280870144,768001126400,21575071643392,21064350894336,761575604160,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
_int_free,10728932186700,5462176386480,3825311475900,42049261440,240007200,2584013518080,1118817563520,38382711360,480014400,48001440,5460488008704,53760078848,11520016896,9600014080,817921199616,5760008448,2304069120,192005760,48001440,1389122037376,1263361852928,234240343552,7680011264,16561159200,3779525543296,14400021120,0,345600506880,864012960,0,192005760,16416492480,79397557440,0,0,0,0,0,0,0,0,0,0,0,0,8208246240,2539203724160,13296398880,13056391680,24010080,0,0,0,0,0,0,0,0,0,24960036608,232320340736,374400549120,9703694232064,9989774651648,682371049920,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,7064421193200,5011395034140,3462610387800,38881166400,192005760,2301909055200,1175267256960,22557165120,576017280,336010080,4940167245568,46080067584,40320059136,28800042240,1282561881088,5760008448,72386171520,6336190080,2496074880,1143361676928,928321361536,3840005632,34560050688,28369985760,3060484488704,301440442112,0,138240202752,5472082080,0,0,10944328320,0,0,0,0,0,0,0,0,0,0,0,0,0,768023040,2242563289088,2976089280,2976089280,24010080,0,0,0,0,0,0,0,0,0,9600014080,1067521565696,25920038016,6019208828160,6036488853504,321946154880,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,6384439153260,5342056026120,3816611449800,41329239840,288008640,1580015399040,516879505920,22643591040,912027360,96002880,5347207842560,57600084480,36480053504,23040033792,1612802365440,40320059136,75938278080,2496074880,7968239040,1086721593856,1034881517824,1920002816,42240061952,25873811040,3161284636544,65280095744,960001408,203520298496,6624099360,0,144004320,14496434880,56931984960,0,0,48001440,0,0,0,0,0,0,0,0,0,384011520,1539842258432,3840115200,3408102240,24010080,0,0,0,0,0,0,0,0,0,22080032384,1555202280960,558720819456,7776011404800,6000008800000,388988661600,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,5364466093350,4414423243230,3057309171900,31968959040,336010080,1048351449600,969725090880,15201359040,96002880,528015840,4346886375424,213120312576,57600084480,51840076032,1246081827584,10560015488,19968599040,624018720,1104033120,1026241505152,930241364352,960001408,38400056320,14641024800,1680002464000,111360163328,0,514560754688,1248018720,0,43777313280,7968239040,56883981600,0,0,144004320,0,0,0,0,48003360,0,0,0,0,3072092160,1069441568512,46561396800,47185415520,456191520,0,0,0,0,0,0,0,0,960001408,5760008448,854401253120,30720045056,5963528746496,5472008025600,299960361120,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3168909506700,18847346541870,13081539244500,143044291200,960028800,1210068300960,32544976320,11581073280,7440223200,28416852480,18990747853056,16277783874048,16145303679744,15384982564608,16256663843072,42240061952,1529805892800,576017280,384011520,1362241997952,632640927872,0,30720045056,7872551040,1582082320384,128640188672,0,37620535176704,480007200,0,0,19440583200,0,0,0,32736982080,0,845264640,0,0,10752752640,46467252480,48003360,0,336023520,31968959040,1048321537536,112467373920,20208606240,7251044160,66196633440,3072215040,0,384011520,0,0,0,0,960001408,168960247808,18057626484480,137280201344,3792005561600,3139204604160,369538028160,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
__GI_,1760645281920,1904435713290,1392604177800,15504465120,48001440,941932257120,117891536640,11244972480,192005760,48001440,1845122706176,23040033792,5760008448,7680011264,549120805376,8640012672,38689160640,384011520,672020160,487680715264,412800605440,1920002816,21120030976,59140139520,2289603358080,94080137984,960001408,101760149248,1920028800,0,96002880,3504105120,0,0,0,0,0,0,0,0,0,0,0,0,0,768023040,925441357312,12480374400,13344400320,48020160,48003360,0,0,0,0,0,0,0,0,20160029568,151680222464,43200063360,2832004153600,1741442554112,162567155520,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1652914958730,2098146294420,1522804568400,15840475200,192005760,590849724960,273128193600,6683604480,672020160,0,2062083024384,506880743424,481920706816,382080560384,852481250304,11520016896,62113863360,1488044640,6576197280,394560578688,360000528000,113280166144,2880004224,13440940800,1086721593856,31680046464,0,969601422080,384005760,0,0,4848145440,0,0,0,48001440,0,0,0,0,96006720,0,0,0,0,10224306720,491520720896,20160604800,18528555840,24010080,480033600,336023520,0,0,0,0,0,0,0,37440054912,754561106688,165120242176,2006402942720,1745282559744,92427720000,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
tcache_get,1415614246830,797282391840,539701619100,6000180000,48001440,234727041600,622962688320,2659997760,48001440,48001440,796801168640,17280025344,1920002816,7680011264,136320199936,17280025344,1824054720,768023040,96002880,237120347776,160320235136,960001408,960001408,5616393120,518400760320,14400021120,0,53760078848,288004320,0,0,3360100800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262080384384,10656319680,10416312480,72030240,0,0,0,0,0,0,0,0,0,5760008448,226560332288,13440019712,1008001478400,1246081827584,27425825280,libc-2.29.so,tcache_get,malloc.c,0x98bd9
