Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,25868.495314,68.6,3.4,0.8,7.0,59.6,15.0,66.6,57.5,33.0,69.3,2.0,0.0,0.0,0.0,16793783798400,1189055670600,162257357220,63046412940,85307971140,0,0,4284299880,14.593868,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4a0
[vmlinux],5848.006855,52.3,5.0,0.0,4.1,1.9,1.2,15.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,313119393300,194717841360,588041160,336023520,0,0,0,42002940,11.802254,vmlinux,[vmlinux],[Unknown],0x0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5798.350415,12.7,8.6,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4813344396000,438661159440,0,0,0,0,0,0,6.849925,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,3603.896589,72.6,0.1,1.5,2.7,72.5,44.4,51.8,82.4,28.7,100.0,0.4,0.0,0.0,0.0,1327953837420,38557156680,75143259660,12810896700,59980198320,0,0,210014700,31.670179,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfb0
duplicateGivenGraph$omp$parallel_for@171,2857.481055,20.6,3.7,0.0,4.1,17.1,16.8,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12852385560,8484254520,0,0,0,0,0,0,18.892857,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@171,utilityFunctions.cpp,0x44cd34
_int_free,1585.240684,0.7,10.4,0.4,0.1,0.1,0.6,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301677047340,1385789572440,0,0,0,0,0,0,9.181456,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,1320.484780,6.5,11.7,1.1,0.4,2.3,2.0,21.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2185409560320,660847824840,0,0,0,0,0,42002940,9.977734,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,1266.200014,7.2,11.9,1.7,3.9,2.1,1.8,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904765140340,1299854994480,0,0,0,0,0,0,7.739821,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1237.880938,16.9,19.3,2.1,0.6,0.6,0.3,15.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1117527524820,1020294607920,0,42002940,0,0,0,0,18.943092,libc-2.29.so,_int_malloc,malloc.c,0x966c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",616.116406,9.5,5.4,0.1,0.0,0.0,0.8,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534130023420,50317509480,0,0,0,0,0,0,6.721400,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
