Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,32917.392916,64.0,5.9,3.9,9.2,57.7,0.0,0.6,17124273712800,1279910396160,201038071680,109927694400,80837658240,0,912063840,2400168000,15.158530,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5747.523639,9.1,8.8,0.0,0.0,0.0,0.0,0.0,4791167730720,444301328640,0,0,0,0,0,0,6.796906,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,5373.413327,72.4,0.4,1.1,2.9,78.1,0.0,0.0,1376249286240,38881166400,78197473440,17233206240,58468092480,0,0,240016800,35.117869,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
_int_free,2010.656617,0.0,15.3,0.8,0.1,0.1,1.7,0.1,2955976676640,1297478923200,0,0,0,0,48003360,0,8.292955,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,1862.314701,0.0,23.7,0.6,0.2,1.2,0.0,0.0,2619582585120,1351912556160,0,0,0,0,0,0,7.003588,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,1744.802173,0.0,21.8,0.6,0.1,1.2,0.0,0.0,1821798652320,584465533440,0,0,0,0,0,0,8.578074,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,1534.409248,3.4,23.3,2.6,0.4,0.6,0.0,0.0,1214532434880,1099808993280,96006720,96006720,0,0,0,0,14.274302,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI_,742.258707,0.0,25.1,1.0,0.2,0.2,0.0,0.0,1116609497280,155428662720,0,0,0,0,0,0,7.652376,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,689.385914,7.7,19.0,0.5,1.2,17.0,3.1,0.0,702885085920,317577527040,576040320,528036960,48003360,0,0,0,10.035993,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432104
sumVertexDegree$omp$parallel_for@74,631.963236,49.2,0.0,,16.0,,0.1,,1296038880,0,0,0,0,0,0,0,232.500000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d96c
