Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,38991980734650,84264583602060,62511132770280,678950367900,542992289280,16890806709000,1195187854560,196497131460,84473883894848,57891204906976,54490039918608,48729311469552,60380968558624,182280267344,470876125860,1764052920,3150094500,7819571468688,5759888447824,840001232,81480119504,0,13687820075440,852601250480,0,97304062712416,8988134820,0,882026460,77366320920,0,0,0,0,0,11152930740,0,0,65650595220,86694068160,4494314580,0,42002940,253771612920,16422024085600,217986539400,8946268380,29580418560,163349433660,42002940,0,17750906034624,71049824206256,409080599984,47350869447840,33749569499296,0,0,3013038640500,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dc00
_int_free,13489741191150,4871481268860,3585163966740,39397181880,29190875700,3283784510580,1367141013000,37248371160,4771206997760,31080045584,4200006160,4200006160,516600757680,2520003696,14070422100,210006300,84002520,975241430352,1081921586816,47880070224,6720009856,0,4469646555472,37800055440,0,282240413952,2520037800,0,26040781200,42421272600,89676276900,0,0,0,0,0,0,0,0,0,0,0,0,10038301140,3314644861472,7644229320,8694260820,21008820,0,0,0,36960054208,287280421344,131880193424,11744897225824,12075857711232,0,0,339239141220,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11617686903150,18135525915000,13163781738600,139402181940,51703551060,4758532751700,438829164480,60283879740,17955866335232,2520003696,3360004928,0,1517042224992,1680002464,210006300,336010080,84002520,2658603899280,2034482983904,0,3177724660656,0,4743486957104,6720009856,0,1680002464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4761126982976,84002520,210006300,0,0,0,3360004928,0,163800240240,105840155232,14915061875392,15136822200640,0,0,412580537040,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI___libc_malloc,8486496101250,3982795497720,2968466083020,30786923580,23604708120,2150002498140,658999769400,23048112360,3995045859392,150360220528,112560165088,71400104720,615720903056,4200006160,69344080260,336010080,16296488880,593880871024,693841017632,0,17640025872,0,2652723890656,98280144144,0,567840832832,2520037800,0,1302039060,39145174320,63214424700,0,0,0,0,0,0,0,0,0,168011760,0,0,378011340,2210883242624,2688080640,2310069300,21008820,0,0,0,113400166320,1302841910832,86520126896,8438652376672,7605371154528,0,0,226666379520,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,8013382381350,3898373049540,2860462951020,33138994140,25410762300,2869862093280,1303299097800,20300488320,3872405679520,255360374528,185640272272,84000123200,795481166704,5880008624,125793773700,336010080,4284128520,705601034880,646800948640,0,27720040656,0,2990404385920,346920508816,0,754321106336,840012600,0,0,28350850500,0,0,0,0,0,0,0,0,0,0,0,0,0,252007560,2780404077920,1218036540,756022680,0,0,0,0,148680218064,1533002248400,15960023408,7076170378368,6917410145520,0,0,156879249660,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,5343304951350,3951834599880,2879723509560,31290938700,27258817740,1076702300100,1034575036320,15586674600,3884165696768,123480181104,53760078848,29400043120,892921309616,0,15792473760,126003780,1176035280,847561243088,845881240624,0,23520034496,0,2445243586352,129360189728,0,490560719488,840012600,0,50695520820,22176665280,65524586400,0,0,0,0,0,0,0,0,0,0,0,0,1554046620,1007161477168,33895016820,33222996660,399167580,0,0,0,52080076384,908041331792,15120022176,6526809572640,5646488281504,0,0,289702084560,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3523002164100,11228545618380,8250359253480,87908637180,74762242800,1355296657680,37549126440,11666899020,11341696634464,8428572361888,8531052512192,8251332101936,8465532416096,57960085008,68840065140,1176035280,252007560,1237321814736,756841110032,0,21840032032,0,1653962425808,132720194656,0,35199411625728,336005040,0,0,42967288980,0,0,0,0,0,1369953060,0,0,12936905520,59434160100,546038220,0,0,23394701820,1132321660736,115713471300,16548496440,7100981160,76193333160,0,0,5068567433888,10630215590960,52080076384,4893847177632,3593525270496,0,0,409093491240,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e710
__GI_,1760451051600,1579905815940,1176514117920,12432372960,8484254520,1091192734800,119199575880,12645792600,1574162308768,22680033264,6720009856,4200006160,279720410256,1680002464,62749882440,126003780,210006300,315000462000,324240475552,13440019712,9240013552,0,1826162678368,19320028336,0,100800147840,1512022680,0,4494134820,11802354060,0,0,0,0,0,0,0,0,0,0,0,0,0,966028980,1064281560944,8148244440,8148244440,42017640,0,0,0,23520034496,179760263648,26880039424,3118084573184,1611122362976,0,0,96939873240,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1669998428550,1724270002380,1299997698840,14364430920,6174185220,587681629920,307449223200,7247173500,1780802611840,303240444752,264600388080,257880378224,500640734272,4200006160,7602228060,504015120,126003780,267120391776,275520404096,183960269808,8400012320,0,981121438976,19320028336,0,480480704704,84001260,0,2226066780,7560226800,0,0,0,0,0,8404620,0,0,504035280,42002940,0,0,0,6888206640,542640795872,11382341460,10794323820,126052920,798055860,0,0,67200098560,597240875952,211680310464,2096643075072,1921922818816,0,0,71181948180,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431de4
malloc_consolidate,1356339332700,727401094020,544875800940,6510195300,5628168840,326223786420,107439223080,3432429420,804721180256,32760048048,10080014784,2520003696,157920231616,0,4872146160,0,42001260,123480181104,135240198352,0,6720009856,0,671160984368,46200067760,0,100800147840,168002520,0,0,2058061740,1890132300,0,0,0,0,0,0,0,0,0,0,0,0,8820264600,316680464464,7644229320,6762202860,21008820,0,0,0,3360004928,62160091168,4200006160,1456562136288,1143241676752,0,0,49200955860,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
