Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,34004.497319,66.3,6.3,3.7,9.4,59.3,0.0,2.3,16810488299520,1299590986560,211022770560,109351654080,84725930400,4320302400,0,2400168000,16.280847,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5885.921786,9.6,8.8,0.0,0.0,0.0,0.0,0.0,5204316124800,481742451840,0,0,0,0,0,0,6.789613,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,5350.666827,72.5,0.9,0.3,3.4,78.2,0.0,0.0,1400442012000,35041051200,75125258400,18385286880,59236146240,0,0,96006720,35.836049,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f330
_int_free,2016.208077,0.0,15.7,0.7,0.1,0.0,1.6,0.0,2906439190560,1277510324160,0,0,0,0,0,0,8.215134,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,1859.781522,0.0,25.2,0.5,0.1,1.1,0.0,0.0,2545276356000,1363912916160,0,0,0,0,0,0,7.048089,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,1783.451011,0.0,22.5,0.4,0.2,1.0,0.0,0.0,1872632177280,569201075520,0,0,0,0,0,0,8.860430,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,1579.641486,3.5,22.7,3.0,0.3,0.8,0.0,0.0,1216980508320,1093088791680,0,96006720,0,0,0,0,14.291025,libc-2.29.so,_int_malloc,malloc.c,0x966c0
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",969.703437,76.7,2.7,2.4,9.3,73.4,0.0,31.3,216150484320,194117823360,3648255360,624043680,2304161280,1488104160,0,0,23.888000,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43f03b
__GI_,735.926539,0.0,28.3,1.2,0.0,0.3,0.0,0.0,1133458002720,153412602240,0,0,0,0,0,0,7.631836,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,680.777156,9.2,17.9,0.0,4.0,13.6,3.9,8.9,702309068640,313641408960,1008070560,192013440,0,144010080,0,0,9.692764,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432dd4
