Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,36791507358000,109804187856000,78027841389600,837769132320,3792113760,16810488299520,1299590986560,209429209920,148612458240,138052141440,110271521731328,79488116582400,75452270663168,65095775473664,86384766697472,289920425216,400716021120,12192365760,912027360,9555854015232,5946248721152,2880004224,75840111232,108487593600,17481625639680,554880813824,0,100755987775232,10368155520,0,48001440,30672920160,48003360,0,0,1200036000,0,10930808640,0,0,109351654080,84725930400,2400168000,0,0,228630858720,16175063723392,275768272800,19104573120,32629698720,211022770560,4320302400,0,11136334080,0,0,0,0,0,6464649481472,89024770569472,1444802119040,36945654186880,31633966396416,3409684998720,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
_int_free,12301038018000,6527911651200,4626457570800,48913467360,528015840,2906439190560,1277510324160,43275378720,672020160,288008640,6493449523712,55680081664,10560015488,2880004224,1081921586816,13440019712,2448073440,96002880,96002880,1722242525952,1580162317568,106560156288,14400021120,25201764000,4174086121984,16320023936,0,320640470272,480007200,0,240007200,19488584640,90246316800,0,0,0,0,0,0,0,0,0,0,0,0,5904177120,2875204216960,16080482400,12720381600,48020160,0,0,0,0,0,0,0,0,0,42240061952,274560402688,293760430848,11295376566528,11467216818560,355513021920,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11650658997600,18781846843200,13506030313200,155140654080,14112423360,5204316124800,481742451840,56392912800,0,0,18015386422528,960001408,2880004224,960001408,1652162423168,0,144004320,0,0,2378883489024,1978562901888,0,3151684622464,38402688000,7120330443136,0,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4729926937216,0,0,0,0,0,0,0,0,0,0,0,0,4800007040,210240308352,984001443200,15037462054912,14744661625472,382886031360,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,8118487080000,6129007718400,4267516035600,49057471680,240007200,2545276356000,1363912916160,25759725600,1776053280,1440043200,6193929084416,105600154880,73920108416,70080102784,1650242420352,7680011264,73202196000,7200216000,3648109440,1478402168320,1186561740288,0,43200063360,36578560320,3760325515136,359040526592,0,305280447744,5472082080,0,0,12816384480,0,0,0,0,0,0,0,0,0,0,0,0,0,672020160,2606403822720,3840115200,4032120960,96040320,0,0,0,96002880,0,0,0,0,0,17280025344,1129921657216,54720080256,7288330689536,7248010630400,181556850720,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,7692041494800,5809308537600,4092365527200,45217356480,192005760,1872632177280,569201075520,25663696800,2976089280,912027360,5652488290304,96000140800,72000105600,59520087296,1400642054272,73920108416,88418652480,672020160,11328339840,1272001865600,1267201858560,960001408,40320059136,27169901760,3438725043456,72960107008,0,401280588544,7296109440,0,144004320,18096542880,66628663680,0,0,0,0,0,0,0,0,0,0,0,0,1056031680,1905602794880,3936118080,4176125280,96040320,0,0,0,0,0,0,0,0,0,44160064768,1304641913472,342720502656,8440332379136,7209610574080,227391396960,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,6192731541600,5101506072000,3624697468800,41281238400,240007200,1216980508320,1093088791680,18082223040,576017280,1248037440,5185927606016,209280306944,55680081664,39360057728,1368962007808,12480018304,8784263520,1680050400,1200036000,1335361958528,1120321643136,0,54720080256,18337283520,2160963169408,102720150656,0,516480757504,1536023040,0,49057471680,6816204480,66580660320,0,0,48001440,0,0,0,0,96006720,0,0,0,0,2256067680,1162561705088,53089592640,50785523520,504211680,0,0,0,0,0,0,0,0,0,3840005632,576960846208,28800042240,6779529943296,6397449382912,258413500800,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3686801194800,17565933892800,12277816624800,129507885120,432012960,1400442012000,35041051200,14145042240,9744292320,35041051200,17544985732608,14392341108736,14331861020032,13740500152704,14548821338240,62400091520,182501474880,1152034560,144004320,1614722368256,771841132032,0,30720045056,7872551040,1786562620288,139200204160,0,36766133923584,96001440,0,0,29184875520,0,0,0,3168095040,0,1046975520,0,0,18385286880,59236146240,96006720,0,0,33889016640,1220161789568,122547676320,21600648000,7130993760,75125258400,0,0,576017280,0,0,0,0,960001408,119040174592,16825944678016,110400161920,4334406357120,3666245377152,506902425120,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f330
__GI_,2296937808000,2377582646400,1688681314800,18480554400,96002880,1133458002720,153412602240,13784934240,528015840,96002880,2424963556608,37440054912,8640012672,7680011264,710401041920,5760008448,38017140480,384011520,1920057600,579840850432,454080665984,960001408,20160029568,60532236960,2472003625600,73920108416,0,78720115456,2112031680,0,48001440,5472164160,0,0,0,0,0,0,0,0,0,0,0,0,0,432012960,1120321643136,14928447840,15456463680,48020160,0,0,0,0,0,0,0,0,0,27840040832,204480299904,69120101376,3225604730880,2169603182080,105204351840,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1827109620000,2086685193600,1562133722400,17760532800,144004320,702309068640,313641408960,8095227840,1392041760,0,2160003168000,360000528000,367680539264,284160416768,732481074304,13440019712,9360280800,1104033120,528015840,435840639232,395520580096,80640118272,5760008448,13296930720,1165441709312,33600049280,0,577920847616,0,0,0,4800144000,0,0,0,0,0,0,0,0,192013440,0,0,0,0,11664349920,678720995456,19632588960,21168635040,96040320,1008070560,144010080,0,48001440,0,0,0,0,0,59520087296,670080982784,186240273152,2219523255296,2019842962432,78465132480,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432dd4
tcache_get,1672660353600,880612833600,618157087200,7152214560,0,265687970400,753814613760,3192957600,288008640,240007200,890881306624,20160029568,15360022528,17280025344,179520263296,10560015488,960028800,336010080,96002880,241920354816,202560297088,0,960001408,9792685440,533760782848,16320023936,0,84480123904,288004320,0,0,3552106560,0,0,0,0,0,0,0,0,0,0,0,0,0,96002880,293760430848,9120273600,10368311040,0,0,0,0,0,0,0,0,0,0,11520016896,221760325248,20160029568,1071361571328,1426562092288,23915972640,libc-2.29.so,tcache_get,malloc.c,0x98bd9
