Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,32534.363822,63.4,6.0,2.0,8.8,59.8,0.0,17211108317760,1301511044160,197821846560,106471452480,82757792640,0,0,2304161280,15.542319,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dea0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5798.436468,9.3,8.8,0.0,0.0,0.0,0.0,4802400067680,445453363200,0,0,0,0,0,0,6.801802,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,5568.661048,73.5,0.5,0.1,3.4,78.6,0.0,1417290517440,34081022400,76949386080,18145270080,56835978240,0,0,144010080,38.876868,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e9b0
_int_free,2014.320064,0.0,16.1,0.6,0.1,0.1,2.1,2925015747840,1288262646720,0,0,0,0,0,0,8.247523,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,1897.353471,0.0,24.2,0.2,0.3,1.1,0.0,2614110420960,1365736970880,0,0,0,0,0,0,7.003031,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,1734.494552,0.0,22.7,0.0,0.4,1.2,0.0,1897688928960,574097222400,0,0,0,0,0,0,8.415988,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,1555.396811,3.7,23.5,3.0,0.4,0.6,0.0,1228500853920,1124481733440,0,48003360,48003360,0,0,0,14.997369,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI_,767.774680,0.0,26.5,1.2,0.1,0.2,0.0,1157794732800,147556426560,0,0,0,0,0,0,7.603022,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,648.768428,5.1,18.4,0.1,1.4,11.2,2.6,693092792160,324585737280,576040320,960067200,0,0,0,0,9.128269,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432084
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",614.800263,10.6,7.5,0.0,0.0,0.0,0.0,531663949440,52609578240,0,48003360,0,0,0,0,6.809524,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
parallelLouvianMethod$omp$parallel_for@237,282.414310,80.9,12.0,44.8,10.3,6.1,5.6,37729131840,17952538560,48003360,96006720,0,0,0,0,104.867470,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4315d0
