Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,38217416134140,105050087122050,74653648556580,808680259680,3888116640,17211108317760,1301511044160,211882745760,194933847840,137428122720,104947353922560,74179308796160,72098985745024,62853212184576,80459638007296,195840287232,480878425920,5808174240,1200036000,9871694478464,6162249037952,1920002816,98880145024,127688937600,17238745283456,700801027840,0,96121100977408,8736131040,0,0,38017140480,0,0,0,1296038880,0,10575413280,0,0,106471452480,82757792640,2304161280,0,0,194693840640,16754904573824,264103922880,19200576000,32605688640,197821846560,0,0,11280338400,0,0,0,0,0,4285446285312,84051963276032,1189441744512,38943417116928,32861808197248,3293149248480,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dea0
_int_free,12314018731680,6550417855170,4622077227420,48433452960,288008640,2925015747840,1288262646720,43121732640,528015840,48001440,6535689585664,52800077440,11520016896,3840005632,1109761627648,1920002816,1776053280,144004320,48001440,1704962500608,1579202316160,137280201344,16320023936,25201764000,4400646454272,18240026752,0,339840498432,1632024480,0,384011520,19296578880,93750562080,0,0,0,0,0,0,0,0,0,0,0,0,6624198720,2856004188800,14016420480,14880446400,48020160,0,0,0,0,0,0,0,0,0,26880039424,245760360448,242880356224,11214736448256,11602577017088,355647462240,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11481839621100,18510059931930,13305145312440,142948288320,12096362880,4802400067680,445453363200,57559662720,0,48001440,18132506594304,2880004224,3840005632,0,1628162387968,0,192005760,48001440,48001440,2398083517184,1983362908928,0,3155524628096,36578560320,6956170202368,2880004224,0,3840005632,0,0,0,0,0,0,0,0,0,9605280,0,0,0,0,0,0,0,0,4796167034368,144004320,48001440,0,0,0,0,0,0,0,0,0,3840005632,0,98880145024,702721030656,15120022176000,14755221640960,391509417600,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,8209105809840,6174500187870,4353684613560,46225386720,336010080,2614110420960,1365736970880,25346801760,1968059040,2208066240,6042248861952,96000140800,83520122496,65280095744,1591682334464,4800007040,90818724480,2496074880,3888116640,1435202104960,1152001689600,0,48000070400,42722990400,3772805533440,379200556160,0,299520439296,7584113760,0,0,11664349920,0,0,0,0,0,0,0,0,0,0,0,0,0,960028800,2613123832576,3696110880,2688080640,24010080,0,0,0,0,0,0,0,0,0,11520016896,1160641702272,39360057728,7382410827520,7221130590976,177504435360,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,7553695006980,5621754210030,3979987050600,43777313280,96002880,1897688928960,574097222400,25946981760,4368131040,1728051840,5648648284672,74880109824,86400126720,66240097152,1350721981056,12480018304,84050521440,1488044640,10224306720,1204801767040,1217281785344,0,58560085888,27409918560,3473285094144,76800112640,0,362880532224,10464156960,0,0,15984479520,63796465440,0,0,0,0,0,0,0,0,0,0,0,0,528015840,1820162669568,3792113760,3696110880,0,0,0,0,96002880,0,0,0,0,0,24000035200,1076161578368,671040984192,8151371955328,7058890353024,218369491200,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,6228112707540,5172543098100,3569027736420,40321209600,240007200,1228500853920,1124481733440,18250273440,624018720,1344040320,5210887642624,208320305536,51840076032,32640047872,1421762085248,3840005632,8784263520,1296038880,1008030240,1282561881088,1143361676928,960001408,45120066176,21697518720,2305923382016,128640188672,0,537600788480,1632024480,0,50113503360,7920237600,67060693920,0,0,0,0,0,0,0,48003360,48003360,0,0,0,2784083520,1148161683968,50737522080,52417572480,384161280,0,0,0,0,0,0,0,0,960001408,4800007040,667200978560,18240026752,6650889754624,6249609166080,273706087200,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3709074318300,18302780190240,12777900533100,143572307040,336010080,1417290517440,34081022400,13492046400,10800324000,34417032480,18299546839296,15041302060544,15015382022528,14391381107328,15135382198528,67200098560,169109073120,480014400,192005760,1608002358400,814081193984,0,22080032384,7872551040,1728002534400,142080208384,0,38309816187648,96001440,0,0,23376701280,0,0,0,1920057600,0,1152633600,0,0,18145270080,56835978240,144010080,0,0,36481094400,1226881799424,124755742560,21984659520,7299064320,76949386080,0,0,624018720,0,0,0,0,0,103680152064,17191705214464,87360128128,4396806448640,3624965316608,524528511360,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e9b0
__GI_,2233724980140,2393062468650,1761742798020,19680590400,0,1157794732800,147556426560,13981793280,624018720,144004320,2403843525632,38400056320,8640012672,5760008448,672000985600,2880004224,35137054080,192005760,96002880,618240906752,432000633600,0,25920038016,62740391520,2734084009984,92160135168,0,107520157696,1440021600,0,0,3312099360,0,0,0,0,0,0,0,0,0,0,0,0,0,624018720,1182721734656,15216456480,16416492480,72030240,0,0,0,0,0,0,0,0,0,15360022528,166080243584,76800112640,3302404843520,2228163267968,106303881600,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1934550919620,1986903380070,1488669964200,16752502560,144004320,693092792160,324585737280,7711112640,1248037440,240007200,1960322875136,253440371712,250560367488,221760325248,619200908160,8640012672,7248217440,1728051840,432012960,442560649088,430080630784,51840076032,6720009856,13200924000,1186561740288,37440054912,0,522240765952,480007200,0,0,5856175680,0,0,0,0,0,0,0,0,960067200,0,0,0,0,14784443520,582720854656,24816744480,24576737280,0,576040320,0,0,0,0,0,0,0,0,39360057728,525120770176,157440230912,2264643321472,2017922959616,70389110400,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432084
tcache_get,1672458601860,847599835320,619409110860,6480194400,96002880,268856065440,739414181760,2842452480,336010080,384011520,831361219328,19200028160,16320023936,9600014080,157440230912,960001408,912027360,240007200,48001440,243840357632,159360233728,0,0,6000420000,591360867328,23040033792,0,97920143616,480007200,0,0,2736082080,0,0,0,0,0,0,0,0,0,0,0,0,0,96002880,280320411136,9744292320,10368311040,48020160,0,0,0,48001440,0,0,0,0,0,5760008448,230400337920,19200028160,1137601668480,1466882151424,21001498560,libc-2.29.so,tcache_get,malloc.c,0x98bd9
