Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,33371.984490,64.9,6.6,1.8,9.3,60.7,0.0,17153074576800,1338184144320,211358794080,115640094240,85493984160,0,0,2112147840,16.157919,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5789.849426,9.0,8.8,0.0,0.0,0.0,0.0,4751566542720,436333089600,0,0,0,0,0,0,6.796973,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,5576.078818,73.2,0.0,0.0,3.9,79.1,0.0,1391369739840,37729131840,74549218080,16561159200,59236146240,0,0,480033600,43.760483,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
_int_free,2042.156497,0.0,16.9,0.6,0.1,0.0,1.7,2976713298720,1276838304000,0,0,0,0,0,0,8.274800,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,1875.768439,0.4,23.2,1.2,0.0,1.2,0.0,2584877544000,1373609207040,0,0,0,0,0,0,6.976387,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,1771.197349,0.0,22.7,0.2,0.1,1.2,0.0,1911945356640,602610077760,0,0,0,0,0,48003360,8.549045,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,1569.978410,3.1,21.6,2.3,0.5,0.7,0.0,1225476763200,1123521704640,96006720,0,0,0,0,0,14.124606,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI_,755.845799,0.0,26.3,1.1,0.2,0.3,0.0,1154914646400,143524305600,0,0,0,0,0,0,7.558824,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,673.789265,5.4,17.5,1.7,1.2,10.0,3.3,736438092480,331497944640,480033600,624043680,0,0,0,0,9.855247,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",651.588501,9.2,6.1,0.0,0.0,0.0,0.0,502863085440,46273388160,0,0,0,0,0,0,6.785658,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",625.857580,69.4,5.5,4.5,7.3,67.6,0.0,183461503680,175973279040,4560319200,2352164640,1872131040,0,0,0,13.181818,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43efbb
parallelLouvianMethod$omp$parallel_for@237,281.157379,79.7,18.1,43.2,7.5,6.5,5.3,37585127520,19584587520,0,48003360,0,0,0,0,90.510000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4322a0
malloc_consolidate,267.428991,0.0,19.2,6.1,0.8,0.5,0.0,284552536320,110403312000,48003360,0,0,0,0,0,10.204134,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
tcache_get,267.115199,0.0,15.2,0.0,0.1,1.1,0.0,276344290080,735958078080,0,0,0,0,0,0,7.385737,libc-2.29.so,tcache_get,malloc.c,0x98bd9
plm_init$omp$parallel_for@285,238.011018,90.0,0.0,0.0,0.0,0.2,86.8,0,24000720000,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x433660
__intel_ssse3_rep_memmove,225.145557,0.7,11.5,4.6,0.0,1.7,1.1,162148864320,156004680000,0,0,0,0,0,0,14.994083,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47c830
operator new,223.576599,0.6,23.2,1.5,0.4,1.9,0.0,62929887840,58081742400,0,0,0,0,0,0,7.667070,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
