Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,37252552043520,108149680679040,76574990321280,843625308000,4992149760,17153074576800,1338184144320,209578054560,199157974560,137764132800,107756318042368,77702513963520,75776751139072,65665056308608,84862204464384,209280306944,396491894400,3360100800,1248037440,9678734195456,6118088973184,960001408,73920108416,131865229920,18551067208192,599040878592,0,98889745038080,8736131040,0,0,31104933120,0,0,0,1056031680,0,10786729440,0,0,115640094240,85493984160,2112147840,0,0,206934207840,16461144142976,276584297280,19536586080,32413608000,211358794080,0,0,11328339840,0,0,0,0,1920002816,3605765288448,85960446075136,1322881940224,37719415321728,32134127129984,3386345198880,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
_int_free,12282693033600,6642302546880,4685909944320,49825494720,384011520,2976713298720,1276838304000,43174548480,1008030240,96002880,6695049819392,48960071808,6720009856,2880004224,1172161719168,1920002816,1920057600,240007200,144004320,1770242596352,1608962359808,115200168960,13440019712,26113827840,4414086473984,12480018304,0,385920566016,1920028800,0,192005760,17760532800,89190242880,0,0,0,0,0,0,0,0,0,0,0,0,6288188640,2790724093056,14832444960,15744472320,96040320,0,0,0,0,0,0,0,0,0,30720045056,240960353408,302400443520,11187856408832,11567056964992,357260746080,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11440446082560,18423049518720,13285325116800,141028230720,11136334080,4751566542720,436333089600,58697604000,0,0,18806427582720,960001408,1920002816,0,1613762366848,960001408,144004320,48001440,0,2431683566464,2025602970880,0,3209284706944,38498694720,7012810285440,2880004224,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,4845127106176,48001440,0,0,0,0,0,0,0,0,0,0,960001408,6720009856,218880321024,973441427712,15024022035200,14744661625472,398966053920,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,8044997431680,6094815027840,4304117727360,45841375200,288008640,2584877544000,1373609207040,25010700960,1920057600,1680050400,5952008729600,125760184448,53760078848,72000105600,1541762261248,5760008448,80594417760,1728051840,3696110880,1317121931776,1134721664256,960001408,49920073216,38546698080,3505925142016,359040526592,0,263040385792,5760086400,0,0,13200396000,0,0,0,0,0,0,0,0,0,0,0,0,0,720021600,2619843842432,3648109440,4416132480,48020160,0,0,0,0,0,0,0,0,0,5760008448,889921305216,53760078848,7217290585344,7129930457216,174484329600,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,7546921493760,5707562636160,4064170049280,42673280160,192005760,1911945356640,602610077760,25894165920,2880086400,1776053280,5629448256512,83520122496,72960107008,69120101376,1377602020480,10560015488,84290528640,768023040,10272308160,1338241962752,1197121755776,960001408,40320059136,33986378880,3501125134976,65280095744,0,380160557568,6240093600,0,144004320,16464493920,68644804800,0,0,48001440,0,0,0,0,0,0,48003360,0,0,720021600,1923842821632,4128123840,4224126720,24010080,0,0,0,0,0,0,0,0,0,21120030976,1198081757184,379200556160,8201292028544,7032970315008,221370391200,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,6229999353600,5195356246080,3602455274880,40753222560,432012960,1225476763200,1123521704640,18264677760,960028800,1248037440,5018887361024,178560261888,59520087296,34560050688,1302721910656,960001408,9408282240,384011520,1200036000,1292161895168,1150081686784,0,53760078848,19153340640,2290563359488,139200204160,0,489600718080,1344020160,0,49729491840,8352250560,65860609920,0,0,0,0,0,0,0,0,0,0,0,0,2016060480,1103041617792,52849585440,51025530720,504211680,96006720,0,0,48001440,0,0,0,0,0,0,552960811008,32640047872,6808329985536,6437769442048,257981371200,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3680757780480,18377478060480,12794809420800,136372091040,624018720,1391369739840,37729131840,13511252160,11856355680,34561036800,18478107101184,15153622225280,15264982388608,14543061329792,15136342199936,65280095744,158452753440,912027360,336010080,1607042356992,760321115136,0,30720045056,6720470400,1787522621696,156480229504,0,38012215751168,192002880,0,0,22608678240,0,0,0,1824054720,0,1046975520,0,0,16561159200,59236146240,480033600,0,0,34945048320,1209601774080,121011630240,19872596160,7491144960,74549218080,0,0,720021600,0,0,0,0,0,69120101376,17060185021568,144000211200,4436166506368,3647045348992,591258924480,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
__GI_,2265912506880,2352915290880,1734355497600,17520525600,96002880,1154914646400,143524305600,13712912640,576017280,144004320,2330883418624,39360057728,12480018304,6720009856,658560965888,4800007040,38353150560,288008640,192005760,590400865920,453120664576,0,23040033792,65716599840,2496003660800,74880109824,0,101760149248,2400036000,0,48001440,3360100800,0,0,0,0,0,0,0,0,0,0,0,0,0,672020160,1115521636096,14784443520,15456463680,48020160,0,0,0,0,0,0,0,0,0,16320023936,153600225280,80640118272,3303364844928,2173443187712,103653486720,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1928041695360,2086836776640,1546069472640,17760532800,96002880,736438092480,331497944640,7595878080,1248037440,96002880,2048643004672,266880391424,232320340736,208320305536,632640927872,15360022528,7872236160,1968059040,480014400,512640751872,433920636416,69120101376,4800007040,14305001280,1247041828992,32640047872,0,485760712448,192002880,0,0,4608138240,0,0,0,0,0,9605280,0,0,624043680,0,0,0,0,13392401760,620160909568,24864745920,22320669600,96040320,480033600,0,0,0,0,0,0,0,0,34560050688,535680785664,192000281600,2358723459456,2062083024384,74859251040,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
tcache_get,1694574224640,867747767040,612919612800,7056211680,0,276344290080,735958078080,2962488480,432012960,192005760,927361360128,7680011264,10560015488,9600014080,139200204160,1920002816,960028800,48001440,0,238080349184,182400267520,0,1920002816,8064564480,581760853248,17280025344,0,94080137984,192002880,0,0,2448073440,0,0,0,0,0,0,0,0,0,0,0,0,0,96002880,262080384384,9792293760,9504285120,24010080,0,0,0,0,0,0,0,0,0,5760008448,194880285824,22080032384,1116481637504,1458242138752,21880162080,libc-2.29.so,tcache_get,malloc.c,0x98bd9
