Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,26879.552528,74.5,3.2,1.1,6.2,64.6,0.0,0.0,16702984074490,1061266837050,179898592020,47701338860,123530646540,0,0,5810406700,13.906094,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d580
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",7037.914161,12.5,8.5,0.0,0.0,0.0,0.0,0.0,5753108588080,529026870330,0,7000490,0,0,0,0,9.569127,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,3655.539721,75.6,0.9,0.0,2.6,75.4,0.0,0.0,1333196994710,42778283310,77705439000,20147410220,56829977820,0,0,791055370,18.840137,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e090
parallelLouvianMethod$omp$parallel_for@237,2106.788154,72.7,14.3,43.5,8.6,4.2,9.8,0.0,41056231650,19593587790,182012740,70004900,14000980,0,0,0,77.477679,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430cb0
_int_free,1367.752711,4.8,10.7,0.8,0.0,0.2,1.2,0.0,3234160021890,1390388710410,0,7000490,14000980,0,0,0,13.206534,libc-2.28.so,_int_free,malloc.c,0x91e90
[vmlinux],1187.050211,35.9,12.3,0.0,3.3,2.8,11.0,1.2,526709800820,220443613110,420029400,308021560,70004900,77005390,0,0,11.388856,vmlinux,[vmlinux],[Unknown],0x0
__GI___libc_malloc,1161.489587,8.5,10.7,1.0,1.0,3.9,0.0,0.0,2231911955350,654715640880,14000980,0,14000980,0,0,77005390,13.861987,libc-2.28.so,__GI___libc_malloc,malloc.c,0x95b90
_int_malloc,1132.743145,20.1,22.2,2.1,0.0,1.3,0.0,0.0,933583006650,1020315608550,56003920,7000490,0,0,0,0,17.016052,libc-2.28.so,_int_malloc,malloc.c,0x93660
std::_Rb_tree_insert_and_rebalance,1080.955098,9.0,9.1,3.2,3.3,2.6,0.0,0.0,2907019207960,1206171184050,0,0,0,0,0,0,13.962349,libstdc++.so.6.0.25,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xab0d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",911.884533,10.1,5.5,0.0,0.1,0.0,0.0,0.0,693790813100,66592997730,0,0,0,0,0,7000490,10.768573,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
sumVertexDegree$omp$parallel_for@74,863.800924,96.5,0.0,0.0,6.4,89.4,0.3,0.0,3451103530,63001890,56003920,28001960,42002940,0,0,0,30.428571,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43cfcc
plm_analyzeClusters$omp$parallel_for@64,449.718810,15.1,14.7,0.0,0.9,11.7,10.4,0.0,527780832950,296990909460,434030380,245017150,266018620,0,0,14000980,11.091523,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431764
plm_init$omp$parallel_for@285,443.273088,87.6,0.7,0.0,0.1,0.2,79.1,0.0,0,24066721980,0,0,0,0,0,0,6.000000,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x432070
__GI_,381.112613,1.4,10.7,0.0,0.5,0.5,0.6,0.0,1023668709140,86060581740,0,0,0,0,0,0,13.202184,libc-2.28.so,"float __GI_(long, int, bool, char)",malloc.c,0x96310
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",288.723922,86.8,2.7,0.0,8.7,80.2,0.0,0.0,94250827440,131421942540,1190083300,350024500,910063700,0,0,0,12.904000,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43dcc7
malloc_consolidate,265.311872,7.7,9.4,4.8,0.5,0.4,0.1,0.0,377360320470,272798183700,14000980,14000980,0,0,0,0,13.977979,libc-2.28.so,malloc_consolidate,malloc.c,0x903b0
parallelLouvianMethod$omp$parallel_for@210,172.256381,82.0,0.0,25.4,16.1,49.7,0.0,0.0,14756442680,0,770053900,350024500,406028420,0,0,0,84.589431,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x430fc3
operator new,152.845125,1.8,6.0,1.8,0.0,3.0,0.0,0.0,15351460530,65080952370,0,0,0,0,0,0,13.175148,libstdc++.so.6.0.25,operator new(unsigned long),[Unknown],0x94280
std::_Rb_tree_increment,143.954473,32.0,4.9,4.7,1.7,31.1,0.0,0.0,292510775060,0,0,0,0,0,0,56003920,13.016072,libstdc++.so.6.0.25,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xaaf90
tcache_get,135.211998,0.0,5.7,0.0,0.0,0.3,0.0,0.0,160535815930,608661259290,0,0,0,0,0,7000490,13.074769,libc-2.28.so,tcache_get,malloc.c,0x95d29
__intel_ssse3_rep_memmove,126.914056,8.4,7.7,3.1,0.3,4.4,2.6,0.0,224797743730,132177965220,14000980,0,0,0,0,0,12.321590,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47b730
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",115.059854,17.5,0.0,3.4,1.5,20.1,0.0,0.0,289773692950,0,0,0,14000980,0,0,63004410,11.023795,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43d716
func@0xaaf30,102.835207,5.3,11.7,0.0,0.0,12.0,0.0,0.0,270019100330,0,0,0,0,0,0,0,13.521930,libstdc++.so.6.0.25,func@0xaaf30,[Unknown],0xaaf30
kmp_flag_native<unsigned long long>::get,99.871657,2.1,4.1,0.0,0.0,0.0,0.0,0.0,119003570,0,0,0,0,0,0,0,9.791802,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",99.871657,17.7,4.6,1.0,0.4,7.9,0.0,0.0,0,0,0,0,0,0,0,126008820,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43d73e
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",83.646217,11.6,4.0,3.8,2.1,4.6,0.0,0.0,49148474410,1202454072540,0,0,0,0,0,56003920,12.396930,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43d833
tcache_put,78.682270,37.9,30.7,12.5,0.5,2.4,0.0,0.0,2499074970,2646079380,0,0,0,0,0,0,19.600155,libc-2.28.so,tcache_put,malloc.c,0x93764
"std::vector<double, std::allocator<double>>::push_back",63.642250,9.4,6.7,0.0,5.4,8.9,0.0,0.0,80327409750,18207546210,0,0,0,0,0,0,14.136229,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43dbe7
tcache_put,60.826877,12.4,3.9,1.2,0.4,0.0,19.5,0.0,79970399040,299510985060,0,0,0,0,0,0,13.972789,libc-2.28.so,tcache_put,malloc.c,0x921c0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_hint_unique_pos",59.715545,38.1,2.7,0.0,0.0,1.9,43.1,0.0,90442713200,24444733320,0,0,0,0,0,0,9.613917,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<long const, long>>, long const&)",stl_tree.h,0x41e740
duplicateGivenGraph$omp$parallel_for@152,54.455243,90.7,25.2,0.4,2.1,6.6,47.1,0.0,14518435540,12033360990,0,0,0,0,0,0,41.421986,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@152,utilityFunctions.cpp,0x44ce5f
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",52.825290,2.5,10.6,0.0,14.4,3.8,0.0,0.0,97701930970,153220596480,0,0,0,0,0,0,13.410324,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43d73e
operator delete,52.603024,11.9,13.6,1.0,0.0,1.6,0.1,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.25,operator delete(void*),[Unknown],0x923c0
