Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,34230.670933,66.0,5.6,5.5,8.7,57.7,0.0,3.1,17240629203360,1296710900160,206558458080,111415798560,81269688480,2256157920,2880201600,2352164640,16.502117,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df60
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",5814.965724,9.1,8.8,0.0,0.0,0.0,0.0,0.0,4831632944640,447853435200,0,0,0,0,0,0,6.809241,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
max,5480.187408,72.8,0.9,0.0,4.8,77.4,0.0,0.0,1426362789600,38401152000,79877591040,17473223040,57460021920,0,0,384026880,42.958042,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea70
_int_free,2046.742004,0.0,16.5,0.8,0.0,0.1,1.6,0.0,2977001307360,1287398620800,0,0,0,0,0,0,8.319824,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,1889.419991,0.0,24.3,0.3,0.2,1.0,0.0,0.0,2613822412320,1377545325120,0,0,0,0,0,0,7.022899,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,1810.530185,0.0,21.6,0.4,0.0,1.2,0.0,0.0,1885448561760,588689660160,0,0,0,0,0,0,8.627650,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,1566.539209,2.7,23.7,2.6,0.5,0.5,0.0,0.0,1225476763200,1116033480000,48003360,0,0,0,0,0,14.823545,libc-2.29.so,_int_malloc,malloc.c,0x966c0
sumVertexDegree$omp$parallel_for@74,1137.129735,55.6,0.0,,8.7,,0.0,,2016060480,96002880,0,0,0,0,0,0,50.750000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d9ac
__GI_,737.372578,0.0,25.9,1.4,0.0,0.4,0.0,0.0,1190627717760,143236296960,0,0,0,0,0,0,7.581252,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,699.575026,9.5,13.3,1.2,2.0,15.5,3.1,8.3,697988939040,346378391040,480033600,384026880,0,48003360,96006720,0,9.334821,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432144
