Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,37898317951200,110668133318400,78547030909200,853033590240,5136154080,17240629203360,1296710900160,212026788960,135412062240,111555346560,110321441804544,79625396783744,73498667797888,63859293660160,85801085841408,224640329472,418812564000,18768563040,864025920,9698894225024,5958728739456,2880004224,95040139392,121928534400,16894104777984,604800887040,0,103395991647232,9504142560,0,0,38209146240,0,0,0,912027360,0,10940413920,0,0,111415798560,81269688480,2352164640,0,2880201600,235879076160,16655064427392,273752212320,17904537120,28836106080,206558458080,2256157920,0,11424342720,0,0,0,0,0,9944654585472,93089416530944,1370882010624,38167735979264,32355887455232,3498890952480,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df60
_int_free,12278225559600,6491169820800,4696533928800,51169535040,192005760,2977001307360,1287398620800,42651191520,1008030240,48001440,6380169357568,63360092928,9600014080,6720009856,1133761662848,15360022528,2448073440,864025920,0,1763522586496,1679042462592,106560156288,13440019712,24481713600,4493766590848,14400021120,0,359040526592,1440021600,0,240007200,18096542880,89094236160,0,0,0,0,0,0,0,0,0,0,0,0,6432192960,2863684200064,16512495360,13920417600,144060480,0,0,0,0,0,0,0,0,0,24960036608,360960529408,252480370304,11025616170880,11472016825600,354850423200,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11435988715200,18596051913600,13343246859600,145060351680,11856355680,4831632944640,447853435200,57463633920,0,0,18366746937856,3840005632,960001408,0,1633922396416,0,240007200,0,0,2432643567872,1988162915968,960001408,3143044609792,37250607360,7135690465664,2880004224,0,3840005632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4656966830208,96002880,48001440,0,0,0,0,0,0,0,0,0,960001408,1920002816,268800394240,936001372800,15302422443520,15096022140800,391283749920,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,8285925715200,6032280643200,4335536709000,43105293120,240007200,2613822412320,1377545325120,25370808960,1248037440,912027360,6019208828160,96000140800,75840111232,62400091520,1560002288000,8640012672,90386711520,4656139680,3792113760,1434242103552,1146241681152,960001408,36480053504,37874651040,3524165168768,368640540672,0,288000422400,6240093600,0,0,12816384480,0,0,0,48001440,0,0,0,0,0,0,0,0,0,816024480,2650563887488,3648109440,4320129600,48020160,0,0,0,0,0,0,0,0,0,27840040832,1704962500608,57600084480,7401610855680,7256650643072,178176636960,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,7543050858000,5807636150400,4154513088600,45265357920,192005760,1885448561760,588689660160,26047812000,2736082080,288008640,5861768597248,96960142208,73920108416,72000105600,1348801978240,42240061952,83426502720,4224126720,8976269280,1297921903616,1254721840256,960001408,51840076032,30002100000,3675845391232,68160099968,0,405120594176,4992074880,0,96002880,19632588960,69124838400,0,0,0,0,0,0,0,0,0,0,0,0,288008640,1845122706176,3312099360,4416132480,24010080,0,0,0,48001440,0,0,0,0,0,40320059136,1850882714624,342720502656,8146571948288,6898570117888,224731399200,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,6247024938000,5155063099200,3594641891400,38305149120,144004320,1225476763200,1116033480000,18067818720,384011520,336010080,5264647721472,185280271744,48960071808,24000035200,1406402062720,18240026752,10464313920,1920057600,1008030240,1335361958528,1117441638912,0,55680081664,20737451520,2323203407360,133440195712,0,474240695552,1824027360,0,49873496160,7008210240,65188562880,0,0,48001440,0,0,0,0,0,0,0,0,0,2784083520,1241281820544,51217536480,52369571040,480201600,48003360,0,0,0,0,0,0,0,0,6720009856,1173121720576,28800042240,6788169955968,6547209602560,267829124640,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3662713252800,17839556784000,12575051496000,139060171680,576017280,1426362789600,38401152000,13732118400,11520345600,33264997920,18092186535168,14658261498752,14652501490304,13800020240000,14809941721216,67200098560,169157074560,1056031680,240007200,1536002252800,780481144704,960001408,42240061952,6432450240,1704002499200,150720221056,0,37127094452992,96001440,0,0,16992509760,0,0,0,2016060480,0,1114212480,0,0,17473223040,57460021920,384026880,0,0,35329059840,1173121720576,122499674880,21168635040,7947336480,79877591040,0,0,624018720,0,0,0,0,0,241920354816,17166745177856,123840181632,4507206610560,3646085347584,589904918400,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea70
__GI_,2342926857600,2349646992000,1692003839400,19536586080,96002880,1190627717760,143236296960,14034609120,288008640,96002880,2325123410176,42240061952,9600014080,8640012672,651840956032,2880004224,33505005120,384011520,480014400,615360902528,434880637824,0,18240026752,65140559520,2599683812864,108480159104,0,96000140800,2304034560,0,0,3408102240,0,0,0,96002880,0,0,0,0,0,0,0,0,0,480014400,1184641737472,15312459360,14736442080,72030240,0,0,0,0,0,0,0,0,0,28800042240,232320340736,89280130944,3297604836480,2335683425664,106399910400,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1901018019600,2125962518400,1605272104800,19536586080,96002880,697988939040,346378391040,7528657920,1296038880,0,2196483221504,397440582912,372480546304,330240484352,680640998272,14400021120,7968239040,3456103680,528015840,462720678656,424320622336,65280095744,13440019712,12768893760,1136641667072,27840040832,0,568320833536,288004320,0,0,5328159840,0,0,0,0,0,9605280,0,0,384026880,0,0,0,96006720,12960388800,566400830720,22992689760,21552646560,48020160,480033600,48003360,0,0,0,0,0,0,0,66240097152,675840991232,173760254848,2252163303168,2023682968064,70278677280,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432144
tcache_get,1667193343200,872417448000,623292465600,7392221760,0,263383901280,723093692160,2996098560,240007200,288008640,912001337600,21120030976,14400021120,10560015488,168000246400,12480018304,1008030240,1248037440,48001440,249600366080,204480299904,0,1920002816,6000420000,582720854656,15360022528,0,86400126720,192002880,0,0,1920057600,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,298560437888,10512315360,9456283680,24010080,0,0,0,0,0,0,0,0,0,11520016896,274560402688,27840040832,1151041688192,1397762050048,23330196960,libc-2.29.so,tcache_get,malloc.c,0x98bd9
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",1275865516800,2056841136000,1415638312200,12672380160,6576197280,435181055040,41089232640,5507251680,0,0,1927682827264,960001408,960001408,0,201600295680,0,0,0,48001440,258240378752,161280236544,0,291840428032,192013440,502080736384,960001408,0,0,0,0,0,0,0,0,0,0,0,9605280,0,0,0,0,0,0,0,0,440640646272,0,0,0,0,0,0,0,0,0,0,0,0,0,53760078848,960001408,1552322276736,1521602231680,37215961440,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
malloc_consolidate,1194863896800,885137702400,614052280800,6480194400,0,283832514720,111171335040,3562668480,240007200,0,950401393920,64320094336,24960036608,4800007040,232320340736,0,4032120960,48001440,144004320,226560332288,205440301312,0,5760008448,13248927360,596160874368,36480053504,0,163200239360,480007200,0,0,1584047520,1824127680,0,0,0,0,0,0,0,48003360,0,0,0,0,9120273600,238080349184,12864385920,11088332640,48020160,48003360,0,0,0,0,0,0,0,0,7680011264,67200098560,9600014080,1215361782528,1143361676928,34483942080,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
operator new,873917478000,758415168000,552101041800,6672200160,0,59617788480,62113863360,4009202400,576017280,96002880,794881165824,32640047872,22080032384,14400021120,204480299904,4800007040,8448253440,480014400,96002880,212160311168,164160240768,0,4800007040,13200924000,713281046144,41280060544,0,94080137984,0,0,0,768023040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64320094336,0,0,0,0,0,0,0,0,0,0,0,0,8640012672,309120453376,27840040832,870721277056,892801309440,34594375200,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
__intel_ssse3_rep_memmove,736394727600,659293185600,485949718800,5616168480,0,161572847040,159076772160,1594078080,864025920,48001440,675840991232,39360057728,7680011264,11520016896,110400161920,3840005632,1536046080,240007200,336010080,144960212608,116160170368,2880004224,21120030976,13776964320,422400619520,62400091520,10560015488,167040244992,9216138240,0,48001440,2064061920,0,0,0,0,0,0,0,0,0,0,0,0,0,9984299520,144000211200,8688260640,9120273600,0,0,0,0,0,0,0,0,0,1920002816,5760008448,213120312576,65280095744,587520861696,753601105280,17001899040,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47c130
func@0xbcd30,599591991600,675613512000,471669433200,5856175680,0,212406372000,0,1594078080,288008640,192005760,700801027840,39360057728,31680046464,47040068992,172800253440,960001408,33697010880,768023040,96002880,131520192896,110400161920,0,7680011264,19297350720,662400971520,102720150656,0,126720185856,768011520,0,0,1872056160,0,0,0,0,0,0,0,0,0,0,0,0,0,96002880,249600366080,720021600,624018720,0,0,0,0,48001440,0,0,0,0,0,9600014080,301440442112,3840005632,571200837760,566400830720,11216163840,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
kmp_flag_native<unsigned long long>::get,583571671200,223204464000,157713154200,2304069120,240007200,144004320,0,2583174720,0,0,209280306944,0,0,0,0,0,0,0,0,8640012672,63360092928,0,0,0,226560332288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840005632,12480018304,151680222464,417600612480,18091825920,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
"std::vector<double, std::allocator<double>>::push_back",544330886400,444008880000,308286165600,3744112320,0,129027870720,14784443520,2948084160,192005760,48001440,455040667392,20160029568,10560015488,9600014080,101760149248,0,48001440,144004320,96002880,111360163328,86400126720,0,5760008448,0,244800359040,4800007040,0,23040033792,96001440,0,0,912027360,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,138240202752,48001440,48001440,0,0,0,0,0,0,0,0,0,0,4800007040,138240202752,3840005632,641280940544,401280588544,21380812320,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43e5c7
