Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,10224.445908,79.6,3.8,1.3,9.3,66.5,15.7,71.8,99.9,0.0,100.0,0.0,4222386667800,367721031300,64516515840,42002940,65566589340,0,26.691439,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dbc0
max,1035.874825,74.5,0.8,2.6,0.6,76.4,41.3,53.4,100.0,0.0,100.0,0.0,338488154340,2898086940,19111337700,0,17431220100,0,41.458609,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e6d0
std::_Rb_tree_insert_and_rebalance,369.985180,6.3,16.8,1.2,0.1,1.9,0.6,24.8,0.0,0.0,0.0,0.0,659461783260,302829084600,0,0,0,0,8.914654,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,337.795501,3.6,10.0,1.1,0.0,2.4,0.2,7.2,0.0,0.0,0.0,0.0,835489063920,356128683540,0,0,0,0,9.591270,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,312.483066,14.6,18.5,1.8,0.0,1.3,0.7,18.8,100.0,0.0,1.2,0.0,325509765000,310851325260,0,0,42002940,0,17.511050,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,258.171155,7.8,12.6,2.1,0.0,1.3,1.2,25.6,0.0,0.0,0.0,0.0,579911396820,174473234040,0,0,0,0,10.305385,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,108.989909,4.4,26.3,0.0,2.4,1.7,0.2,24.9,0.0,0.0,0.0,0.0,274646239140,0,0,0,0,0,7.113074,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
malloc_consolidate,107.002569,22.0,22.3,5.0,2.9,11.0,4.3,18.9,100.0,0.0,15.1,0.0,92192765700,48427452780,84005880,0,126008820,0,18.922131,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI_,93.535726,2.4,18.5,1.7,0.0,2.0,1.0,7.7,100.0,0.0,4.0,0.0,227982839280,16674500220,0,0,42002940,0,7.500000,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",68.510932,8.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69260077740,6510195300,0,0,0,0,6.804255,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_increment,51.540094,54.8,1.0,0.0,8.3,46.1,15.2,57.9,100.0,0.0,18.7,0.0,77366320920,0,42002940,0,84005880,0,9.397476,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",40.531276,7.4,18.8,0.0,2.3,11.4,9.7,38.2,0.0,0.0,0.0,0.0,71108133180,0,0,0,0,0,9.950276,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43dd56
plm_analyzeClusters$omp$parallel_for@64,39.589905,30.3,4.5,0.0,2.8,24.8,5.1,29.9,50.0,18.2,28.2,0.0,45529365840,20034601020,126008820,84005880,84005880,0,12.636816,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431da4
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",29.810100,0.0,1.6,1.6,0.0,2.4,4.0,23.3,0.0,0.0,0.0,0.0,1092032760,281450443260,0,0,0,0,7.358209,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43de73
operator new,25.783122,21.4,3.0,1.0,3.0,0.0,1.0,24.9,0.0,0.0,0.0,0.0,17808534240,5040151200,0,0,0,0,7.240642,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",25.312436,8.0,5.4,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,29442883260,2898086940,0,0,0,0,6.756757,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
"std::vector<double, std::allocator<double>>::push_back",23.586588,0.0,14.7,5.2,0.0,2.1,2.1,24.1,0.0,0.0,0.0,0.0,17976539280,1218036540,0,0,0,0,7.133333,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43e227
tcache_get,23.481991,0.7,1.9,0.9,0.0,0.0,1.9,42.3,0.0,0.0,0.0,0.0,39733191960,88118643480,0,0,0,0,7.724771,libc-2.29.so,tcache_get,malloc.c,0x98bd9
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",21.860740,39.0,11.3,6.2,3.1,8.3,2.1,26.8,0.0,0.0,0.0,0.0,11340340200,2394071820,84005880,0,0,0,7.506494,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41ea00
__intel_ssse3_rep_memmove,21.756143,16.3,3.3,5.6,2.2,4.4,3.3,38.9,0.0,0.0,0.0,0.0,41203236060,28392851760,0,0,0,0,9.945652,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47bc70
tcache_put,21.050114,22.9,28.1,5.1,0.0,1.3,2.6,11.5,0.0,0.0,0.0,0.0,0,168005040,0,0,0,0,26.354430,libc-2.29.so,tcache_put,malloc.c,0x967bc
parallelLouvianMethod$omp$parallel_for@237,19.925698,96.9,3.5,44.4,10.5,17.5,42.1,29.2,0.0,0.0,0.0,0.0,2310069300,1218036540,0,0,0,0,364.090909,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4312f0
unlink_chunk,19.533460,7.3,12.8,3.5,9.3,7.0,11.6,20.9,100.0,0.0,84.5,0.0,22260667800,3864115920,0,0,126008820,0,10.447619,libc-2.29.so,unlink_chunk,malloc.c,0x93760
