Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,6643.903629,69.2,2.6,6.2,7.8,54.8,28.7,58.3,0.0,100.0,0.0,0.0,4208484250740,358900766700,59602171860,59980198320,0,42002940,0,0,19.803104,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dbc0
max,621.997268,63.4,1.9,0.0,4.7,64.4,31.6,65.8,0.0,100.0,0.0,0.0,334456033380,3234097020,16129128960,15667096620,0,0,0,0,30.350610,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e6d0
std::_Rb_tree_insert_and_rebalance,334.338241,4.2,10.8,3.2,2.2,2.7,4.2,36.0,0.0,0.0,0.0,0.0,635605067580,290102702820,0,0,0,0,0,0,7.538462,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,324.636287,3.0,7.3,0.1,0.5,0.4,0.4,4.1,0.0,1.4,0.0,0.0,838723160940,369233076660,42002940,42002940,0,0,0,0,9.435762,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,308.030516,13.9,16.2,1.6,0.0,0.7,2.1,27.7,0.0,0.0,0.0,0.0,326685800280,300729021600,42002940,0,0,0,0,0,16.196573,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,250.498710,5.2,9.5,1.0,0.5,1.3,3.4,32.3,0.0,0.0,0.0,0.0,585959578260,178379351220,0,0,0,0,0,0,9.503115,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,107.506023,10.4,21.3,0.0,3.2,3.7,1.9,38.5,0.0,0.0,0.0,0.0,274478234100,0,0,0,0,0,0,0,7.071186,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
malloc_consolidate,91.580174,12.2,10.3,3.9,9.8,3.1,3.3,16.7,0.0,8.4,0.0,0.0,92066761920,49897496880,126008820,84005880,0,0,0,0,11.368231,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI_,90.194180,3.0,19.6,0.0,1.8,1.0,0.5,6.0,0.0,0.0,0.0,0.0,229410882120,17472524160,0,0,0,0,0,0,7.737557,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
sumVertexDegree$omp$parallel_for@74,70.450311,97.7,0.0,0.1,8.0,44.8,100.0,0.0,0.0,100.0,0.0,0.0,17808534240,84002520,1554108780,420029400,0,504035280,0,0,290.000000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d60c
clear_page_erms,66.449235,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84002520,0,0,0,0,0,0,0,14.000000,vmlinux,clear_page_erms,[Unknown],0xffffffff9483c070
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",65.847766,12.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39565186920,3780113400,0,0,0,0,0,0,6.809129,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
plm_analyzeClusters$omp$parallel_for@64,61.271373,49.1,2.3,5.5,0.0,46.1,3.9,59.0,0.0,0.0,0.0,0.0,44563336860,21126633780,126008820,0,0,42002940,0,0,10.481865,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431da4
std::_Rb_tree_increment,44.377943,28.2,0.0,15.5,0.0,40.5,13.3,63.3,0.0,0.0,0.0,0.0,81734451960,0,252017640,0,0,0,0,0,12.515464,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",39.670795,21.1,4.6,0.0,0.6,16.0,13.7,52.1,0.0,0.0,0.0,0.0,72578177280,0,0,0,0,0,0,0,12.383721,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43dd56
