Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,11567.702820,72.6,4.2,2.0,11.2,60.8,0.0,0.0,4425042747300,380783423160,64306501140,20245417080,36752572500,0,0,3066214620,22.440597,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dbc0
max,1233.671780,70.1,0.8,0.6,7.9,69.7,0.0,0.0,335842074960,4284128520,15205064280,4158291060,9366655620,0,0,0,33.505525,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e6d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",976.670990,14.4,8.9,0.0,0.0,0.0,0.0,0.0,831540945480,75098252880,0,0,0,0,0,0,6.956182,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,505.189078,1.0,19.8,1.2,0.6,2.0,0.0,0.0,607506224640,297116913240,0,0,0,0,0,0,7.350211,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,458.956131,0.0,13.2,0.5,0.1,0.7,0.1,0.0,758122743000,347224416420,42002940,0,0,0,0,0,8.735547,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,452.497117,9.7,18.9,3.2,0.0,1.3,0.0,0.0,347434422720,313413402120,0,0,0,0,0,0,14.298394,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,363.195357,0.0,15.5,0.7,0.0,1.8,0.1,0.0,534466033500,161956858560,0,0,0,0,0,42002940,9.662904,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,194.058085,0.0,22.1,0.3,0.0,2.1,0.0,0.0,231720951420,0,0,0,0,0,0,0,7.693642,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
sumVertexDegree$omp$parallel_for@74,176.511531,98.3,0.0,0.0,14.5,97.0,0.0,0.0,5376161280,84002520,588041160,462032340,84005880,0,0,0,353.250000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d60c
__GI_,152.139865,0.0,25.7,2.0,0.0,1.3,0.0,0.0,247135413840,24192725760,0,0,0,0,0,0,7.620690,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
