Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,12243.976623,68.7,6.9,2.0,10.6,60.5,0.0,4436005076160,366106982880,67684737600,25105757280,33506345280,1344094080,22.542683,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
max,1378.463888,70.0,1.3,4.8,7.9,67.8,0.0,341578247040,3648109440,14305001280,3984278880,9360655200,96006720,32.751098,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f680
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",975.569725,7.1,7.8,0.0,0.0,0.0,0.0,854329629120,78242347200,0,0,0,0,6.777884,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,559.496781,0.0,21.3,1.0,0.5,1.0,0.0,584849544960,309801293760,0,0,0,0,7.212714,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,507.827592,0.0,16.0,0.8,0.7,0.3,0.2,717573526560,339802193760,48003360,0,0,0,8.565160,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,505.160458,4.6,22.0,2.5,0.6,0.9,0.0,351418542240,316473493920,96006720,48003360,96006720,0,14.159218,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,430.663737,0.0,16.9,0.4,0.5,1.2,0.0,482654479200,147844435200,48003360,0,0,0,8.766998,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,227.307824,0.0,25.5,0.4,0.5,1.6,0.0,231606948000,0,0,48003360,0,0,7.071429,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
sumVertexDegree$omp$parallel_for@74,207.905730,98.7,1.2,0.0,4.0,100.0,0.0,5376161280,48001440,288020160,240016800,1296090720,0,43.666667,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43e5bc
__GI_,182.829438,0.0,25.4,2.4,0.3,0.3,0.0,245911377120,29904897120,48003360,48003360,0,0,7.673108,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",128.283928,9.3,8.2,0.0,0.2,0.0,0.0,106611198240,9840295200,0,0,0,0,6.773663,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
malloc_consolidate,117.824578,1.3,18.7,9.0,5.1,3.6,0.0,79826394720,47713431360,192013440,0,0,0,11.414365,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
plm_analyzeClusters$omp$parallel_for@64,86.917199,0.2,19.1,0.0,6.7,20.2,0.0,94226826720,20928627840,144010080,192013440,48003360,0,19.558140,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
tcache_get,70.522168,0.0,17.2,2.7,0.0,1.8,0.0,58369751040,152116563360,0,0,0,0,8.161017,libc-2.29.so,tcache_get,malloc.c,0x98bd9
operator new,64.037371,0.0,24.3,0.5,0.0,1.9,0.0,9360280800,13056391680,0,0,0,0,17.757282,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
std::_Rb_tree_increment,63.226771,20.1,13.9,1.9,11.1,23.7,0.0,85874576160,0,0,192013440,0,0,8.090032,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",62.912990,56.3,0.0,0.0,16.9,63.7,0.0,16560496800,37777133280,144010080,0,144010080,0,15.051948,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43f2b7
"std::vector<double, std::allocator<double>>::push_back",48.374494,0.0,21.5,0.7,1.3,0.7,0.0,36289088640,2544076320,0,0,0,0,7.151163,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43f1d7
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",46.465662,7.9,15.8,2.7,0.0,12.3,0.0,60337810080,0,0,0,0,0,7.132432,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43ed06
__intel_ssse3_rep_memmove,41.131394,0.0,12.9,3.7,0.7,1.3,0.7,40945228320,32064961920,0,0,0,0,10.521739,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47cc30
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",38.098182,2.0,22.8,0.0,0.0,3.1,0.0,5136154080,153892616640,0,0,0,0,7.350515,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43ee23
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",36.137054,0.0,15.9,4.8,7.2,4.0,0.0,17424522720,3792113760,48003360,48003360,0,0,7.462366,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
