Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,9449810093520,38445001997580,28095505710000,301881056160,19728591840,4436005076160,366106982880,55120531200,44161324800,81410442240,38287736155264,28111721230464,27338920097024,23262754118656,30779565143296,45120066176,1744900345440,2496074880,432012960,3245764760448,1620482376704,0,41280060544,54531816960,7222090592384,331200485760,0,36917814146048,3072046080,0,0,6384191520,0,0,0,28128843840,0,4965929760,0,0,25105757280,33506345280,1344094080,0,0,116307489120,4131846060032,118035540960,29376881280,17119187040,67684737600,0,0,5280158400,0,0,0,0,0,1616642371072,32216687251072,193920284416,10820175869568,8069771835648,1242564657600,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
_int_free,3058435050840,1594648703160,1165280974680,12528375840,336010080,717573526560,339802193760,10832048640,0,240007200,1598402344320,27840040832,15360022528,4800007040,283200415360,0,3360100800,0,48001440,420480616704,378240554752,3840005632,2880004224,5616393120,1215361782528,1920002816,0,161280236544,1056015840,0,336010080,4320129600,26401848000,0,0,0,0,0,0,0,0,0,0,0,0,3264097920,706561036288,5760172800,5424162720,144060480,48003360,0,0,0,0,0,0,0,0,0,63360092928,22080032384,2766724057856,2887684235264,92778225120,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1916194490880,3068875238760,2238580293720,26064781920,2208066240,854329629120,78242347200,10073421120,0,0,3284164816768,0,0,960001408,239040350592,0,48001440,48001440,0,429120629376,344640505472,0,556800816640,6336443520,1154881693824,0,0,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693121016576,0,0,0,0,0,0,0,0,0,0,0,0,0,51840076032,81600119680,2800324107136,2762884052224,68276476800,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI___libc_malloc,1891294042680,1352544345360,988217787600,10464313920,576017280,482654479200,147844435200,5790536640,288008640,672020160,1316161930368,28800042240,23040033792,16320023936,257280377344,1920002816,35953078560,960028800,2256067680,305280447744,277440406912,0,14400021120,8064564480,1005121474176,28800042240,0,85440125312,1056015840,0,0,3168095040,17953256640,0,0,0,0,0,0,0,0,0,0,0,0,336010080,457920671616,1248037440,1296038880,0,48003360,0,0,0,0,0,0,0,0,1920002816,487680715264,9600014080,2069763035648,1775042603392,50765625120,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,1852413342840,1757371632120,1283843108760,14112423360,144004320,584849544960,309801293760,5891366880,528015840,768023040,1694402485120,45120066176,27840040832,18240026752,419520615296,1920002816,46561396800,816024480,1200036000,370560543488,279360409728,0,10560015488,14305001280,1443842117632,138240202752,0,118080173184,2304034560,0,0,2256067680,0,0,0,0,0,0,0,0,0,0,0,0,0,1872056160,622080912384,3840115200,3216096480,72030240,0,0,0,0,0,0,0,0,0,5760008448,480000704000,8640012672,2130243124352,1608962359808,42492744000,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1791932254200,1570888275480,1159160864520,11856355680,384011520,351418542240,316473493920,5156746560,432012960,672020160,1553282278144,63360092928,24000035200,14400021120,408960599808,0,3648109440,96002880,144004320,408000598400,331200485760,0,6720009856,6960487200,756481109504,32640047872,0,180480264704,576008640,0,10272308160,1824054720,17281209600,0,0,0,0,0,0,0,48003360,96006720,0,0,0,1008030240,325440477312,16416492480,16128483840,168070560,96006720,0,0,0,0,0,0,0,0,3840005632,382080560384,3840005632,1987202914560,1770242596352,73015498080,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,882255880320,4334748024060,3163076934360,34177025280,1680050400,341578247040,3648109440,3279383520,3072092160,6912207360,4209606174080,3488645116672,3280324811136,2939524311296,3545285199744,6720009856,482750482080,0,288008640,391680574464,215040315392,0,12480018304,1104077280,484800711040,67200098560,0,8394252311552,192002880,0,0,3552106560,0,0,0,7584227520,0,941317440,0,0,3984278880,9360655200,96006720,0,0,11184335520,280320411136,35905077120,8784263520,5138157120,14305001280,0,0,96002880,0,0,0,0,0,114240167552,3930245764352,24000035200,1214401781120,834241223552,107403411360,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f680
func@0xbcd30,667392012840,710742793140,521589388440,6000180000,0,231606948000,0,1680504000,288008640,432012960,752641103872,18240026752,15360022528,11520016896,199680292864,0,37441123200,432012960,0,158400232320,115200168960,0,9600014080,19201344000,601920882816,129600190080,0,41280060544,288004320,0,0,1344040320,0,0,0,0,0,0,0,0,48003360,0,0,0,0,576017280,235200344960,1728051840,1584047520,48020160,0,0,0,0,0,0,0,0,0,3840005632,229440336512,0,647040948992,667200978560,11883564000,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,443167976880,560350086120,419527551360,5136154080,144004320,245911377120,29904897120,2981694240,48001440,0,552960811008,17280025344,3840005632,1920002816,159360233728,0,19296578880,48001440,144004320,117120171776,85440125312,0,5760008448,18193273440,677760994048,24960036608,0,53760078848,672010080,0,96002880,336010080,0,0,0,0,0,0,0,0,48003360,0,0,0,0,96002880,252480370304,7248217440,6384191520,72030240,48003360,0,0,0,0,0,0,0,0,960001408,22080032384,0,728641068672,426240625152,22878861600,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
tcache_get,388146986520,212673828060,161822912760,2016060480,48001440,58369751040,152116563360,566569920,144004320,192005760,220800323840,9600014080,3840005632,3840005632,46080067584,0,768023040,48001440,96002880,45120066176,51840076032,0,0,1728120960,142080208384,4800007040,0,25920038016,96001440,0,0,912027360,0,0,0,48001440,0,0,0,0,0,0,0,0,0,96002880,55680081664,4176125280,2976089280,24010080,0,0,0,0,0,0,0,0,0,0,74880109824,1920002816,293760430848,344640505472,4623786720,libc-2.29.so,tcache_get,malloc.c,0x98bd9
