Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,12185.139160,70.8,4.7,6.4,9.1,61.2,0.0,4296752898720,369755092320,65284569600,27025891680,30578140320,96006720,0,1728120960,21.212934,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
max,1350.002316,67.8,3.9,1.1,4.2,73.7,0.0,344074321920,3168095040,14881041600,3792265440,8256577920,0,0,0,39.417391,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",931.328229,10.1,9.0,0.0,0.0,0.0,0.0,833497004160,75506265120,0,0,0,0,0,0,6.806017,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,565.919967,0.0,19.2,1.0,0.6,1.8,0.0,576785303040,305577167040,0,0,0,0,0,0,7.262866,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,530.017180,0.0,16.3,0.9,0.3,0.3,0.1,731589947040,346474393920,48003360,0,0,0,0,0,8.457667,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,498.141363,4.0,22.1,3.2,0.1,0.9,0.0,353578607040,317961538560,48003360,48003360,0,0,0,0,13.811081,libc-2.29.so,_int_malloc,malloc.c,0x966c0
sumVertexDegree$omp$parallel_for@83,450.445308,96.1,0.4,0.0,7.7,86.3,0.0,4656139680,48001440,96006720,48003360,0,0,0,0,742.333333,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e5bc
__GI___libc_malloc,413.365809,0.0,16.2,0.3,0.6,1.2,0.0,505935177600,148036440960,0,0,0,0,0,0,8.579710,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,230.400186,0.0,30.5,0.1,0.3,2.6,0.0,210102302880,0,0,0,0,0,0,0,7.011299,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",222.424695,74.8,0.0,7.8,5.7,68.3,0.0,56641699200,46993409760,816057120,144010080,336023520,0,0,0,22.046053,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43efbb
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",184.665318,6.8,5.9,0.0,0.0,0.0,0.0,132051961440,12912387360,0,0,0,0,0,0,6.832298,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
__GI_,179.147846,0.0,27.9,1.4,0.3,1.2,0.0,257095712640,27888836640,0,0,0,0,0,0,7.749206,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,119.632374,2.9,16.3,4.5,6.0,4.5,0.0,84626538720,46417392480,48003360,48003360,0,0,0,0,12.324074,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
plm_analyzeClusters$omp$parallel_for@64,96.333479,8.5,18.3,4.5,0.0,22.1,0.6,101283038400,22512675360,240016800,144010080,48003360,0,0,0,11.073171,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
std::_Rb_tree_increment,64.849899,12.3,11.5,6.0,9.6,19.3,0.0,84242527200,0,48003360,288020160,0,0,0,0,8.334262,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
tcache_get,64.693004,0.0,9.4,0.5,1.4,0.5,0.0,64033920960,160804824000,0,0,0,0,0,0,7.335878,libc-2.29.so,tcache_get,malloc.c,0x98bd9
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",56.299126,13.4,3.2,3.8,3.2,13.5,0.0,66289988640,0,0,0,0,0,0,0,7.232759,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43ec6e
clear_page_erms,48.219038,96.8,1.1,0.0,0.0,0.0,86.5,0,0,0,0,0,0,0,0,0.0,vmlinux,clear_page_erms,[Unknown],0xffffffffac63c070
operator new,47.408414,0.0,26.8,0.0,0.0,3.2,0.0,10368311040,7248217440,0,0,0,0,0,0,7.314136,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",41.838645,2.7,26.2,0.7,0.0,3.5,0.0,7680230400,154276628160,0,0,0,0,0,0,7.133333,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43ecee
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",41.734048,0.0,16.2,0.0,2.2,0.0,0.0,29664889920,39985199520,0,0,0,0,0,0,7.307692,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43ec9d
__intel_ssse3_rep_memmove,39.432923,0.0,13.9,6.4,0.0,5.1,0.0,44785343520,31920957600,0,0,0,0,0,0,9.447059,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47c830
"std::vector<double, std::allocator<double>>::push_back",38.909940,0.0,15.7,0.0,0.0,6.1,0.0,28080842400,2544076320,0,0,0,0,0,0,7.115385,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43eed7
copy_user_enhanced_fast_string,38.491553,91.2,0.0,0.0,0.0,91.0,0.0,1008030240,720021600,0,0,0,0,0,0,1502.428571,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffffac63c560
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",37.837824,0.6,2.6,6.0,0.0,6.8,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43ec9d
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",37.001051,12.4,7.8,6.3,5.5,3.9,0.0,17520525600,3408102240,0,0,0,0,0,0,8.447368,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
__kmpc_atomic_float8_add,26.410644,79.3,30.2,0.0,11.3,66.6,0.0,624018720,144004320,0,0,0,0,0,0,291.333333,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
operator delete,26.149153,0.0,28.6,0.0,2.4,0.0,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.26,operator delete(void*),[Unknown],0xa3d60
unlink_chunk,23.534238,10.4,19.8,8.1,4.6,1.2,0.0,20112603360,5424162720,0,0,0,0,0,0,10.046875,libc-2.29.so,unlink_chunk,malloc.c,0x93760
tcache_put,22.357526,30.0,29.9,,1.4,,0.0,96002880,0,0,0,0,0,0,0,13.315152,libc-2.29.so,tcache_put,malloc.c,0x967bc
parallelLouvianMethod$omp$parallel_for@237,16.134027,53.6,0.0,41.7,11.9,11.9,0.0,2256067680,1056031680,0,48003360,0,0,0,0,57.750000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4322a0
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++",15.820238,18.2,2.4,0.0,12.0,33.6,0.0,0,33168995040,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++(int)",stl_tree.h,0x43f381
func@0x967a0,15.741790,0.0,37.9,0.0,0.0,0.0,0.0,43825314720,0,0,0,0,0,0,0,7.454545,libstdc++.so.6.0.26,func@0x967a0,[Unknown],0x967a0
unlink_chunk,15.480299,4.7,18.2,12.7,10.9,1.8,0.0,12672380160,23136694080,0,0,0,0,0,0,7.884615,libc-2.29.so,unlink_chunk,malloc.c,0x94987
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",14.225139,55.6,0.0,37.9,10.1,53.1,0.0,5424162720,1872056160,48003360,48003360,0,0,0,0,7.187500,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43ef43
plm_init$omp$parallel_for@285,14.094393,17.7,0.0,0.0,0.0,0.0,5.7,0,1392041760,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x433660
func@0x404360,11.793268,0.0,14.5,0.0,0.0,0.0,2.9,14016420480,0,0,0,0,0,0,0,7.357143,driverForGraphClustering,func@0x404360,[Unknown],0x404360
kmp_flag_native<unsigned long long>::get,10.878048,1.1,2.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7.017699,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
tcache_put,10.172020,3.1,2.6,5.3,0.0,0.0,0.0,7872236160,36529095840,0,0,0,0,0,0,9.000000,libc-2.29.so,tcache_put,malloc.c,0x95390
free_perturb,9.910529,0.0,6.7,0.0,3.3,0.0,0.0,4464133920,0,0,0,0,0,0,0,7.298701,libc-2.29.so,free_perturb,malloc.c,0x95192
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",9.256800,0.0,29.4,0.0,0.0,0.0,0.0,0,2208066240,0,0,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x4333cb
func@0x4043a0,8.786115,0.0,16.0,0.0,0.0,6.4,0.0,28416852480,0,0,0,0,0,0,0,7.172414,driverForGraphClustering,func@0x4043a0,[Unknown],0x4043a0
parallelLouvianMethod$omp$parallel_for@210,8.498475,61.5,11.5,,0.0,,0.0,672020160,0,48003360,0,0,0,0,0,13.000000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x4325b3
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",7.714000,39.6,31.2,0.0,17.3,3.5,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
std::_Rb_tree_decrement,7.478658,15.8,18.6,0.0,7.4,3.7,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.26,std::_Rb_tree_decrement(std::_Rb_tree_node_base*),[Unknown],0xbcdf0
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",7.321763,5.7,7.8,0.0,0.0,0.0,0.0,0,2544076320,0,0,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x4333b7
__gnu_cxx::new_allocator<double>::allocate,7.191017,0.0,28.5,4.1,0.0,4.1,0.0,336010080,9888296640,0,0,0,0,0,0,8.368421,driverForGraphClustering,"__gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)",new_allocator.h,0x43f0e2
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",6.380393,29.1,25.8,0.0,0.0,14.8,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
tcache_get,6.249648,0.0,9.3,4.7,0.0,0.0,0.0,10368311040,4512135360,0,0,0,0,0,0,7.350000,libc-2.29.so,tcache_get,malloc.c,0x974b8
__kmpc_atomic_float8_sub,6.040454,58.9,17.1,0.0,8.5,38.4,0.0,1344040320,288008640,144010080,0,48003360,0,0,0,7.000000,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
