Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,9412924729680,38338746781500,27959886938160,306585197280,19824594720,4296752898720,369755092320,52787031360,44353330560,75266257920,38578616581888,29415403142528,26943399516928,23455714401664,31235565812096,42240061952,213078392160,192005760,576017280,2900164253568,1653122424576,0,48960071808,46707269280,6108488959104,331200485760,0,40573499507712,2688040320,0,0,6384191520,0,0,0,576017280,0,5206061760,0,0,27025891680,30578140320,1728120960,0,0,126819804480,4082885988224,115011450240,27408822240,16759035840,65284569600,96006720,0,5376161280,0,0,0,0,0,3450245060352,33815089595392,161280236544,10620495576704,7984331710336,1119767829600,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
_int_free,3039319020240,1655053030260,1216171619640,12768383040,240007200,731589947040,346474393920,10207861440,192005760,48001440,1684802471040,24960036608,10560015488,4800007040,294720432256,0,3024090720,0,0,479040702592,383040561792,960001408,3840005632,6480453600,1152001689600,2880004224,0,133440195712,576008640,0,384011520,4512135360,24721730400,0,0,0,0,9605280,0,0,0,0,0,0,0,2976089280,722881060224,6096182880,5040151200,48020160,48003360,0,0,0,0,0,0,0,0,1920002816,57600084480,21120030976,2745604026880,2898244250752,86334692640,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1910569673520,3045679185600,2137015560960,24240727200,3360100800,833497004160,75506265120,9257176320,0,0,2981764373248,0,960001408,0,273600401280,0,0,0,48001440,388800570240,311040456192,0,502080736384,5568389760,1154881693824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96002880,699841026432,48001440,0,0,0,0,0,0,0,0,0,0,1920002816,0,52800077440,72960107008,2500803667840,2499843666432,63004495680,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI___libc_malloc,1887109063560,1295763688980,948504660480,9216276480,528015840,505935177600,148036440960,6294687840,432012960,576017280,1328641948672,26880039424,23040033792,15360022528,236160346368,1920002816,36433092960,48001440,2208066240,254400373120,270720397056,0,5760008448,8112567840,886081299584,25920038016,0,97920143616,1344020160,0,0,3072092160,18673307040,0,0,0,0,0,0,0,0,0,0,0,0,48001440,458880673024,1728051840,1680050400,24010080,0,0,0,0,0,0,0,0,0,8640012672,454080665984,12480018304,2026562972288,1733762542848,54006597120,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,1815707207160,1808057008260,1298553761520,13920417600,432012960,576785303040,305577167040,6064218720,624018720,1008030240,1776002604800,62400091520,44160064768,32640047872,409920601216,0,44449333440,336010080,1344040320,388800570240,311040456192,0,12480018304,16753172640,1400642054272,111360163328,0,131520192896,1440021600,0,0,2688080640,0,0,0,0,0,0,0,0,0,0,0,0,0,1584047520,561600823680,3696110880,3504105120,120050400,0,0,0,0,0,0,0,0,0,7680011264,444480651904,20160029568,2059203020160,1586882327424,44043609120,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1804066904520,1548850269060,1143029718000,11136334080,528015840,353578607040,317961538560,5286385440,144004320,1104033120,1583042321792,65280095744,15360022528,13440019712,407040596992,0,2688080640,48001440,96002880,370560543488,351360515328,0,7680011264,6096426720,713281046144,41280060544,0,178560261888,96001440,0,11760352800,1392041760,17809246560,0,0,0,0,0,0,0,48003360,0,0,0,0,1248037440,345600506880,14064421920,14688440640,120050400,48003360,0,0,0,0,0,0,0,0,6720009856,425280623744,4800007040,2056323015936,1776002604800,73010696640,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,871702663680,4235960132100,3097700538120,33553006560,1296038880,344074321920,3168095040,3312993600,1968059040,6480194400,4165446109312,3343684904064,3298564837888,3120964577408,3507845144832,1920002816,43009290240,48001440,0,424320622336,208320305536,0,7680011264,2880201600,536640787072,59520087296,0,8231052072192,96001440,0,0,2688080640,0,0,0,48001440,0,970133280,0,0,3792265440,8256577920,0,0,0,9936298080,271680398464,35377061280,8112243360,4729985760,14881041600,0,0,144004320,0,0,0,0,0,120960177408,4013765886848,12480018304,1284481883904,894721312256,130589565120,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
func@0xbcd30,621016146000,711738504720,528673745160,5952178560,192005760,210102302880,0,1699709760,240007200,528015840,683521002496,21120030976,20160029568,18240026752,238080349184,0,38305149120,0,0,134400197120,101760149248,0,1920002816,20881461600,643200943360,103680152064,0,67200098560,192002880,0,0,1056031680,0,0,0,0,0,0,0,0,0,0,0,0,0,576017280,198720291456,1152034560,1344040320,24010080,0,0,0,0,0,0,0,0,0,3840005632,266880391424,4800007040,681600999680,649920953216,11917174080,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,466572130560,553874400360,411070687560,4416132480,48001440,257095712640,27888836640,3024907200,0,48001440,528960775808,16320023936,8640012672,6720009856,170880250624,0,18960568800,0,0,134400197120,85440125312,0,2880004224,14881041600,613440899712,26880039424,0,31680046464,960014400,0,0,240007200,0,0,0,0,0,0,0,0,0,0,0,0,0,144004320,241920354816,5904177120,5232156960,240100800,0,0,0,0,0,0,0,0,0,960001408,29760043648,4800007040,754561106688,422400619520,23440630080,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
tcache_get,396310303800,203675295420,148443859440,1344040320,48001440,64033920960,160804824000,628988640,96002880,48001440,216960318208,4800007040,3840005632,960001408,24000035200,0,96002880,48001440,0,41280060544,42240061952,0,0,2064144480,154560226688,4800007040,0,13440019712,192002880,0,0,864025920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79680116864,3168095040,3072092160,0,0,0,0,0,0,0,0,0,0,2880004224,84480123904,960001408,274560402688,314880461824,4614183840,libc-2.29.so,tcache_get,malloc.c,0x98bd9
malloc_consolidate,394690261680,381699923940,274507137000,2880086400,528015840,84626538720,46417392480,1037111040,96002880,0,404160592768,57600084480,40320059136,17280025344,120000176000,960001408,8784263520,1152034560,1584047520,104640153472,55680081664,0,4800007040,4992349440,281280412544,25920038016,0,199680292864,0,0,0,576017280,960067200,0,0,96002880,0,0,0,0,48003360,0,0,0,0,3456103680,74880109824,8208246240,6144184320,912383040,48003360,0,0,0,0,0,0,0,0,11520016896,73920108416,960001408,462720678656,375360550528,12781433280,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",370989645480,603195682680,423731016720,3936118080,816024480,132051961440,12912387360,1546063680,0,0,589440864512,0,0,0,35520052096,0,0,0,0,118080173184,77760114048,0,120960177408,0,148800218240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168000246400,0,48001440,0,0,0,0,0,0,0,0,0,0,0,6720009856,0,467520685696,468480687104,10563168000,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
plm_analyzeClusters$omp$parallel_for@64,167524355520,299347782840,221045747040,2448073440,48001440,101283038400,22512675360,984295200,192005760,96002880,293760430848,75840111232,62400091520,66240097152,130560191488,0,2448073440,48001440,336010080,61440090112,43200063360,1920002816,960001408,1152080640,166080243584,10560015488,0,123840181632,0,0,0,816024480,0,0,0,0,0,0,0,0,144010080,48003360,0,0,0,3360100800,72000105600,7008210240,5616168480,0,240016800,0,0,0,0,0,0,0,0,7680011264,90240132352,4800007040,319680468864,223680328064,10899268800,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
operator new,163384247880,150303907800,108782828280,1152034560,0,10368311040,7248217440,917075040,96002880,96002880,151680222464,1920002816,2880004224,4800007040,42240061952,0,816024480,0,96002880,46080067584,24000035200,0,0,1008070560,99840146432,6720009856,0,18240026752,0,0,0,192005760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680011264,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,67200098560,960001408,189120277376,169920249216,6707611680,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
__intel_ssse3_rep_memmove,148923871920,124383233880,90482352480,816024480,0,44785343520,31920957600,408122400,48001440,96002880,131520192896,9600014080,0,4800007040,26880039424,0,144004320,0,144004320,30720045056,20160029568,0,1920002816,2448171360,103680152064,18240026752,960001408,56640083072,480007200,0,0,576017280,0,0,0,0,0,0,0,0,0,0,0,0,0,2640079200,29760043648,2592077760,2400072000,48020160,0,0,0,0,0,0,0,0,960001408,3840005632,25920038016,1920002816,151680222464,138240202752,3855556320,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47c830
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",147003822000,135633526380,96002496000,1152034560,96002880,7680230400,154276628160,432129600,96002880,144004320,128640188672,5760008448,4800007040,4800007040,41280060544,0,1728051840,0,0,34560050688,9600014080,0,0,1824127680,78720115456,2880004224,0,8640012672,96001440,0,0,144004320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800007040,0,0,0,0,0,0,0,0,0,0,0,0,0,60480088704,0,188160275968,115200168960,3082524480,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43ecee
std::_Rb_tree_increment,141783686280,209255440500,148803868800,1584047520,48001440,84242527200,0,1723716960,1584047520,4272128160,207360304128,72960107008,60480088704,40320059136,96960142208,0,4032120960,0,48001440,49920073216,10560015488,0,8640012672,2160151200,95040139392,27840040832,0,160320235136,0,0,0,240007200,0,0,0,240007200,0,0,0,0,288020160,0,0,0,0,2064061920,75840111232,11280338400,14496434880,888372960,48003360,0,0,96002880,0,0,0,0,0,4800007040,113280166144,1920002816,138240202752,129600190080,14365908480,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",140703658200,709758453240,510373269360,5904177120,48001440,56641699200,46993409760,729818880,96002880,144004320,730561071488,580800851840,525120770176,484800711040,566400830720,0,336010080,0,0,29760043648,29760043648,0,960001408,288020160,137280201344,1920002816,0,611520896896,0,0,0,528015840,0,0,0,0,0,0,0,0,144010080,336023520,0,0,0,96002880,55680081664,960028800,48001440,0,816057120,0,0,0,0,0,0,0,0,4800007040,578880849024,4800007040,153600225280,109440160512,16089625440,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43efbb
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",114362973360,178024628520,129183358680,1344040320,144004320,66289988640,0,1670901120,672020160,480014400,192960283008,36480053504,29760043648,24000035200,42240061952,0,30816924480,0,0,27840040832,24000035200,0,960001408,4560319200,136320199936,11520016896,0,62400091520,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65280095744,0,0,0,0,0,0,240007200,0,0,0,0,0,4800007040,114240167552,960001408,117120171776,78720115456,12085224480,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43ec6e
"std::vector<double, std::allocator<double>>::push_back",112862934360,110252866500,89282321280,912027360,0,28080842400,2544076320,749024640,48001440,96002880,133440195712,2880004224,4800007040,6720009856,20160029568,0,0,0,0,26880039424,26880039424,0,1920002816,0,120960177408,960001408,0,3840005632,0,0,0,96002880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34560050688,0,0,0,0,0,0,0,0,0,0,0,0,0,29760043648,1920002816,141120206976,100800147840,5329598400,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43eed7
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",101222631720,130683397680,95762489760,1104033120,0,29664889920,39985199520,749024640,0,192005760,121920178816,2880004224,2880004224,0,24000035200,0,48001440,0,48001440,19200028160,16320023936,0,0,6192433440,105600154880,8640012672,0,7680011264,96001440,0,0,144004320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25920038016,0,0,0,0,0,0,0,0,0,0,0,0,0,38400056320,0,162240237952,94080137984,5473641600,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43ec9d
kmp_flag_native<unsigned long long>::get,90422350920,35280917280,24960648960,288008640,48001440,0,0,542562720,0,0,43200063360,0,0,0,960001408,0,0,0,0,0,19200028160,0,0,0,44160064768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,960001408,24960036608,53760078848,3807541920,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",70921843920,122583187080,84902207400,864025920,336010080,17520525600,3408102240,364909440,0,0,139200204160,19200028160,11520016896,4800007040,28800042240,960001408,3360100800,0,0,29760043648,21120030976,0,0,432030240,69120101376,13440019712,0,42240061952,0,0,0,192005760,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,26880039424,336010080,192005760,120050400,0,0,0,0,0,0,0,0,0,960001408,16320023936,960001408,122880180224,96000140800,3082524480,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
free_perturb,69541808040,28800748800,22740591240,240007200,0,4464133920,0,369710880,0,0,39360057728,0,960001408,0,1920002816,0,0,0,0,6720009856,6720009856,0,0,0,22080032384,0,0,5760008448,0,0,0,240007200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720009856,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,45120066176,56640083072,2698409280,libc-2.29.so,free_perturb,malloc.c,0x95192
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++",53881400880,39961038960,36300943800,240007200,0,0,33168995040,0,96002880,576017280,36480053504,17280025344,18240026752,13440019712,18240026752,0,480014400,0,0,8640012672,3840005632,0,1920002816,432030240,14400021120,1920002816,0,45120066176,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,0,0,0,0,0,0,24960036608,0,33600049280,32640047872,0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++(int)",stl_tree.h,0x43f381
tcache_put,51901349400,36540950040,23340606840,192005760,0,7872236160,36529095840,96028800,0,0,40320059136,1920002816,0,0,2880004224,0,0,0,0,7680011264,10560015488,0,0,240016800,18240026752,1920002816,0,5760008448,96001440,0,0,144004320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,144004320,384011520,0,0,0,0,0,0,0,0,0,0,0,3840005632,3840005632,33600049280,48000070400,864259200,libc-2.29.so,tcache_put,malloc.c,0x95390
unlink_chunk,48001248000,52831373580,35520923520,432012960,96002880,12672380160,23136694080,249674880,48001440,0,51840076032,13440019712,6720009856,960001408,23040033792,960001408,3744112320,240007200,1584047520,4800007040,6720009856,0,960001408,144010080,40320059136,960001408,0,54720080256,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,816024480,6720009856,1200036000,864025920,312131040,0,0,0,0,0,0,0,0,0,1920002816,12480018304,0,76800112640,38400056320,1968590400,libc-2.29.so,unlink_chunk,malloc.c,0x94987
operator delete,45541184040,80552094300,60001560000,624018720,48001440,0,0,0,0,0,79680116864,0,1920002816,0,23040033792,0,9792293760,0,0,16320023936,11520016896,0,0,816057120,73920108416,7680011264,0,4800007040,192002880,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,1920002816,90240132352,44160064768,0,libstdc++.so.6.0.26,operator delete(void*),[Unknown],0xa3d60
unlink_chunk,41761085760,82622148120,54001404000,528015840,144004320,20112603360,5424162720,307292160,96002880,0,78720115456,11520016896,4800007040,960001408,27840040832,0,3024090720,288008640,816024480,16320023936,7680011264,0,0,672047040,65280095744,5760008448,0,50880074624,0,0,0,0,0,0,0,192005760,48001440,0,0,0,0,0,0,0,0,960028800,23040033792,1728051840,1296038880,192080640,0,0,0,0,0,0,0,0,0,4800007040,16320023936,960001408,86400126720,33600049280,3087325920,libc-2.29.so,unlink_chunk,malloc.c,0x93760
func@0x967a0,38100990600,53191382940,36120939120,432012960,0,43825314720,0,475342560,48001440,0,62400091520,0,0,0,20160029568,0,2256067680,0,0,9600014080,13440019712,0,960001408,240016800,57600084480,5760008448,0,1920002816,96001440,0,0,144004320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52800077440,144004320,96002880,0,0,0,0,0,0,0,0,0,0,0,5760008448,0,57600084480,35520052096,3543462720,libstdc++.so.6.0.26,func@0x967a0,[Unknown],0x967a0
std::_Rb_tree_decrement,33180862680,25830671580,17160446160,0,0,0,0,0,0,0,28800042240,960001408,2880004224,960001408,5760008448,0,144004320,0,0,4800007040,4800007040,0,0,144010080,18240026752,0,0,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680011264,0,13440019712,38400056320,0,libstdc++.so.6.0.26,std::_Rb_tree_decrement(std::_Rb_tree_node_base*),[Unknown],0xbcdf0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",30180784680,112232917980,86822257320,960028800,48001440,0,0,0,48001440,0,114240167552,11520016896,4800007040,7680011264,14400021120,0,20256607680,0,0,21120030976,5760008448,0,960001408,2784194880,67200098560,27840040832,0,24960036608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720009856,53760078848,0,53760078848,28800042240,0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43ec9d
tcache_get,30060781560,20610535860,14340372840,48001440,0,10368311040,4512135360,96028800,0,0,17280025344,960001408,0,0,2880004224,0,0,0,0,3840005632,1920002816,0,0,96006720,11520016896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680011264,0,0,0,0,0,0,0,0,0,0,0,0,0,4800007040,0,32640047872,24000035200,705811680,libc-2.29.so,tcache_get,malloc.c,0x974b8
"std::vector<double, std::allocator<double>>::_M_realloc_insert<double const&>",30000780000,17370451620,12420322920,0,0,0,7536226080,0,48001440,0,22080032384,1920002816,0,0,6720009856,0,0,0,0,1920002816,4800007040,0,0,48003360,13440019712,0,0,3840005632,192002880,0,0,96002880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,4800007040,0,26880039424,24960036608,0,driverForGraphClustering,"void std::vector<double, std::allocator<double>>::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, double const&&&)",stl_vector.h,0x43eee5
func@0x4043a0,25680667680,30060781560,20160524160,432012960,0,28416852480,0,556967040,0,144004320,46080067584,0,0,1920002816,4800007040,0,96002880,0,48001440,1920002816,960001408,0,0,144010080,18240026752,0,0,3840005632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25920038016,48001440,48001440,0,0,0,0,0,0,0,0,0,0,960001408,11520016896,0,48000070400,29760043648,3994798080,driverForGraphClustering,func@0x4043a0,[Unknown],0x4043a0
