Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,11518.660248,73.2,5.2,3.7,9.6,61.7,11.4,75.0,65.8,22.9,68.4,2.8,0.0,0.0,0.0,4368971065200,376121283300,62920404120,19531367100,37592631300,0,0,2646185220,24.520684,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dc00
sumVertexDegree$omp$parallel_for@74,2532.115052,81.8,0.0,0.1,8.2,81.9,81.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738112140,0,0,0,0,0,0,0,97.000000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d64c
max,1214.753132,67.6,3.1,0.9,4.3,71.8,12.1,81.3,67.6,30.3,98.1,1.1,0.0,0.0,0.0,335296058580,3696110880,15793105440,4158291060,8694608580,0,0,168011760,43.391766,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e710
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",949.405862,12.1,8.4,0.0,0.0,0.0,0.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782357470020,72410172240,0,0,0,0,0,0,6.844767,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,510.494414,0.0,21.9,1.6,0.8,1.5,1.2,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607884235980,306525195480,0,0,0,0,0,0,7.478715,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,465.505010,0.0,11.0,1.3,0.2,0.5,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764926947120,347140413900,0,0,0,0,0,0,8.772265,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,445.775568,7.7,22.3,2.0,0.1,1.6,0.9,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348022440360,307365220680,0,0,0,0,0,0,18.199828,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,374.663284,0.2,17.4,0.4,0.4,1.2,1.6,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520017600060,149776493160,0,0,0,0,0,0,8.881295,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,193.607409,0.0,22.2,0.7,0.0,2.3,0.7,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236551096320,0,0,0,0,0,0,0,6.991228,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,147.558969,0.0,25.6,0.2,1.4,0.7,0.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249067471800,23562706860,0,0,0,0,0,0,8.231608,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",129.516140,7.8,5.5,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118443553200,12012360360,0,0,0,0,0,0,6.813456,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
malloc_consolidate,108.178532,17.3,16.5,4.0,6.5,4.2,1.9,12.1,0.0,7.5,0.0,0.0,0.0,0.0,0.0,80264407860,46201386000,168011760,84005880,0,0,0,0,10.983051,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
plm_analyzeClusters$omp$parallel_for@64,95.705445,27.8,1.4,3.4,5.2,37.8,1.4,45.2,50.0,4.4,6.8,0.0,0.0,0.0,0.0,77912337300,20916627480,126008820,42002940,42002940,0,0,0,16.926724,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431de4
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",68.052847,69.9,16.1,10.6,1.6,64.8,0.4,93.4,100.0,0.0,14.2,0.0,0.0,0.0,0.0,16506495180,25326759780,210014700,0,42002940,0,0,0,14.360465,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43e347
std::_Rb_tree_increment,61.149504,27.6,12.2,3.0,11.3,25.2,2.6,53.8,0.0,29.6,0.0,4.4,0.0,0.0,0.0,88244647260,0,84005880,252017640,0,0,0,42002940,7.833333,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
tcache_get,53.187125,0.0,13.6,1.0,1.5,0.5,1.9,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56197685880,133480004280,0,0,0,0,0,0,7.969697,libc-2.29.so,tcache_get,malloc.c,0x98bd9
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",49.343217,11.5,22.8,0.0,4.6,10.1,6.1,48.1,0.0,0.0,0.0,9.1,0.0,0.0,0.0,66950008440,0,0,0,0,0,0,84005880,7.098039,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43dd96
operator new,46.401452,0.0,17.5,0.0,1.8,0.6,1.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13902417060,7518225540,0,0,0,0,0,0,7.266355,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",38.282178,0.4,17.1,1.5,0.0,1.5,1.5,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3360100800,205764172740,0,0,0,0,0,0,7.200000,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43deb3
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",34.673612,11.3,2.4,6.5,3.2,4.9,2.4,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43ddbe
__intel_ssse3_rep_memmove,33.967588,9.4,4.7,10.2,0.0,2.3,5.5,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42085262520,30702921060,0,0,0,0,0,0,10.793478,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47bd30
"std::vector<double, std::allocator<double>>::push_back",33.026223,3.4,19.8,0.8,2.3,0.8,0.8,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25410762300,3822114660,0,0,0,0,0,0,7.287500,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43e267
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",31.614176,22.8,22.6,0.0,10.9,5.9,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15288458640,2310069300,42002940,0,0,0,0,0,8.978261,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41ea70
copy_user_enhanced_fast_string,27.142692,63.0,13.6,0.0,6.0,42.2,46.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546016380,294008820,0,0,0,0,0,0,25.333333,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffff8fe3c560
tcache_put,25.495303,28.9,36.1,9.9,0.0,1.1,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756022680,504015120,0,0,0,0,0,0,24.364641,libc-2.29.so,tcache_put,malloc.c,0x967bc
__kmpc_atomic_float8_add,25.299185,75.5,20.5,0.0,19.4,44.2,0.0,85.2,100.0,0.0,34.3,0.0,0.0,0.0,0.0,1302039060,210006300,84005880,0,42002940,0,0,0,893.000000,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
parallelLouvianMethod$omp$parallel_for@237,24.671609,85.7,5.5,51.8,5.5,8.2,76.4,23.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2100063000,1092032760,0,42002940,0,0,0,0,29.800000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x431330
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",23.259561,0.0,9.7,4.9,0.0,1.2,1.2,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16800504000,35659069740,0,0,0,0,0,0,7.126374,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43ddbe
unlink_chunk,22.906549,0.0,12.6,3.4,9.1,5.7,2.3,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20538616140,4914147420,0,0,0,0,0,0,9.204545,libc-2.29.so,unlink_chunk,malloc.c,0x93760
clear_page_erms,22.631984,94.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126003780,210006300,0,0,0,0,0,0,0.0,vmlinux,clear_page_erms,[Unknown],0xffffffff8fe3c070
operator delete,21.690619,0.0,11.8,3.5,0.0,1.2,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.26,operator delete(void*),[Unknown],0xa3d60
plm_init$omp$parallel_for@285,19.925560,91.7,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1386041580,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x4326f0
apic_timer_interrupt,18.121277,91.7,0.0,38.1,0.0,34.8,48.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,vmlinux,apic_timer_interrupt,[Unknown],0xffffffff90001a60
unlink_chunk,15.885535,27.1,17.9,0.0,16.3,4.9,11.4,22.8,0.0,27.1,0.0,0.0,0.0,0.0,0.0,12264367920,22512675360,42002940,42002940,0,0,0,0,9.854839,libc-2.29.so,unlink_chunk,malloc.c,0x94987
func@0x967a0,14.983393,0.0,26.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29946898380,0,0,0,0,0,0,0,7.542373,libstdc++.so.6.0.26,func@0x967a0,[Unknown],0x967a0
parallelLouvianMethod$omp$parallel_for@210,13.610569,70.8,0.0,0.0,5.8,40.8,40.8,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756022680,0,42002940,0,0,0,0,0,72.142857,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x431643
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++",13.139887,46.9,12.8,27.6,10.6,29.8,10.6,65.9,0.0,0.0,0.0,38.3,0.0,0.0,0.0,0,31542946260,0,0,0,0,0,84005880,0.0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++(int)",stl_tree.h,0x43e7e1
kmp_flag_native<unsigned long long>::get,12.316193,0.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7.009259,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
func@0x4043b0,10.629580,17.2,8.1,2.7,0.0,0.0,8.1,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32508975240,0,0,0,0,0,0,0,7.867925,driverForGraphClustering,func@0x4043b0,[Unknown],0x4043b0
func@0x404370,9.570545,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13734412020,0,0,0,0,0,0,0,7.531250,driverForGraphClustering,func@0x404370,[Unknown],0x404370
page_fault,9.060638,45.0,14.9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,vmlinux,page_fault,[Unknown],0xffffffff90001070
tcache_put,8.550732,3.8,3.2,6.3,0.0,0.0,0.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7224216720,35659069740,0,0,0,0,0,0,9.083333,libc-2.29.so,tcache_put,malloc.c,0x95390
_raw_spin_lock,8.158497,43.8,59.3,4.0,0.0,4.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646079380,2016060480,0,0,0,0,0,0,7.000000,vmlinux,_raw_spin_lock,[Unknown],0xffffffff8fe50560
task_tick_fair,8.001603,65.9,0.0,3.9,46.9,35.1,3.9,78.1,100.0,0.0,100.0,0.0,0.0,0.0,0.0,630018900,84002520,42002940,0,42002940,0,0,0,6.000000,vmlinux,task_tick_fair,[Unknown],0xffffffff8f4d77c0
free_perturb,7.844709,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4494134820,0,0,0,0,0,0,0,7.303797,libc-2.29.so,free_perturb,malloc.c,0x95192
func@0x404080,7.452473,0.0,37.0,0.0,4.6,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23982719460,0,0,0,0,0,0,0,8.247312,driverForGraphClustering,func@0x404080,[Unknown],0x404080
