Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,11820.857498,69.3,5.5,5.8,9.9,59.0,0.0,0.0,4370147100480,370475113920,64516515840,24817737120,31682217600,0,0,864060480,20.404226,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
max,1293.926934,65.7,3.1,1.3,5.1,72.1,0.0,0.0,337354120320,4320129600,14593021440,4128288960,8016561120,0,0,0,34.375182,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",950.610845,10.0,9.2,0.0,0.1,0.0,0.0,0.0,854185624800,77714331360,0,0,0,0,0,0,6.781077,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,570.240990,0.0,19.4,1.1,0.3,1.5,0.0,0.0,594641838720,303417102240,0,0,0,0,0,0,7.159636,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,511.038642,0.0,13.1,1.5,0.1,0.5,0.0,0.0,728901866400,336682100160,48003360,0,0,0,0,0,8.655393,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,502.827716,4.7,23.4,3.4,0.2,1.4,0.0,0.0,353914617120,324009720000,0,48003360,48003360,0,0,0,14.251649,libc-2.29.so,_int_malloc,malloc.c,0x966c0
sumVertexDegree$omp$parallel_for@74,476.547521,95.6,0.4,0.0,6.3,85.0,0.0,85.0,6144184320,48001440,240016800,0,0,288020160,0,0,20.333333,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d96c
__GI___libc_malloc,421.450637,0.0,16.9,0.0,0.9,1.2,0.0,0.0,499262977440,141460243680,48003360,0,0,0,0,0,8.827044,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,231.788698,0.0,20.5,2.3,0.0,2.1,0.0,0.0,227670829920,0,0,0,0,0,0,0,6.942249,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,171.069682,0.0,30.2,0.7,0.2,1.2,0.0,0.0,253687610400,31824954720,48003360,48003360,0,0,0,0,8.274566,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
