Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,9590546314140,36086724777600,26361777253860,283496504640,18000540000,4480406408160,379499384640,54021001440,34849045440,53329599840,35987572781696,26865639402880,24029795243648,20596830208640,28489001783808,36480053504,248695460640,192005760,240007200,3108484559104,1631042392192,0,54720080256,52899702720,5924168688768,346560508288,1920002816,38608376625536,2592038880,0,0,7008210240,0,0,0,192005760,0,5302114560,0,0,26689868160,27265908480,1632114240,0,0,132099962880,4164486107904,115779473280,26496794880,16062743520,63364435200,0,0,5712171360,0,0,0,0,0,5378887889024,32368367473536,322560473088,11112016297600,8424972356608,1089441934560,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
_int_free,3097047873180,1581224230890,1180810627200,12240367200,528015840,735046050720,336154084320,10419124800,48001440,48001440,1568642300672,26880039424,13440019712,6720009856,285120418176,960001408,2976089280,0,48001440,411840604032,390720573056,0,4800007040,5952416640,1132801661440,7680011264,0,150720221056,672010080,0,336010080,4224126720,25537787520,0,0,0,0,0,0,0,0,0,0,0,0,2544076320,708481039104,6480194400,4896146880,216090720,48003360,0,0,0,0,0,0,0,0,960001408,60480088704,32640047872,2895364246528,2906884263424,89916566880,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1902677123940,3055167496260,2141929277190,25440763200,2976089280,871370140320,79874396160,9785334720,0,0,3126724585856,1920002816,960001408,0,285120418176,0,0,0,0,381120558976,319680468864,0,505920742016,6336443520,1160641702272,960001408,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766081123584,0,0,0,0,0,0,0,0,0,0,0,0,0,96960142208,99840146432,2580483784704,2545923734016,66653590080,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI___libc_malloc,1863676772940,1269821428290,936008424000,11616348480,528015840,500847024960,142132263840,6112233120,336010080,432012960,1258561845888,37440054912,24000035200,22080032384,250560367488,1920002816,32784983520,0,2016060480,255360374528,253440371712,0,12480018304,8640604800,919681348864,25920038016,0,94080137984,1632024480,0,48001440,6240187200,17617233120,0,0,0,0,0,0,0,0,0,0,0,0,240007200,450240660352,1536046080,1632048960,48020160,0,0,0,0,0,0,0,0,0,8640012672,660480968704,31680046464,1993922924416,1638722403456,51048910080,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,1852216669800,1770045930270,1311131800080,15456463680,672020160,596465893440,305289158400,5905771200,480014400,528015840,1795202632960,68160099968,35520052096,13440019712,473280694144,0,46129383840,624018720,816024480,410880602624,314880461824,0,21120030976,14497014720,1315201928960,107520157696,0,137280201344,2016030240,0,0,2880086400,0,0,0,0,48001440,0,0,0,0,0,0,0,0,1296038880,524160768768,3648109440,3696110880,96040320,0,0,0,0,0,0,0,0,0,8640012672,821761205248,12480018304,2065923030016,1680002464000,42425523840,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1793956145460,1560974048640,1162450461960,13392401760,288008640,356842704960,319737591840,5204760960,336010080,192005760,1545602266880,53760078848,20160029568,22080032384,404160592768,0,2208066240,336010080,96002880,378240554752,343680504064,0,14400021120,6864480480,775681137664,38400056320,0,154560226688,672010080,0,12432372960,1920057600,18001260000,0,0,0,0,0,0,0,0,0,0,0,0,864025920,359040526592,13392401760,15264457920,120050400,48003360,0,0,0,0,0,0,0,0,14400021120,683521002496,14400021120,2042882996224,1780802611840,72717808800,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,868867819740,4045896412740,2947436526690,32304969120,1392041760,337690130400,3504105120,3807541920,2736082080,6096182880,4051205941760,3234244743552,3097924543616,3002884404224,3253444771712,1920002816,40513215360,48001440,288008640,434880637824,230400337920,0,6720009856,2592181440,566400830720,73920108416,0,7936331639936,0,0,0,3744112320,0,0,0,48001440,0,1027764960,0,0,3888272160,8928624960,144010080,0,0,10080302400,286080419584,35041051200,7680230400,5018106720,14881041600,0,0,144004320,0,0,0,0,0,142080208384,3759365513728,32640047872,1204801767040,932161367168,160742608320,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
func@0xbcd30,657125914080,724056516450,535594820310,5664169920,192005760,217590527520,0,1646893920,96002880,144004320,700801027840,29760043648,18240026752,16320023936,197760290048,0,34129023840,0,48001440,159360233728,94080137984,0,9600014080,17233206240,660480968704,127680187264,0,61440090112,0,0,0,1056031680,0,0,0,0,0,0,0,0,0,0,0,0,0,384011520,216000316800,1152034560,1152034560,72030240,0,0,0,48001440,0,0,0,0,0,960001408,386880567424,1920002816,617280905344,661440970112,11739520800,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,431883886920,538744848660,400593605310,3840115200,144004320,257863735680,29376881280,3024907200,0,0,560640822272,11520016896,7680011264,5760008448,183360268928,0,18000540000,0,48001440,123840181632,98880145024,0,6720009856,14305001280,618240906752,37440054912,0,28800042240,672010080,0,0,672020160,0,0,0,0,0,0,0,0,0,0,0,0,0,192005760,245760360448,6000180000,5808174240,72030240,0,0,0,0,0,0,0,0,0,0,44160064768,6720009856,779521143296,376320551936,24578571360,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
tcache_get,391743525660,208261874340,148051332450,1680050400,0,62593877760,159412782240,652995840,48001440,144004320,226560332288,5760008448,960001408,0,24000035200,0,0,0,0,48000070400,52800077440,0,1920002816,1872131040,144000211200,5760008448,0,20160029568,96001440,0,0,624018720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69120101376,3744112320,2592077760,0,0,0,0,0,0,0,0,0,0,2880004224,108480159104,1920002816,297600436480,333120488576,5113533600,libc-2.29.so,tcache_get,malloc.c,0x98bd9
