Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,12517.665623,75.0,4.0,10.8,6.9,59.7,0.0,4423530701940,379775392920,62080345320,19027331820,34106387280,0,0,1218085260,23.889030,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dbc0
sumVertexDegree$omp$parallel_for@74,2083.178919,84.2,0.0,0.1,12.1,76.4,0.0,4662139860,0,42002940,0,0,0,0,0,181.333333,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d60c
max,1204.643023,68.6,0.0,3.4,2.9,75.8,0.0,333574006920,3780113400,15877111320,3486244020,10290720300,0,0,84005880,38.703368,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e6d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",916.975273,12.4,7.6,0.0,0.0,0.0,0.0,778199345280,71318139480,0,0,0,0,0,0,6.863676,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,501.045519,0.0,15.8,0.7,1.8,1.7,0.0,607338219600,299258977500,0,0,0,0,0,0,7.147992,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,462.919932,0.0,13.2,0.0,0.9,0.6,0.1,772109162580,350584517220,42002940,42002940,0,0,0,0,8.749894,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,448.171763,9.2,22.6,3.0,1.2,1.0,0.0,337816134180,307365220680,0,42002940,0,0,0,0,14.749141,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,353.210811,0.7,17.3,0.6,0.4,1.9,0.0,528123843240,153178595220,0,0,0,0,0,0,8.852037,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,193.099036,0.0,18.2,0.0,0.8,3.4,0.0,241297238700,0,0,0,0,0,0,0,6.914894,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",182.469372,12.7,8.3,0.0,0.0,0.0,0.0,139780193280,13944418320,0,0,0,0,0,0,6.877030,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
