Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,12185.580133,70.8,5.1,6.5,8.8,61.4,0.0,4305009146400,367979039040,64804536000,25921814400,30290120160,0,0,1728120960,22.933170,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
max,1331.520191,66.0,0.0,1.1,6.6,72.4,0.0,335578067040,4128123840,15697098720,4800336000,8064564480,0,0,192013440,35.696929,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
sumVertexDegree$omp$parallel_for@83,957.559660,80.4,0.0,0.1,11.1,73.9,0.0,3456103680,0,0,0,0,0,0,0,18.000000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e5bc
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",940.431896,9.2,8.3,0.0,0.0,0.0,0.0,887354619840,80450413440,0,0,0,0,0,0,6.795260,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,559.594110,0.0,21.0,0.2,0.2,2.3,0.0,575873275680,307785233280,48003360,0,0,0,0,0,7.068715,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,528.476494,0.0,15.6,0.6,0.4,0.5,0.1,715893476160,328857865440,0,48003360,0,0,0,0,8.530612,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,503.085565,5.0,22.5,3.1,0.4,1.5,0.0,357034710720,326313789120,0,48003360,0,0,0,0,15.225023,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,410.360298,0.0,17.1,0.4,0.0,1.4,0.0,505983179040,145252357440,0,0,0,0,0,0,8.856463,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",223.053166,72.5,0.4,4.5,6.3,70.8,0.0,56497694880,47377421280,576040320,96006720,384026880,0,0,0,25.791667,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43efbb
func@0xbcd30,221.771853,0.0,19.6,2.7,0.0,2.5,0.0,205398161760,0,0,0,0,0,0,0,7.013793,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
