Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,9357940729800,38335300024500,27960898801800,300489014400,19536586080,4305009146400,367979039040,52950280320,42625278720,76130283840,38232056073600,29375083083392,26901159454976,23520994497408,31342125968384,63360092928,223494704640,960028800,336010080,2950084326784,1596482341504,0,48960071808,44643124800,6123848981632,344640505472,0,41633341062144,1728025920,0,0,6960208800,0,0,0,384011520,0,5273298720,0,0,25921814400,30290120160,1728120960,0,0,128451853440,4179846130432,114819444480,26976809280,16879086240,64804536000,0,0,5856175680,0,0,0,0,0,3440645046272,33514609154688,205440301312,10563855493632,7841291500544,1214317786080,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
_int_free,3051811551600,1652899585500,1212636378000,14016420480,432012960,715893476160,328857865440,10587175200,240007200,192005760,1648322417536,24960036608,14400021120,7680011264,282240413952,960001408,2784083520,96002880,0,458880673024,408960599808,960001408,1920002816,6480453600,1167361712128,5760008448,0,157440230912,1248018720,0,384011520,4512135360,26017821120,0,0,48001440,0,0,0,0,48003360,0,0,0,0,3312099360,689281010944,6288188640,5088152640,216090720,0,0,0,0,0,0,0,0,0,0,59520087296,35520052096,2784964084608,2859844194432,90315086400,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1906377189600,3009240274500,2157904735200,26160784800,3408102240,887354619840,80450413440,9521255520,0,0,2931844300032,960001408,0,0,249600366080,0,48001440,0,0,364800535040,328320481536,0,496320727936,5808406560,1097281609344,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776641139072,0,0,0,0,0,0,0,0,0,0,0,0,5760008448,21120030976,130560191488,2599683812864,2523843701632,64699404000,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI___libc_malloc,1894556835000,1294418831400,941608247400,9360280800,672020160,505983179040,145252357440,6054615840,672020160,480014400,1275841871232,22080032384,17280025344,18240026752,242880356224,0,33985019520,624018720,2928087840,290880426624,277440406912,0,9600014080,8304581280,885121298176,36480053504,0,94080137984,1056015840,0,0,3456103680,19009330560,0,0,0,0,0,0,0,0,0,0,0,0,144004320,495360726528,1968059040,2016060480,0,0,0,0,48001440,0,0,0,0,0,5760008448,442560649088,16320023936,2011202949760,1713602513280,53622481920,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,1854415630800,1782053460000,1284038520000,14928447840,528015840,575873275680,307785233280,5939381280,240007200,1296038880,1860482728704,47040068992,44160064768,41280060544,420480616704,1920002816,44449333440,576017280,1200036000,426240625152,332160487168,0,10560015488,15889112160,1377602020480,121920178816,0,144000211200,2112031680,0,0,2208066240,0,0,0,0,0,0,0,0,0,0,0,0,0,1152034560,586560860288,3312099360,3552106560,192080640,48003360,0,0,0,0,0,0,0,0,7680011264,512640751872,4800007040,2041922994816,1664642441472,41983791360,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1793573805600,1565866974600,1154374630200,12480374400,336010080,357034710720,326313789120,5334399840,144004320,624018720,1565762296448,78720115456,30720045056,24000035200,431040632192,960001408,2064061920,192005760,96002880,377280553344,327360480128,0,2880004224,7728540960,727681067264,29760043648,0,193920284416,192002880,0,12384371520,1536046080,18289280160,0,0,0,0,0,0,0,48003360,0,0,0,0,1344040320,276480405504,16032480960,13920417600,72030240,0,0,0,48001440,0,0,0,0,0,3840005632,416640611072,4800007040,1993922924416,1883522762496,81216357600,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,888326649000,4184225523000,3055291656000,31632948960,1392041760,335578067040,4128123840,3596278560,2592077760,5856175680,4177926127616,3350404913920,3306244849152,3030724445056,3266884791424,2880004224,42289268640,48001440,0,442560649088,192960283008,0,12480018304,2928204960,581760853248,71040104192,0,8011211749760,0,0,0,2016060480,0,0,0,96002880,0,1056580800,0,0,4800336000,8064564480,192013440,0,0,9216276480,289920425216,35041051200,7104213120,4778005920,15697098720,0,0,96002880,0,0,0,0,0,113280166144,3907205730560,22080032384,1262401851520,881281292544,128376101280,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
func@0xbcd30,642739281600,723621708000,508875265800,5808174240,96002880,205398161760,0,1392417600,288008640,528015840,741121086976,37440054912,18240026752,18240026752,179520263296,0,35617068480,240007200,0,149760219648,100800147840,0,9600014080,20881461600,685441005312,111360163328,0,63360092928,96001440,0,0,1104033120,0,0,0,0,0,0,0,0,0,0,0,0,0,480014400,180480264704,1296038880,1440043200,24010080,0,0,0,0,0,0,0,0,0,960001408,240960353408,2880004224,620160909568,629760923648,9766128960,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,457453723200,547666429500,407952238200,4896146880,144004320,259591787520,28992869760,3149744640,0,48001440,576000844800,22080032384,12480018304,5760008448,177600260480,0,18528555840,0,96002880,112320164736,99840146432,0,10560015488,13872971040,595200872960,17280025344,0,41280060544,672010080,0,0,384011520,0,0,0,0,0,0,0,0,96006720,0,0,0,0,240007200,225600330880,5472164160,7344220320,120050400,48003360,0,0,0,0,0,0,0,0,1920002816,23040033792,3840005632,790081158784,416640611072,24554564160,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
tcache_get,390491714400,215376461100,153364600800,2160064800,0,62833884960,158164744800,667400160,0,240007200,200640294272,4800007040,3840005632,2880004224,26880039424,0,96002880,96002880,48001440,50880074624,64320094336,0,0,2400168000,126720185856,9600014080,0,33600049280,192002880,0,0,960028800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63360092928,3696110880,3120093600,48020160,0,0,0,0,0,0,0,0,0,3840005632,83520122496,0,291840428032,349440512512,5247973920,libc-2.29.so,tcache_get,malloc.c,0x98bd9
