Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,13120.079062,72.8,3.6,13.4,8.8,56.0,0.0,0.0,4381667446080,367787033280,65188562880,25825807680,28561999200,0,0,1536107520,23.095593,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df60
sumVertexDegree$omp$parallel_for@74,5563.349688,50.6,0.0,0.1,9.2,76.2,0.0,0.0,3504105120,0,0,0,0,0,0,0,372.000000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d9ac
max,1262.527407,65.0,4.3,0.0,2.9,75.2,0.0,0.0,341866255680,3936118080,14641024800,4224295680,7248507360,0,0,96006720,33.973643,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea70
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",931.990609,8.7,8.3,0.0,0.0,0.0,0.0,0.0,841945257600,77378321280,0,0,0,0,0,0,6.981872,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,563.603091,0.0,19.5,1.2,0.9,1.5,0.0,0.0,584945547840,305193155520,0,0,0,0,0,0,7.153783,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,508.964696,0.0,16.9,0.8,0.4,0.4,0.1,0.0,732501974400,344698340640,0,0,0,0,0,0,8.884988,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,500.100175,3.9,21.7,2.6,1.0,0.9,0.0,0.0,356026680480,321753652320,0,48003360,0,0,0,0,13.788918,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,405.728330,0.0,14.5,1.7,0.0,1.8,0.0,0.0,499214976000,145444363200,0,0,0,0,0,0,8.843527,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",307.081119,86.2,7.6,10.0,3.7,76.5,0.0,0.0,24768743040,31152934560,720050400,0,0,0,0,0,74.395062,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43e6a7
func@0xbcd30,233.301635,0.0,21.6,3.0,0.0,2.7,0.0,0.0,215430462720,48001440,0,0,0,0,0,0,7.009901,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
