Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,9520369358280,41191531159680,30105844495650,329289878400,19536586080,4381667446080,367787033280,55451830560,35665069920,52993589760,41310780589056,32197487222912,26598759011456,22974753696256,33680689398272,44160064768,238567156800,288008640,432012960,2961604343680,1566722297856,0,38400056320,51555608640,5678408328320,314880461824,960001408,44185024804608,2016030240,0,0,7488224640,0,0,0,624018720,0,5244482880,0,0,25825807680,28561999200,1536107520,0,0,139492184640,4041605927680,119091572640,26688800640,17191217280,65188562880,0,0,5520165600,0,0,0,0,960001408,6714249847552,37498614997888,200640294272,10841295900544,8297292169344,1280692892640,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df60
_int_free,3082872557820,1580827972680,1167890217120,13056391680,240007200,732501974400,344698340640,10395117600,96002880,0,1638722403456,24960036608,12480018304,5760008448,291840428032,0,2640079200,48001440,0,434880637824,384960564608,960001408,1920002816,4512315840,1235521812096,1920002816,0,149760219648,1056015840,0,336010080,4224126720,25681797600,0,0,48001440,0,0,0,0,0,0,0,0,0,2016060480,676800992640,5712171360,5424162720,72030240,0,0,0,0,0,0,0,0,0,960001408,73920108416,28800042240,2809924121216,2905924262016,92360499840,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1904841904680,3065531812200,2138581955070,24960748800,2736082080,841945257600,77378321280,9799739040,0,0,3106564556288,0,960001408,0,253440371712,5760008448,96002880,1920057600,48001440,417600612480,330240484352,0,540480792704,4272299040,1082881588224,0,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768961127808,0,0,0,0,0,0,0,0,0,0,0,2880004224,3840005632,71040104192,84480123904,2599683812864,2559363753728,68420520000,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI___libc_malloc,1878560774640,1273824772110,931000031280,9840295200,720021600,499214976000,145444363200,6045012960,384011520,144004320,1266241857152,41280060544,20160029568,23040033792,225600330880,0,35041051200,96002880,1776053280,283200415360,234240343552,0,19200028160,7824547680,911041336192,30720045056,0,114240167552,1056015840,0,48001440,5808174240,17329212960,0,0,0,0,0,0,0,0,0,0,0,0,96002880,463680680064,1488044640,1248037440,0,0,0,0,0,0,0,0,0,0,16320023936,609600894080,12480018304,2025602970880,1707842504832,53459232960,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,1856659832940,1779196502160,1293265608030,12240367200,480014400,584945547840,305193155520,5838551040,336010080,528015840,1750082566784,65280095744,43200063360,26880039424,412800605440,960001408,46417392480,384011520,1824054720,388800570240,312000457600,0,10560015488,14064984480,1350721981056,127680187264,0,171840252032,1632024480,0,0,2880086400,0,0,0,96002880,0,0,0,0,0,0,0,0,0,912027360,597120875776,3504105120,3504105120,168070560,0,0,0,0,0,0,0,0,0,26880039424,700801027840,13440019712,2233923276416,1650242420352,41767726560,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1793837131680,1554636846510,1147549342500,11712351360,336010080,356026680480,321753652320,5459237280,192005760,624018720,1570562303488,70080102784,29760043648,14400021120,408000598400,0,2256067680,240007200,96002880,351360515328,341760501248,0,10560015488,6384446880,750721101056,32640047872,0,192960283008,384005760,0,11328339840,2160064800,18817317120,0,0,0,0,0,0,0,48003360,0,0,0,0,912027360,331200485760,16032480960,13872416160,72030240,0,0,0,0,0,0,0,0,0,12480018304,619200908160,16320023936,2024642969472,1859522727296,75276976320,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,891758343960,3978621073350,2897044567560,32592977760,1200036000,341866255680,3936118080,3096928800,2832084960,5472164160,4032965915008,3085444525312,3110404561920,2993284390144,3255364774528,3840005632,45457363680,0,96002880,436800640640,199680292864,0,14400021120,3216225120,563520826496,80640118272,0,7752011369600,96001440,0,0,1488044640,0,0,0,48001440,0,1152633600,0,0,4224295680,7248507360,96006720,0,0,9984299520,298560437888,33216996480,7968239040,4898056320,14641024800,0,0,192005760,0,0,0,0,0,148800218240,3746885495424,18240026752,1224001795200,877441286912,105213954720,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea70
func@0xbcd30,637587415080,703830263400,535343018760,5376161280,48001440,215430462720,48001440,1454836320,240007200,240007200,707521037696,32640047872,11520016896,19200028160,184320270336,0,36817104480,0,0,123840181632,92160135168,0,12480018304,18673307040,714241047552,111360163328,0,65280095744,192002880,0,0,1056031680,0,0,0,0,0,0,0,0,0,0,0,0,0,576017280,218880321024,1248037440,1296038880,72030240,0,0,0,0,0,0,0,0,0,13440019712,305280447744,960001408,573120840576,645120946176,10198258560,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,437658818520,540203227740,407807534970,4320129600,96002880,261703850880,27456823680,3197759040,0,96002880,564480827904,13440019712,6720009856,9600014080,159360233728,0,20352610560,0,144004320,127680187264,82560121088,0,7680011264,15745102080,677760994048,23040033792,0,36480053504,672010080,0,48001440,720021600,0,0,0,0,0,0,0,0,48003360,0,0,0,0,0,236160346368,5328159840,5760172800,168070560,0,0,0,0,0,0,0,0,0,2880004224,34560050688,7680011264,728641068672,404160592768,24828246240,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
tcache_get,394096945440,201068645580,149406424200,1776053280,0,65617968480,155716671360,633790080,96002880,0,194880285824,3840005632,3840005632,1920002816,43200063360,0,48001440,0,0,50880074624,49920073216,0,0,2496174720,152640223872,10560015488,0,24000035200,288004320,0,0,960028800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75840111232,2928087840,2784083520,24010080,0,0,0,0,0,0,0,0,0,6720009856,80640118272,1920002816,249600366080,345600506880,4739021280,libc-2.29.so,tcache_get,malloc.c,0x98bd9
