Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1973.348303,9.7,9.4,0.0,0.0,0.0,0.0,0.0,1570112101950,143854315500,0,0,0,0,0,0,6.797419,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
buildLocalMapCounter,755.162335,51.1,6.7,31.7,14.6,13.7,0.0,0.0,465870975710,47573427160,217015190,0,7000490,0,0,0,16.024081,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d580
sumVertexDegree$omp$parallel_for@74,198.165067,50.0,0.0,0.0,3.7,75.3,0.0,0.0,168005040,7000210,0,7000490,7000490,0,0,0,0.0,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43cfcc
[vmlinux],164.282259,16.9,13.9,0.3,1.4,1.9,6.7,0.0,99423982630,49617488480,21001470,0,0,0,0,0,9.601562,vmlinux,[vmlinux],[Unknown],0x0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>",64.608101,10.2,7.1,0.0,0.0,0.0,0.0,0.0,50058501710,4725141750,0,0,0,0,0,0,6.868661,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)0, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62cf8
std::_Rb_tree_insert_and_rebalance,55.083260,0.0,22.6,1.5,0.6,0.7,0.0,0.0,51759552740,27447823410,0,0,0,0,0,0,7.211864,libstdc++.so.6.0.25,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xab0d0
_int_free,54.893678,0.0,14.6,1.2,0.3,0.3,0.9,0.0,76127283750,33622008630,0,0,0,0,0,0,8.501827,libc-2.28.so,_int_free,malloc.c,0x91e90
max,49.310827,17.4,4.1,6.3,11.0,25.3,0.0,0.0,31633948990,1092032760,7000490,0,0,0,0,0,14.640545,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e090
__GI___libc_malloc,40.792730,0.0,14.9,3.1,0.1,1.2,0.0,0.0,39243177260,8995269850,0,0,0,0,0,0,8.080508,libc-2.28.so,__GI___libc_malloc,malloc.c,0x95b90
_int_malloc,36.321219,15.8,28.1,4.7,1.3,2.1,0.1,0.0,23632708960,15596467880,0,7000490,7000490,0,0,0,20.149758,libc-2.28.so,_int_malloc,malloc.c,0x93660
func@0xaaf30,24.710981,0.0,22.1,0.8,0.6,1.0,0.0,0.0,27251817530,0,0,0,0,0,0,0,7.129870,libstdc++.so.6.0.25,func@0xaaf30,[Unknown],0xaaf30
kmp_flag_native<unsigned long long>::get,22.612508,0.0,1.4,0.0,0.0,0.0,0.0,0.0,7000210,0,0,0,0,0,0,0,7.002943,libiomp5.so,kmp_flag_native<unsigned long long>::get(void),kmp_wait_release.h,0x6253a
__GI_,22.187584,0.0,22.2,1.1,0.2,0.6,2.6,0.0,25151754530,4144124320,0,0,0,0,0,0,8.240602,libc-2.28.so,"float __GI_(long, int, bool, char)",malloc.c,0x96310
plm_analyzeClusters$omp$parallel_for@64,20.873588,14.1,10.3,0.9,2.9,25.0,0.7,0.0,20629618870,6251187530,0,0,0,0,0,0,14.141343,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431764
std::_Rb_tree_increment,10.766927,0.0,10.1,7.2,1.3,3.4,0.0,0.0,11599347970,0,0,0,0,0,0,0,7.364286,libstdc++.so.6.0.25,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xaaf90
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",10.440062,10.7,12.0,0.8,16.9,2.1,0.0,0.0,14896446880,0,0,0,0,0,0,0,7.215548,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43d716
tcache_get,9.060693,0.0,15.3,0.0,1.1,0.5,0.0,0.0,8750262500,23051691530,0,0,0,0,0,0,8.628571,libc-2.28.so,tcache_get,malloc.c,0x95d29
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end",8.263143,0.0,12.5,0.0,6.8,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_end(void)",stl_tree.h,0x43d73e
__intel_ssse3_rep_memmove,8.014725,0.0,5.7,4.0,2.3,1.1,0.0,0.0,7987239610,4844145320,0,0,0,0,0,0,7.955224,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47b730
operator new,7.622488,0.0,16.4,1.2,1.2,0.6,0.0,0.0,784023520,1855055650,0,0,0,0,0,0,7.266234,libstdc++.so.6.0.25,operator new(unsigned long),[Unknown],0x94280
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",7.177951,60.8,26.4,31.7,5.3,26.4,0.7,0.0,1897056910,2569077070,0,0,0,0,0,0,18.890909,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43dcc7
sched_yield,6.694192,4.5,7.7,0.0,0.0,0.0,0.0,0.0,2100063000,0,0,0,0,0,0,0,7.000000,libc-2.28.so,sched_yield,syscall-template.S,0xfe8d0
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",4.543421,0.0,8.1,4.1,0.0,1.0,0.0,0.0,483014490,12194365820,0,0,0,0,0,0,7.309524,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43d833
"std::vector<double, std::allocator<double>>::push_back",4.255780,1.5,25.1,0.0,3.6,1.2,0.0,0.0,2884086520,392011760,0,0,0,0,0,0,7.091603,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43dbe7
operator delete,3.909303,0.0,20.4,2.3,0.0,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.25,operator delete(void*),[Unknown],0x923c0
duplicateGivenGraph$omp$parallel_for@152,3.745871,87.3,29.4,2.8,1.4,0.0,47.6,0.0,994029820,756022680,0,0,0,0,0,0,491.083333,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@152,utilityFunctions.cpp,0x44ce5f
parallelLouvianMethod$omp$parallel_for@237,3.412469,86.8,11.5,59.2,0.0,11.5,1.6,0.0,847025410,329009870,0,0,0,0,0,0,95.333333,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x430cb0
malloc_consolidate,3.353633,3.3,20.5,10.9,0.0,5.5,0.0,0.0,2590077700,1918057540,0,0,0,0,0,0,10.148936,libc-2.28.so,malloc_consolidate,malloc.c,0x903b0
"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[]",3.242499,5.5,4.0,5.3,0.0,1.3,0.0,0.0,1974059220,3976119280,0,0,0,0,0,0,7.352459,driverForGraphClustering,"std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>::operator[](long const&)",stl_map.h,0x43d73e
tcache_put,3.059455,24.1,40.9,9.4,1.6,0.0,0.0,0.0,77002310,56001680,0,0,0,0,0,0,19.446602,libc-2.28.so,tcache_put,malloc.c,0x93764
__kmpc_atomic_float8_add,2.954858,72.2,36.3,1.6,3.3,49.5,0.0,0.0,140004200,28000840,0,0,0,0,0,0,0.0,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
func@0x8b430,2.490710,6.5,20.9,0.0,0.0,0.0,1.7,0.0,7364220920,0,0,0,0,0,0,0,8.878788,libstdc++.so.6.0.25,func@0x8b430,[Unknown],0x8b430
tcache_put,2.431874,3.5,14.5,1.8,0.0,0.0,1.8,0.0,2065061950,11165334950,0,0,0,0,0,0,7.777778,libc-2.28.so,tcache_put,malloc.c,0x921c0
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++",2.412262,3.0,0.0,0.0,17.1,0.0,0.0,0.0,0,4578137340,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator++(int)",stl_tree.h,0x43e161
parallelLouvianMethod$omp$parallel_for@210,2.216143,85.5,0.0,34.9,6.2,63.6,0.0,0.0,385011550,0,0,0,0,0,0,0,400.250000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x430fc3
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",1.980801,0.0,20.8,4.2,0.0,0.0,0.0,0.0,1463043890,126003780,0,0,0,0,0,0,7.193548,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41e350
func@0x8ab70,1.928502,0.0,7.4,5.0,0.0,2.5,0.0,0.0,10780323400,0,0,0,0,0,0,0,10.133333,libstdc++.so.6.0.25,func@0x8ab70,[Unknown],0x8ab70
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",1.765070,66.2,0.0,65.1,0.0,20.0,0.0,0.0,364010920,217006510,0,0,0,0,0,0,52.375000,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43dc55
__gnu_cxx::new_allocator<double>::allocate,1.673548,0.0,22.8,0.0,0.0,0.0,0.0,0.0,91002730,2954088620,0,0,0,0,0,0,7.156250,driverForGraphClustering,"__gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)",new_allocator.h,0x43dde7
"std::__copy_move<(bool)1, (bool)1, std::random_access_iterator_tag>::__copy_m<double>",1.536265,0.0,14.4,2.9,0.0,0.0,2.9,0.0,420012600,35001050,0,0,0,0,0,0,7.437500,driverForGraphClustering,"double* std::__copy_move<(bool)1, (bool)1, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)",stl_algobase.h,0x43dc63
func@0x4043b0,1.392444,3.7,19.2,0.0,0.0,0.0,9.6,0.0,2723081690,0,0,0,0,0,0,0,7.285714,driverForGraphClustering,func@0x4043b0,[Unknown],0x4043b0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::end",1.353220,2.9,0.0,4.1,4.1,0.0,0.0,0.0,1050031500,98002940,0,0,0,0,0,0,7.173913,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::end(void)",stl_tree.h,0x43d5ae
"std::vector<double, std::allocator<double>>::_M_realloc_insert<double const&>",1.307459,1.8,6.7,3.3,0.0,0.0,0.0,0.0,0,1190035700,0,0,0,0,0,0,0.0,driverForGraphClustering,"void std::vector<double, std::allocator<double>>::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, double const&&&)",stl_vector.h,0x43dbf7
func@0x4043e0,1.202863,0.0,6.8,0.0,13.6,0.0,0.0,0.0,4452133560,0,0,0,0,0,0,0,7.527027,driverForGraphClustering,func@0x4043e0,[Unknown],0x4043e0
"std::vector<double, std::allocator<double>>::_M_check_len",1.189788,0.0,7.5,0.0,7.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,driverForGraphClustering,"std::vector<double, std::allocator<double>>::_M_check_len(unsigned long, char const*) const",stl_vector.h,0x43dbf7
__gnu_cxx::new_allocator<double>::deallocate,1.130952,3.2,4.0,0.0,0.0,4.0,0.0,0.0,392011760,1008030240,0,0,0,0,0,0,7.148148,driverForGraphClustering,"__gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)",new_allocator.h,0x43dc93
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",1.065579,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0,532015960,0,0,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x431def
__kmpc_atomic_float8_sub,0.987132,81.7,39.9,0.0,20.0,25.0,0.0,0.0,161004830,28000840,0,0,0,0,0,0,0.0,libiomp5.so,__kmpc_atomic_float8_sub,kmp_atomic.cpp,0x45910
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",0.947908,3.1,17.1,0.0,0.0,0.0,0.0,0.0,0,427012810,0,0,0,0,0,0,0.0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x431ddb
free_perturb,0.862923,16.3,23.0,0.0,4.6,0.0,0.0,0.0,896026880,0,0,0,0,0,0,0,8.285714,libc-2.28.so,free_perturb,malloc.c,0x91f54
_intel_fast_memmove,0.843311,0.0,4.8,0.0,0.0,0.0,0.0,0.0,1638049140,91002730,0,0,0,0,0,0,8.125000,driverForGraphClustering,_intel_fast_memmove,[Unknown],0x46ac20
std::_Rb_tree_decrement,0.777938,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,libstdc++.so.6.0.25,std::_Rb_tree_decrement(std::_Rb_tree_node_base*),[Unknown],0xaaff0
plm_init$omp$parallel_for@285,0.771401,22.0,0.0,0.0,0.0,0.0,12.4,0.0,0,546016380,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x432070
