Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Memory Bound:Persistent Memory Bound(%),Memory Bound:Persistent Memory Bound:Local Persistent Memory(%),Memory Bound:Persistent Memory Bound:Remote Persistent Memory(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
sumVertexDegree$omp$parallel_for@74,58131.587362,61.2,0.0,0.1,14.5,0.0,70.4,18.3,52.9,0.0,0.0,0.0,69.1,10.6,13.8,94502835000,2898086940,4494314580,0,0,1344094080,1512105840,0,488.315315,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d64c
buildLocalMapCounter,40769.285771,54.2,12.3,44.6,3.5,0.1,57.7,23.5,64.4,0.0,0.0,0.0,6.5,1.5,3.4,32496374862000,2260885824540,4368305760,84005880,0,798055860,1596111720,0,13.503926,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dc00
__GI___libc_malloc,13741.642576,74.7,35.3,0.0,46.8,1.4,10.1,55.0,100.0,0.0,0.1,0.0,0.0,0.0,0.0,3204024117840,1322661678660,462032340,0,84005880,0,0,0,17.205806,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
parallelLouvianMethod$omp$parallel_for@237,4412.906989,49.0,0.8,15.7,6.5,0.0,56.5,24.9,0.0,0.0,0.0,0.0,45.3,6.2,0.0,28980869400,13104393120,168011760,0,0,84005880,0,0,197.138298,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x431330
std::_Rb_tree_insert_and_rebalance,3182.799229,1.4,27.1,0.1,0.5,0.4,17.3,28.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3950722518120,2114847443520,0,42002940,0,0,0,0,9.841311,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,3020.667679,0.0,18.7,1.8,0.5,1.3,8.2,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4223898713160,1939954196880,42002940,0,0,0,0,0,11.264277,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,2798.495155,5.8,19.7,2.0,1.5,0.7,16.9,29.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2037481122600,2441449241280,84005880,0,0,0,0,84005880,10.748288,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,2425.906393,40.6,7.2,7.1,15.8,1.3,25.1,48.0,55.6,0.4,0.0,0.0,31.7,4.6,8.9,1700042999760,61993859760,2268158760,84005880,0,252017640,420029400,0,12.099234,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e710
plm_init$omp$parallel_for@285,2135.534017,86.6,0.0,0.0,0.7,0.1,0.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252007560,17640529200,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x4326f0
native_queued_spin_lock_slowpath,1435.962528,22.8,12.3,0.0,1.9,2.6,7.7,14.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,74594237760,378011340,42002940,0,0,0,0,42002940,28.030534,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff8b6f1320
