Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
sumVertexDegree$omp$parallel_for@74,71211.711672,50.3,0.0,0.0,15.0,67.2,0.0,65.4,94754842560,2736082080,2352164640,0,48003360,144010080,864060480,0,283.418033,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d96c
buildLocalMapCounter,40352.629081,50.8,13.0,44.0,3.0,6.5,0.0,6.1,32380523386560,2293844813280,4176292320,336023520,0,624043680,960067200,0,13.199142,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
__GI___libc_malloc,12248.504202,69.8,32.7,0.0,45.4,0.9,0.0,0.0,3192863783040,1314183424320,720050400,0,48003360,0,0,0,17.017723,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
parallelLouvianMethod$omp$parallel_for@237,4896.912328,42.5,0.0,5.8,5.7,53.5,3.5,53.5,23040691200,13104393120,0,0,0,48003360,0,0,49.206897,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x431650
std::_Rb_tree_insert_and_rebalance,3200.374029,0.8,24.6,0.7,0.4,0.4,0.3,0.0,3969911093760,2091086730720,0,0,0,0,0,0,8.772069,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,3173.257866,0.0,18.9,1.4,0.8,1.1,1.3,0.0,4208958264960,1931097931200,48003360,0,0,0,0,0,9.976303,libc-2.29.so,_int_free,malloc.c,0x950c0
plm_init$omp$parallel_for@285,3045.900805,83.9,0.1,0.0,0.2,0.4,57.5,0.0,0,17568527040,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x432a10
_int_malloc,2839.862419,4.2,22.9,0.6,2.1,1.3,0.0,0.0,2135584065600,2464777941120,144010080,96006720,48003360,0,0,48003360,10.894939,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,2376.220484,38.9,6.7,8.9,13.4,33.4,0.1,31.5,1706163183360,63937918080,2256157920,96006720,0,240016800,288020160,0,11.890378,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
parallelLouvianMethod$omp$parallel_for@210,2210.189551,60.2,0.0,19.8,11.3,62.8,0.0,62.8,12672380160,0,624043680,0,0,144010080,48003360,0,320.466667,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x431963
clear_page_erms,1820.116878,91.7,0.0,0.0,0.5,0.5,75.8,0.0,2016060480,1584047520,0,0,0,0,0,0,5.250000,vmlinux,clear_page_erms,[Unknown],0xffffffffaf63c070
std::_Rb_tree_increment,1352.251934,48.9,5.7,11.3,27.1,25.7,0.0,19.9,646003379520,0,2064144480,96006720,48003360,192013440,48003360,0,11.145957,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
