Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,70052212022940,118511818785360,87942665501460,954652638720,41857255680,31992479745600,2240419210560,398807606400,3936118080,4368131040,117754732706688,61211609776896,11283856549632,7937291641344,77637233867776,671040984192,2117343518400,36529095840,1296038880,16747224562560,9928334561536,17280025344,86400126720,172668085920,25491877388032,790081158784,13440019712,66991778254464,16224243360,0,0,74114223360,0,0,0,192005760,0,0,0,0,48003360,0,0,0,1248087360,629442882720,31617646372480,349834494720,338122143360,3529481760,4512315840,1728120960,0,0,0,0,0,0,18083546522496,64133854062848,91382534027520,8142731942656,66643297743360,58917206411776,5219035641120,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
_int_free,17540459129340,9852193923390,7380092571390,80978429280,5088152640,4196045877600,1933834013280,58683199680,432012960,192005760,10031054712192,401280588544,236160346368,185280271744,2396163514368,45120066176,4416132480,672020160,96002880,2347203442560,2123523114496,153600225280,22080032384,45411178560,6264969188608,14400021120,0,708481039104,1920028800,0,4800144000,32544976320,146986288320,0,0,0,0,0,0,0,0,0,0,0,0,8544256320,4152966091008,12960388800,10944328320,96040320,48003360,144010080,0,0,0,0,0,0,118080173184,744961092608,1534082249984,1162561705088,15496342727936,16811544656896,559987145760,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13584256931700,41716110290400,31414977961290,336202085760,16128483840,3200976026400,1327431821760,38123433600,240007200,1584047520,42073981708416,19772188999168,19825949078016,497280729344,34345010372608,163200239360,67490024640,3456103680,12480374400,2171523184896,2088963063808,8640012672,50880074624,50931564960,5220487656704,64320094336,8640012672,20185949606016,36768551520,0,336010080,42913287360,159035131680,0,0,0,0,38421120,0,0,0,96006720,48003360,0,0,7296218880,3149764619648,12432372960,4944148320,5594348640,288020160,0,0,0,0,0,0,0,315840463232,3210244708352,25537957455616,2784004083200,13491859788032,13230739405056,645515196480,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,13131988389450,9907186177980,7303529432430,78002340000,4464133920,3919557583200,2098430951040,41388412800,144004320,48001440,9604814087040,147840216832,69120101376,47040068992,2511363683328,43200063360,66818004480,13776413280,7728231840,2365443469312,1833602689280,23040033792,81600119680,71573009760,6380169357568,504960740608,960001408,195840287232,2400036000,0,0,21360640800,0,0,0,0,0,0,0,0,0,0,0,0,0,2400072000,3867845672832,9744292320,8208246240,120050400,96006720,48003360,0,0,0,0,0,0,82560121088,1192321748736,3968645820672,554880813824,12433938236416,10988176115968,361231536960,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,12546874400760,8657964962010,6397312279050,72290168640,3792113760,2078222344800,2424744740160,36615781440,192005760,96002880,8746572828288,305280447744,184320270336,64320094336,2190723213056,35520052096,7104213120,4608138240,1920057600,2117763106048,1828802682240,2880004224,95040139392,32498274720,3646085347584,129600190080,960001408,504000739200,4512067680,0,53329599840,21264637920,73733160960,0,0,0,0,9605280,0,0,0,0,48003360,0,0,5088152640,2073603041280,31104933120,33457003680,192080640,144010080,48003360,0,0,0,0,0,0,79680116864,913921340416,3530885178624,544320798336,11639057070592,12587538461696,449472401280,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4480563695580,6881052111570,5156791419780,55585667520,1968059040,1721091631200,65953978560,20828646720,1296038880,768023040,6963850213632,3588485263104,3164164640768,2236803280640,4154886093824,41280060544,988061640960,816024480,864025920,1032961515008,835201224960,1920002816,29760043648,16609162560,2010242948352,84480123904,960001408,6091208933760,0,0,0,20352610560,0,0,0,96002880,0,19210560,0,0,0,0,0,0,288020160,49681490400,1606082355584,65857975680,65233956960,1944816480,1776124320,336023520,0,0,0,0,0,0,277440406912,1520642230272,4686726873856,445440653312,5116807504640,4176006124800,233220345120,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
malloc_consolidate,3455061651720,3134168495640,2307454601760,26544796320,2112063360,836905106400,243943318080,9718114560,576017280,48001440,2986564380288,881281292544,458880673024,376320551936,1263361852928,3840005632,9888296640,1056031680,528015840,521280764544,476160698368,63360092928,7680011264,29426059680,1305601914880,49920073216,1920002816,1592642335872,576008640,0,0,6240187200,2016141120,0,0,0,0,0,0,0,48003360,0,0,0,96006720,16512495360,816001196800,19344580320,19008570240,168070560,672047040,336023520,0,0,0,0,0,0,50880074624,610560895488,1079041582592,283200415360,3239044750592,3072004505600,109434420480,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI_,3212051688720,3119737904010,2307784615290,25104753120,912027360,1649809492800,151780553280,17515653120,48001440,96002880,3156484629504,318720467456,205440301312,136320199936,1186561740288,23040033792,55681670400,624018720,192005760,707521037696,625920918016,0,23040033792,71188982880,2672643919872,36480053504,960001408,599040878592,2208033120,0,480014400,8448253440,0,0,0,0,0,0,0,0,0,0,0,0,0,960028800,1667522445696,15504465120,15312459360,96040320,48003360,192013440,0,0,0,0,0,0,108480159104,418560613888,887041300992,215040315392,4212486178304,2845444173312,195913156320,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2657448950940,4336197776820,3081666343140,34657039680,6432192960,1150114502400,103395101760,13588075200,0,0,4426566492288,1920002816,11520016896,5760008448,393600577280,0,384011520,48001440,0,540480792704,465600682880,0,703681032064,5712399840,1921922818816,960001408,0,8640012672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095361606528,48001440,48001440,0,0,0,0,0,0,0,0,0,33600049280,67200098560,268800394240,971521424896,3709445440512,3665285375744,184653779520,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
func@0xbcd30,2256752523060,1753511891040,1354705540650,13248397440,432012960,967469023200,0,8844252480,0,0,1776962606208,21120030976,9600014080,4800007040,516480757504,17280025344,51073532160,3264097920,96002880,408000598400,332160487168,0,17280025344,60436230240,1320961937408,147840216832,0,28800042240,576008640,0,0,3552106560,0,0,0,0,0,0,0,0,0,0,0,0,0,624018720,979201436160,1728051840,1680050400,0,0,0,0,0,0,0,0,0,7680011264,213120312576,660480968704,99840146432,1647362416128,2079363049728,68919869760,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
