Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
sumVertexDegree$omp$parallel_for@83,54768.576816,50.6,0.0,0.0,11.1,71.7,0.0,71.7,92642779200,1872056160,8304581280,0,0,2832198240,4320302400,0,654.040179,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e63c
buildLocalMapCounter,41002.053693,53.1,12.7,44.3,3.0,8.0,0.0,7.9,31847515396800,2233651007520,4416309120,144010080,0,960067200,2208154560,0,13.439401,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
__GI___libc_malloc,15445.907936,76.1,35.7,0.0,48.2,1.2,0.0,0.0,3176975306400,1355368659840,432030240,0,96006720,0,0,0,17.739453,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,3201.088276,0.1,26.6,0.7,0.3,0.4,0.2,0.0,3960598814400,2129823892800,48003360,0,0,0,0,0,9.219731,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,3144.213162,0.0,21.6,0.9,1.1,1.8,1.5,1.3,4198205942400,1953130592160,96006720,48003360,0,48003360,0,0,10.005282,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,2842.578941,3.8,22.4,1.3,1.7,0.8,0.0,0.0,2116383489600,2451097530720,240016800,0,0,0,0,48003360,12.100989,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,2403.659962,38.1,11.9,5.7,11.7,35.3,0.0,34.2,1703091091200,59473784160,2304161280,48003360,0,192013440,288020160,0,13.135666,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f330
parallelLouvianMethod$omp$parallel_for@237,2234.015228,66.4,3.6,13.6,9.6,40.2,6.0,40.2,21360640800,12672380160,48003360,0,0,0,48003360,0,208.743590,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x432320
plm_init$omp$parallel_for@285,1597.013958,82.3,2.0,,1.1,,56.6,,0,16704501120,0,0,0,0,0,0,8.000000,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x4336e0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1344.213886,11.1,8.3,0.2,0.1,0.0,0.0,0.0,1036351089600,97490924640,0,0,0,0,0,0,13.948076,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_increment,1290.672831,46.6,6.6,6.5,26.1,24.5,0.0,23.7,658819764000,0,1824127680,48003360,0,480033600,96006720,0,10.214221,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
copy_user_enhanced_fast_string,1081.607759,74.1,0.0,0.1,1.7,65.4,0.0,54.2,37441123200,19440583200,288020160,48003360,96006720,0,336023520,0,75.506135,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffff8ba3c560
__GI_,1015.122713,0.0,19.6,4.3,4.0,4.2,0.1,4.2,1703091091200,146596397760,288020160,0,0,48003360,0,0,8.960075,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,1010.415807,17.1,16.0,11.1,6.3,10.9,2.7,10.9,841465243200,249703490880,768053760,0,0,384026880,96006720,0,11.282235,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
native_queued_spin_lock_slowpath,1001.982600,20.5,12.4,0.4,1.2,2.2,0.0,0.0,46561396800,432012960,288020160,0,0,0,0,0,15.523077,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff8b0f1320
clear_page_erms,943.734639,84.8,0.2,0.0,0.0,1.0,62.6,0.0,4080122400,2160064800,0,0,0,0,0,0,11.000000,vmlinux,clear_page_erms,[Unknown],0xffffffff8ba3c070
plm_analyzeClusters$omp$parallel_for@64,875.092261,33.3,16.6,0.0,17.5,23.6,3.4,23.6,599537985600,247111413120,672047040,0,0,192013440,48003360,0,10.238998,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432dd4
