Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:DRAM Bound:Memory Bandwidth(%),Memory Bound:DRAM Bound:Memory Latency(%),Memory Bound:DRAM Bound:Memory Latency:NUMA: % of Remote Accesses(%),Memory Bound:DRAM Bound:Memory Latency:Local DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote DRAM(%),Memory Bound:DRAM Bound:Memory Latency:Remote Cache(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
[vmlinux],83064.691539,39.8,12.1,0.0,1.8,2.0,1.9,4.8,72.7,0.0,0.1,0.0,4522149660420,734518034880,2016141120,210014700,420029400,42002940,252017640,126008820,25.057104,vmlinux,[vmlinux],[Unknown],0x0
buildLocalMapCounter,58583.573599,66.4,9.2,59.7,3.6,4.7,66.3,21.0,53.5,0.3,0.2,0.0,32144866317060,2240179203360,4536317520,840058800,420029400,546038220,1176082320,0,17.033773,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43d4d0
sumVertexDegree$omp$parallel_for@74,38355.481206,70.2,0.0,0.1,15.0,69.5,71.6,16.0,66.4,0.0,0.0,0.0,96728901780,2016060480,9786685020,0,0,1848129360,3654255780,0,697.751938,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43cf1c
__GI___libc_malloc,14685.156321,74.8,33.6,0.2,48.7,1.2,12.2,55.4,100.0,0.0,0.2,0.0,3254971646220,1344040320000,798055860,0,168011760,0,42002940,0,18.943691,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
duplicateGivenGraph$omp$parallel_for@171,8458.276631,76.9,6.9,5.1,6.5,46.0,55.0,20.0,0.0,0.0,0.0,0.0,365452963260,285440562960,378026460,0,0,0,0,0,88.170965,driverForGraphClustering,duplicateGivenGraph$omp$parallel_for@171,utilityFunctions.cpp,0x44cd3b
_int_free,3144.328507,0.0,18.8,1.1,1.8,2.4,8.2,10.8,0.0,0.2,0.0,0.0,4216674496440,1937602126320,84005880,42002940,0,0,0,0,12.000211,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,3039.444339,0.0,23.2,1.0,0.4,0.5,17.5,33.1,0.0,0.0,0.0,0.0,4084076518620,2104095120960,42002940,0,0,0,0,0,9.796044,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,2782.725237,7.4,22.2,1.0,2.4,1.9,17.2,35.0,0.0,0.1,0.0,0.0,2095106851320,2448505452960,168011760,42002940,0,0,0,0,10.278384,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,2385.153837,43.0,7.6,5.6,21.7,28.3,27.1,44.5,66.7,0.9,2.6,0.0,1706133182460,65017950480,1848129360,210014700,378026460,0,42002940,0,12.710696,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43dfe0
plm_analyzeClusters$omp$parallel_for@64,1271.240044,54.8,4.7,8.5,20.2,30.0,54.0,32.3,33.3,0.3,0.0,0.0,579491384220,235711071120,420029400,42002940,0,42002940,42002940,0,21.043478,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x4316b4
