Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,47418.596164,58.2,11.0,52.6,2.9,5.3,0.0,32442733252800,2266772001120,4224295680,1008070560,96006720,912063840,240016800,48003360,14.586539,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dea0
sumVertexDegree$omp$parallel_for@74,24059.878108,72.9,0.0,0.0,16.7,73.0,0.0,93122793600,3024090720,12624883680,0,0,6624463680,3648255360,0,956.839080,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d8ec
__GI___libc_malloc,15907.656952,77.1,36.4,0.4,47.6,1.2,0.0,3223536703200,1310295307680,240016800,0,96006720,0,0,0,19.639734,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,3232.176829,1.4,24.9,0.3,0.3,0.3,0.2,3914037417600,2106207184320,48003360,48003360,0,0,0,0,8.961735,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,3035.902220,0.0,19.0,0.8,1.0,0.7,1.9,4217406518400,1958170743360,48003360,48003360,0,0,0,0,10.777630,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,2785.342228,4.8,20.0,1.2,1.9,0.9,0.0,2082782481600,2465353958400,144010080,0,0,0,0,0,11.355474,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,2000.400688,30.8,7.1,7.0,18.6,21.3,0.0,1678610356800,67250017440,1824127680,288020160,0,48003360,0,0,11.903994,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e9b0
clear_page_erms,1061.859753,92.8,0.0,0.0,0.3,0.2,71.9,3600108000,2448073440,0,0,0,0,0,0,11.333333,vmlinux,clear_page_erms,[Unknown],0xffffffff94e3c070
__GI_,989.217752,0.0,22.6,2.2,3.0,1.8,0.0,1670690119200,151348540320,144010080,144010080,0,0,0,0,8.571197,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,984.824715,38.5,4.4,11.0,15.0,30.0,5.4,568097042400,239479184160,192013440,0,0,48003360,48003360,0,16.426201,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432084
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",965.840520,11.6,9.2,0.1,0.0,0.0,0.0,730581916800,62209866240,0,0,0,0,0,0,14.586667,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_increment,955.956188,29.9,7.0,14.2,21.7,16.1,0.0,661939857600,0,1296090720,144010080,0,0,0,0,11.215477,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
malloc_consolidate,827.146073,3.1,16.0,6.8,4.8,4.7,0.6,827304818400,231990959520,384026880,144010080,48003360,0,0,0,10.129094,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
func@0xbcd30,596.825429,0.3,23.9,0.0,0.7,0.2,0.0,999869995200,0,0,0,0,0,0,0,9.380196,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
copy_user_enhanced_fast_string,576.586081,41.0,0.0,0.5,6.5,24.8,0.1,38641159200,18720561600,192013440,0,96006720,0,0,0,33.810651,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffff94e3c560
parallelLouvianMethod$omp$parallel_for@237,513.200835,91.0,1.9,31.9,10.2,41.2,5.4,31200936000,14400432000,192013440,0,0,0,0,0,412.640625,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4315d0
native_queued_spin_lock_slowpath,506.297492,25.1,12.5,0.0,1.3,1.7,0.0,29280878400,144004320,0,0,0,0,0,0,27.825581,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff944f1320
parallelLouvianMethod$omp$parallel_for@210,439.931257,95.5,0.0,12.0,9.5,84.0,0.0,10800324000,0,816057120,48003360,0,432030240,0,0,1152.769231,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x4318e3
__handle_mm_fault,415.926449,85.1,7.2,0.0,11.1,3.5,63.8,19440583200,18000540000,0,0,0,0,0,0,31.344828,vmlinux,__handle_mm_fault,[Unknown],0xffffffff94648830
try_charge,380.782154,95.7,10.7,0.0,0.0,2.6,76.4,10800324000,15840475200,0,0,0,0,0,0,8.217391,vmlinux,try_charge,[Unknown],0xffffffff9469fb50
__kmpc_atomic_float8_add,335.282845,74.8,67.9,0.0,16.2,35.0,0.0,45841375200,7056211680,48003360,48003360,0,0,0,0,12.400000,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
page_fault,327.595030,20.8,0.4,0.0,1.5,10.3,2.7,0,1152034560,0,0,0,0,0,0,0.0,vmlinux,page_fault,[Unknown],0xffffffff95001070
tcache_get,321.319263,2.1,16.2,5.2,5.4,1.2,1.1,279608388000,796055880960,0,0,0,0,0,0,9.512987,libc-2.29.so,tcache_get,malloc.c,0x98bd9
