Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_16_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=L3_MISS.REMOTE_HITM,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,70456268190000,180840075062760,133711356761100,1469036069760,249151474320,32338618129440,2247403420080,397027472520,181164745707904,121020657496704,20776590472288,15491302720544,136924400822160,542640795872,2376011278200,32172965160,4032120960,15939863378432,9607934091616,24360035728,78960115808,252017640,33759649514080,829081215984,5880008624,134752997637440,16044240660,0,0,83792513700,0,0,0,168005040,0,33618480,0,0,546038220,210014700,0,0,1512105840,684284527920,31140525672704,344284328220,342226266480,3256367100,5208364560,630044100,28277801474048,117006291608976,157094510404944,14656341495936,68396260314368,59663607506496,0,0,6633747527400,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dbc0
_int_free,18056605013040,9686694357360,7184829324600,78038341080,9702291060,4326213782520,1949908495500,56540557080,9747374296128,337680495264,225120330176,114240167552,2336043426192,29400043120,4116123480,3066091980,504015120,2129403123120,1887482768304,173040253792,21000030800,0,8137931935616,20160029568,840001232,798001170400,1428021420,0,10122303660,41035231020,145330172400,0,0,0,0,0,0,0,0,0,0,0,0,10206306180,4275606270880,11088332640,11634349020,84035280,42002940,0,137760202048,1103761618848,2255403307920,1223041793792,15630742925056,17075545044096,0,0,582529906560,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,14000832010440,50707992727440,37652177727000,408672259800,55063651860,3243841312320,1366132982760,37424824080,50769674462080,25809877854432,25930838031840,833281222144,41398620717888,127680187264,71486144520,6468194040,12978389340,2112603098480,2013482953104,15120022176,46200067760,42002940,11513056885792,92400135520,7560011088,27153039824400,34104511560,0,966028980,51241537200,161543307240,0,0,0,0,201710880,0,0,0,168011760,0,0,0,10752322560,3123124580576,18984569520,4158124740,10504410000,630044100,0,431760633248,10755375774528,36005812808448,5681768333248,14190980813408,13377859620832,0,0,783039241320,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,13265248770180,10598230764720,7840941134400,82910487240,7098212940,4002384067920,2073140192340,39693504480,11051056208192,126000184800,82320120736,31920046816,2913124272576,23520034496,68210046240,9324279720,6552196560,2197443222912,1801802642640,28560041888,86520126896,0,9347533709696,498120730576,1680002464,268800394240,2604039060,0,0,25746772380,0,0,0,0,0,0,0,0,0,0,0,0,0,2310069300,4023605901280,8316249480,6888206640,84035280,42002940,0,112560165088,2212563245088,5158447565712,977761434048,11964977548608,11615537036096,0,0,415966752600,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,12087787576260,9180705249720,6740221321800,68126043720,8820264600,2055625666920,2403144092160,35332596600,9209773507648,441000646800,263760386848,63840093632,2512443684912,36960054208,11676350280,8358250740,3654109620,1869842742432,1701842496032,1680002464,87360128128,84005880,5717048384992,131040192192,0,592200868560,3360050400,0,54181625400,25032750960,72791095020,0,0,0,0,8404620,0,0,84005880,0,0,0,0,4830144900,1970642890272,30198905940,27678830340,84035280,42002940,0,139440204512,2023562967888,4624206782160,866881271424,11618897041024,12403458191712,0,0,460071580080,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4423729625700,8285909143680,6212811828600,68294048760,6594197820,1704579135840,59725791720,20796237000,8131211925760,4553646678672,3751445502112,2410803535840,5327287813344,26040038192,1043479303440,672020160,1050031500,954241399552,798001170400,5880008624,31080045584,0,3402004989600,86520126896,840001232,7140010472000,168002520,0,0,20496614880,0,0,0,42001260,0,33618480,0,0,252017640,84005880,0,0,42002940,46033380960,1602722350656,64723941660,60985829520,1554652680,1974138180,42002940,411600603680,2341083433584,6191649081072,750961101408,5152567557088,4223526194496,0,0,261717491700,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e6d0
malloc_consolidate,3507303130320,3024594441720,2213589843900,24780743400,2772083160,860857824960,253393601580,9352004760,3037444454912,698041023792,299040438592,199920293216,1285201884960,2520003696,11424342720,756022680,882026460,521640765072,480480704704,19320028336,15960023408,0,1864802735040,69720102256,0,1285201884960,252003780,0,0,7518225540,1596111720,0,0,0,0,0,0,0,420029400,0,0,0,0,17598527940,819841202432,17556526680,18564556920,210088200,462032340,0,38640056672,415800609840,1005481474704,322560473088,3496085127584,3180244664352,0,0,109724307420,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI_,2825180852340,3190917435480,2342742168600,24948748440,2016060480,1569755091240,147424422600,17762927280,3108004558400,383040561792,194880285824,117600172480,1202041762992,26040038192,59725791720,966028980,1092032760,554400813120,524160768768,1680002464,20160029568,0,3334804891040,29400043120,0,655200960960,1680025200,0,1428042840,7140214200,0,0,0,0,0,0,0,0,126008820,0,0,0,0,1050031500,1582562321088,12600378000,11928357840,147061740,252017640,0,132720194656,466200683760,1083601589280,297360436128,4260486248704,2619123841376,0,0,192598362180,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1993565883540,3448502071920,2435443837200,24696740880,5544166320,797351919840,75350260440,10032608880,3185284671744,2520003696,3360004928,1680002464,294840432432,7560011088,168005040,2100063000,0,413280606144,338520496496,840001232,634200930160,0,1659842434432,0,0,4200006160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814801195040,42001260,42001260,0,0,0,38640056672,88200129360,153720225456,504000739200,2567043764992,2553603745280,0,0,154896254940,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
func@0xbcd30,1944394998480,1719390948480,1286573157900,12600378000,1008030240,898910966520,0,7889966280,1780802611840,32760048048,23520034496,6720009856,446040654192,14280020944,50233506960,2352070560,84002520,346920508816,288120422576,0,21840032032,0,1552322276736,176400258720,0,50400073920,588008820,0,0,4956148680,0,0,0,0,0,0,0,0,42002940,0,0,0,0,336010080,907201330560,1470044100,1386041580,21008820,0,0,10080014784,403200591360,834121223376,157920231616,1443122116576,1908482799104,0,0,76576366020,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
plm_analyzeClusters$omp$parallel_for@64,1532217579420,3477122587080,2559646072800,26040781200,1386041580,579617388000,247975439040,7772331000,3514565154688,1978202901360,1580882318624,1092001601600,2081523052896,12600018480,81314439360,1470044100,23730711900,320040469392,286440420112,147000215600,8400012320,0,1386002032800,27720040656,0,2578803782240,168002520,0,420012600,5586167580,0,0,0,0,0,8404620,0,0,0,0,0,0,84005880,13692410760,522480766304,22638679140,23688710640,336141120,420029400,0,732481074304,1625402383920,2719083987984,497280729344,2004242939552,1921922818816,0,0,102813234720,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x431da4
tcache_get,1493606884440,901816232400,665561979900,6552196560,630018900,285272557920,761818853880,2915674440,1001281468544,148680218064,89040130592,11760017248,236880347424,5040007392,10668320040,798023940,336010080,144480211904,177240259952,6720009856,1680002464,0,665280975744,16800024640,0,193200283360,84001260,0,0,3864115920,0,0,0,0,0,0,0,0,0,0,0,0,0,42001260,267120391776,6006180180,5586167580,21008820,42002940,0,132720194656,405720595056,630000924000,117600172480,1164241707552,1209601774080,0,0,31459034880,libc-2.29.so,tcache_get,malloc.c,0x98bd9
std::_Rb_tree_increment,1457306231040,4225036049280,3161756910600,37801134000,3360100800,658495754280,0,10301489520,4142886076224,2504883673824,2073123040576,1090321599136,2865244202352,6720009856,34189025640,126003780,420012600,442680649264,288120422576,840001232,23520034496,0,1829522683296,119280174944,2520003696,2994604392080,0,0,0,5376161280,0,0,0,0,0,0,0,0,294020580,84005880,0,0,0,40405212120,685441005312,57835735020,53677610280,3970666980,1428099960,0,90720133056,1207081770384,2961004342800,480480704704,1940402845920,1648082417184,0,0,118185645060,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",1011798212040,979577632080,706512717000,7980239400,1134034020,432948988080,0,11175351600,806401182720,20160029568,5040007392,3360004928,181440266112,2520003696,30996929880,168005040,0,262920385616,171360251328,0,0,0,514080753984,32760048048,0,42000061600,0,0,0,630018900,0,0,0,0,0,0,0,0,0,0,0,0,0,252007560,451920662816,0,42001260,0,0,0,30240044352,355320521136,584640857472,72240105952,1028161507968,712321044736,0,0,204269462460,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43dd56
unlink_chunk,920716572600,628031304360,476558577900,4536136080,504015120,246463393680,460039800780,4932279240,591360867328,35280051744,21840032032,15120022176,141120206976,1680002464,1092032760,84002520,588017640,143640210672,123480181104,2520003696,4200006160,0,416640611072,5880008624,0,134400197120,0,0,0,2100063000,0,0,0,0,0,0,0,0,0,42002940,0,0,0,252007560,246960362208,672020160,714021420,42017640,42002940,0,3360004928,47880070224,90720133056,50400073920,873601281280,799681172864,0,0,46970086800,libc-2.29.so,unlink_chunk,malloc.c,0x94987
"std::vector<double, std::allocator<double>>::push_back",891346043940,664751965320,473858529300,4200126000,252007560,198329949720,17262517860,4167649920,624960916608,5040007392,6720009856,8400012320,171360251328,1680002464,168005040,966028980,1806054180,138600203280,148680218064,8400012320,5040007392,0,451920662816,2520003696,0,12600018480,84001260,0,0,2100063000,0,0,0,0,0,0,0,0,0,0,0,0,0,420012600,169680248864,420012600,378011340,0,0,0,6720009856,148680218064,375480550704,68880101024,981121438976,643440943712,0,0,56263273920,driverForGraphClustering,"std::vector<double, std::allocator<double>>::push_back(double const&)",stl_vector.h,0x43e227
operator new,842505164820,783014094000,586360554300,6636199080,966028980,49393481760,55441663200,4898669160,823201207360,27720040656,11760017248,1680002464,178920262416,10920016016,2772083160,504015120,126003780,180600264880,142800209440,5040007392,6720009856,42002940,744241091552,6720009856,0,63000092400,168002520,0,0,2478074340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47040068992,0,0,0,0,0,28560041888,264600388080,453600665280,57120083776,1004641473472,888721303456,0,0,51654491700,libstdc++.so.6.0.26,operator new(unsigned long),[Unknown],0xa5a10
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",785084131260,851055318720,645761623500,8064241920,1008030240,21924657720,1125717770520,2151045120,823201207360,5040007392,0,3360004928,166320243936,13440019712,4788143640,714021420,126003780,172200252560,134400197120,5040007392,0,0,549360805728,10920016016,0,16800024640,252003780,0,0,2058061740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23520034496,0,0,0,0,0,5040007392,274680402864,516600757680,58800086240,1290241892352,601440882112,0,0,20027406420,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43de73
__intel_ssse3_rep_memmove,697962563100,1139960518920,863115535800,10164304920,714021420,213198395760,165946978260,2109032520,1108801626240,267120391776,58800086240,18480027104,466200683760,6720009856,6384191520,966028980,2142064260,117600172480,85680125664,103320151536,6720009856,42002940,680400997920,36960054208,92400135520,600600880880,11676175140,0,0,3864115920,0,0,0,0,0,0,0,0,0,0,0,0,0,28602858060,174720256256,13398401940,13608408240,126052920,0,0,179760263648,388080569184,589680864864,409920601216,613200899360,715681049664,0,0,58653790860,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47bc70
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",430657751700,7759399666680,5716452894300,60313809360,18774563220,123231696840,201732051780,1781334240,8064011827200,7456690936464,2766964058208,2671203917760,7434010903200,0,44941348200,630018900,294008820,80640118272,63840093632,2520003696,3360004928,42002940,584640857472,2520003696,0,7207210570560,0,0,0,1554046620,0,0,0,0,0,0,0,0,0,0,0,0,84005880,1218036540,107520157696,5208156240,4830144900,0,336023520,84005880,47040068992,4914007207200,7484410977120,564480827904,519120761376,341040500192,0,0,30664996740,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43e307
