Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,44898.344541,57.7,11.7,50.4,2.7,5.8,0.0,31190375683200,2201970057120,4752332640,720050400,144010080,1776124320,864060480,0,14.330002,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
sumVertexDegree$omp$parallel_for@83,13943.486104,85.5,0.0,0.0,15.7,76.7,0.0,93122793600,1008030240,17377216320,0,0,10512735840,3936275520,0,1376.467033,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e5bc
__GI___libc_malloc,13832.023358,72.8,32.6,0.4,47.4,1.3,0.0,3134494032000,1335064050720,624043680,48003360,48003360,0,0,0,20.881380,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,3199.052712,0.5,25.4,0.4,0.4,0.2,0.3,3904197122400,2113839413280,0,0,0,0,0,48003360,9.263751,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,3020.280851,0.0,19.7,0.3,1.3,0.9,1.9,4203486100800,1907913235680,144010080,0,0,0,0,0,9.509578,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,2745.579116,4.7,22.3,0.7,1.8,0.7,0.0,2095982877600,2398391949600,144010080,144010080,48003360,0,0,0,10.795302,libc-2.29.so,_int_malloc,malloc.c,0x966c0
plm_init$omp$parallel_for@285,2319.288047,83.1,0.1,0.0,0.3,0.2,57.9,0,20160604800,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x433660
parallelLouvianMethod$omp$parallel_for@237,2262.190357,58.4,6.9,17.3,8.7,39.1,8.3,25680770400,14976449280,0,144010080,0,48003360,48003360,0,283.657143,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x4322a0
max,2065.152987,28.3,8.2,6.3,15.2,26.2,0.0,1710291307200,62209866240,1968137760,336023520,192013440,96006720,48003360,0,14.207865,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
copy_user_enhanced_fast_string,1212.283204,86.0,0.0,0.1,0.4,79.0,0.0,41281238400,23904717120,672047040,0,0,48003360,528036960,0,131.081522,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffff9f03c560
plm_analyzeClusters$omp$parallel_for@64,1169.280158,45.8,10.8,5.0,14.8,35.5,3.4,593057791200,248263447680,336023520,48003360,48003360,48003360,48003360,0,12.720370,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432d54
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1060.550047,10.4,8.3,0.0,0.1,0.0,0.0,948508454400,83666509920,0,0,0,0,0,0,16.089130,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
__GI_,969.653976,0.0,24.9,4.0,2.6,1.3,0.1,1707171213600,139972199040,240016800,240016800,0,0,0,0,9.763631,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
std::_Rb_tree_increment,917.590087,32.1,11.5,10.2,21.9,14.5,0.0,654499634400,0,1392097440,288020160,48003360,0,0,0,11.662072,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
clear_page_erms,815.475830,95.1,0.1,0.0,0.0,0.5,82.8,5280158400,3456103680,0,0,0,0,0,0,10.833333,vmlinux,clear_page_erms,[Unknown],0xffffffff9f03c070
malloc_consolidate,804.113821,4.3,15.4,6.8,3.5,4.5,0.8,834745041600,241639248960,864060480,240016800,0,0,0,0,12.644444,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
func@0xbcd30,572.415133,0.0,27.1,0.6,0.7,0.3,0.0,917307518400,144004320,0,0,0,0,0,0,9.363971,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
parallelLouvianMethod$omp$parallel_for@210,541.924678,92.6,0.2,11.7,8.4,70.1,0.0,12240367200,0,864060480,0,0,432030240,96006720,0,441.423077,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x4325b3
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",431.037224,36.7,10.0,16.2,0.9,32.5,0.0,349690490400,338986169280,336023520,0,0,144010080,96006720,0,15.592179,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43efbb
native_queued_spin_lock_slowpath,382.856554,25.4,17.6,0.2,0.6,2.0,0.0,22320669600,0,0,0,0,0,0,0,39.968085,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff9e6f1320
__handle_mm_fault,363.440462,89.0,14.4,0.1,4.7,2.9,68.4,27600828000,23472704160,0,0,0,0,0,0,57.593750,vmlinux,__handle_mm_fault,[Unknown],0xffffffff9e848830
try_charge,327.340915,97.6,12.1,0.0,0.0,0.7,84.8,7200216000,7056211680,0,0,0,0,0,0,66.727273,vmlinux,try_charge,[Unknown],0xffffffff9e89fb50
tcache_get,317.417135,2.4,13.8,4.5,6.8,1.1,1.0,268808064000,778343349600,0,0,0,0,0,0,12.191617,libc-2.29.so,tcache_get,malloc.c,0x98bd9
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",291.672836,9.4,13.7,0.8,0.9,0.3,0.0,402492074400,0,0,0,0,0,0,0,10.100906,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43ec6e
mem_cgroup_try_charge,277.865838,97.8,3.3,0.0,0.2,0.0,97.7,15120453600,7920237600,0,0,0,0,0,0,10.000000,vmlinux,mem_cgroup_try_charge,[Unknown],0xffffffff9e8a1f70
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",260.750913,0.0,21.6,0.0,1.1,0.4,0.2,25920777600,905499164160,0,0,0,0,0,0,7.932314,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43ecee
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",247.950676,18.2,19.3,1.0,11.5,17.6,0.0,91922757600,23616708480,336023520,96006720,0,0,0,0,8.841121,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41f9b0
get_mem_cgroup_from_mm,247.519207,98.0,88.7,0.0,3.5,2.7,4.6,3360100800,1440043200,0,0,0,0,0,0,78.000000,vmlinux,get_mem_cgroup_from_mm,[Unknown],0xffffffff9e89b5c0
__intel_ssse3_rep_memmove,243.779812,12.3,10.6,6.5,2.8,5.6,4.9,214806444000,178565356800,48003360,0,0,0,0,0,11.314070,driverForGraphClustering,__intel_ssse3_rep_memmove,[Unknown],0x47c830
