Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,57920.567179,66.3,12.2,13.8,3.6,47.1,0.0,39.0,30463953891200,2396391889600,61924334400,15041052800,1440100800,14080985600,15041052800,0,15.518373,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
max,8968.249164,78.1,3.2,3.3,4.8,75.9,0.0,58.6,1757812732800,85122553600,28962027200,6240436800,800056000,7520526400,2240156800,0,35.205679,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f700
sumVertexDegree$omp$parallel_for@74,5455.106735,89.5,0.0,0.0,14.2,83.0,0.0,83.0,74882246400,960028800,5920414400,0,0,8160571200,960067200,0,976.588235,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43e63c
_int_free,3925.591940,15.8,24.8,2.2,1.4,12.5,1.6,11.1,4349890492800,1967899035200,960067200,320022400,0,800056000,160011200,0,12.058098,libc-2.29.so,_int_free,malloc.c,0x950c0
parallelLouvianMethod$omp$parallel_for@237,3622.791940,56.5,4.5,8.0,7.0,51.1,5.0,0.0,32320969600,15680470400,0,0,0,0,0,0,566.263158,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x432320
std::_Rb_tree_insert_and_rebalance,3459.276453,3.4,18.0,3.5,0.4,9.0,0.0,6.0,3811314336000,1937818132800,1120078400,640044800,0,320022400,160011200,0,7.935231,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,3409.245596,12.1,35.3,0.1,3.5,1.3,0.0,0.0,3173535203200,1095872875200,160011200,0,0,0,0,0,9.769102,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
native_queued_spin_lock_slowpath,2777.497064,22.9,14.2,0.0,0.5,0.5,0.0,0.0,161924857600,160004800,0,0,0,0,0,0,12.117647,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff9c4f1320
std::_Rb_tree_increment,2639.258491,80.4,4.3,0.0,8.1,69.6,0.0,45.2,696660899200,0,12480873600,5440380800,0,3200224000,640044800,0,17.850077,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
_int_malloc,2534.315716,8.0,23.1,1.5,0.7,1.0,0.0,0.0,1799093971200,2016220484800,320022400,160011200,0,0,0,0,13.750136,libc-2.29.so,_int_malloc,malloc.c,0x966c0
malloc_consolidate,2423.445941,73.2,7.5,8.0,3.1,57.5,2.5,38.3,608338249600,260007800000,13600952000,6720470400,0,3680257600,1280089600,0,60.301762,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
