Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,66667899991200,185044940972000,132906789686400,1438923166400,280488414400,30463953891200,2396391889600,379361774400,28480854400,14560436800,186579483600384,119331381383424,93696142417920,87072132349440,141965015786496,1558402368768,20234047003200,30560916800,15840475200,17910427223808,9513614460672,16000024320,153600233472,245457180800,34438452346368,1315201999104,6400009728,128160194803200,8640129600,0,0,72962188800,0,0,0,89762692800,0,64035200,0,0,15041052800,1440100800,0,0,15041052800,801144033600,28348843090176,569937097600,476814304000,22089273600,61924334400,14080985600,0,0,0,0,160004800,0,1260801916416,38118457939968,147715424527104,3344005082880,69603305796864,56124885309696,5887077593600,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
_int_free,18489743743200,12713305112000,9007816182400,102403072000,20800624000,4349890492800,1967899035200,62258672000,5120153600,0,13276820180736,2041603103232,1766402684928,1587202412544,5193607894272,6400009728,101763052800,480014400,2240067200,2313603516672,2227203385344,201600306432,22400034048,31202184000,6073609231872,32000048640,0,3091204698624,1280019200,0,10400312000,41441243200,141929934400,0,0,320009600,160004800,0,0,0,320022400,0,0,0,160011200,20640619200,4403206692864,22400672000,16640499200,1040436800,960067200,800056000,0,0,0,0,0,0,12800019456,540800822016,3024004596480,3088004693760,16361624869632,16880025657600,750721148800,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13330219917600,10668756044000,7822987747200,74882246400,10880326400,3173535203200,1095872875200,38123433600,1440043200,480014400,10556816046336,524800797696,502400763648,128000194560,4291206522624,51200077824,159044771200,5440163200,15200456000,1721602616832,1686402563328,3200004864,48000072960,39202744000,5398408205568,176000267520,6400009728,764801162496,9280139200,0,160004800,58721761600,132169251200,0,0,0,0,0,0,0,0,0,0,0,0,1440043200,3126404752128,3680110400,5440163200,240100800,160011200,0,0,0,0,0,0,0,19200029184,969601473792,4524806877696,2032003088640,13587220652544,12361618789632,372431696000,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12684904430400,10821259704000,7937790502400,87202616000,15520465600,3811314336000,1937818132800,38795635200,960028800,0,10934416620288,1385602106112,976001483520,937601425152,3334405068288,16000024320,292808784000,12800384000,32960988800,2272003453440,1705602592512,0,67200102144,81605712000,8668813176576,659201001984,3200004864,2003203044864,320004800,0,0,22720681600,0,0,0,1280038400,0,0,0,0,640044800,0,0,0,160011200,16160484800,3776005739520,36481094400,26400792000,1760739200,1120078400,320022400,0,0,0,0,0,0,6400009728,1126401712128,4985607578112,435200661504,12508819013376,11276817140736,307852328000,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,10510452244800,7932190368000,5815339564800,60641819200,10240307200,1799093971200,2016220484800,29464836800,320009600,160004800,8009612174592,256000389120,137600209152,83200126464,2089603176192,16000024320,16960508800,3040091200,6240187200,1897602884352,1648002504960,3200004864,57600087552,27041892800,3494405311488,102400155648,0,489600744192,1600024000,0,55041651200,22720681600,90886361600,0,0,160004800,160004800,0,0,0,160011200,0,0,0,0,3040091200,1987203020544,32480974400,34401032000,560235200,320022400,0,0,0,0,0,0,0,3200004864,787201196544,3014404581888,147200223744,11056016805120,11059216809984,405145507200,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4669012053600,28893693432000,20578893881600,234087022400,34081022400,1757812732800,85122553600,20854254400,20480614400,3840115200,28940843990016,24278436903168,23280035385600,21904033294080,25190438289408,54400082688,7992879779200,1280038400,2880086400,1644802500096,1075201634304,0,64000097280,14721030400,3257604951552,236800359936,3200004864,46896071281920,0,0,0,33761012800,0,0,0,19200576000,0,224123200,0,0,6240436800,800056000,0,0,2240156800,61121833600,1568002383360,117923537600,66882006400,10884569600,28962027200,7520526400,0,0,0,0,0,0,32000048640,4025606118912,25331238503424,371200564224,6624010068480,4643207057664,734188190400,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f700
func@0xbcd30,3656187746400,3360080640000,2436858483200,27680830400,4480134400,1458283747200,0,9618884800,640019200,0,3334405068288,361600549632,364800554496,224000340480,1097601668352,9600014592,134084022400,3360100800,320009600,640000972800,496000753920,0,51200077824,94086585600,2537603857152,409600622592,0,531200807424,640009600,0,0,5760172800,0,0,0,0,0,0,0,0,0,0,0,0,0,3040091200,1644802500096,7840235200,7520225600,480201600,320022400,0,0,0,0,0,0,0,0,265600403712,1427202169344,96000145920,3100804713216,3260804956416,73173945600,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,3198376759200,4198100752000,2973671366400,34401032000,7680230400,1690290707200,166885006400,18341500800,800024000,0,4243206449664,1235201877504,1094401663488,924801405696,2070403147008,19200029184,110883326400,320009600,1440043200,796801211136,688001045760,0,25600038912,74885241600,3171204820224,67200102144,3200004864,1568002383360,960014400,0,1120033600,10080302400,0,0,0,480014400,0,0,0,0,1920134400,0,0,0,480033600,2720081600,1616002456320,29280878400,19360580800,960403200,4640324800,1440100800,0,0,0,0,0,0,16000024320,345600525312,1616002456320,217600330752,4809607310592,3174404825088,162640777600,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2631363151200,4286602876000,3099274380800,29440883200,6880206400,968989068800,89282678400,11795537600,0,0,3900805929216,3200004864,6400009728,0,380800578816,12800019456,160004800,3200096000,0,556800846336,451200685824,0,678401031168,4000280000,1955202971904,0,0,9600014592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040001580800,0,0,0,0,0,0,0,0,0,0,0,41600063232,105600160512,249600379392,416000632320,3414405189888,3331205063424,83769123200,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
malloc_consolidate,2628063072000,8542205008000,5560933459200,61921857600,32960988800,608338249600,260007800000,7266179200,11360340800,480014400,8188812446976,5859208905984,5177607869952,4908807461376,6496009873920,28800043776,287848635200,7360220800,55201656000,553600841472,364800554496,214400325888,32000048640,33442340800,1824002772480,92800141056,0,13200020064000,640009600,0,0,5120153600,1760123200,0,0,3040091200,0,32017600,0,0,6720470400,0,0,0,1280089600,41441243200,502400763648,56001680000,43521305600,1520638400,13600952000,3680257600,0,0,0,0,0,0,3200004864,2000003040000,6432009776640,1856002821120,3049604635392,2332803545856,438163409600,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
