Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,38089007502120,106192085234760,75532344028020,816504494400,4800144000,17124273712800,1279910396160,212132420640,137044111200,112563376800,105890075305216,75192110281600,70907623997696,61117529638912,81447479456128,262080384384,469310078880,12576377280,768023040,9751694302464,6073928908416,2880004224,72960107008,121640514240,17433625569280,728641068672,960001408,98263824120064,10752161280,0,0,37057111680,48003360,0,0,528015840,0,10873176960,0,0,109927694400,80837658240,2400168000,0,912063840,229302878880,16562904292224,257191715520,19392581760,29052196800,201038071680,0,0,11184335520,0,0,0,0,0,9305293647744,89528771308672,1564802295040,38423096353792,32262767318656,3215615595360,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
_int_free,12282508799100,6456769763220,4613658430860,50977529280,192005760,2955976676640,1297478923200,43006498080,960028800,192005760,6501129534976,67200098560,12480018304,3840005632,1057921551616,12480018304,2448073440,1968059040,0,1702082496384,1496642195072,111360163328,13440019712,20689448160,4251846236032,17280025344,0,328320481536,1728025920,0,96002880,19056571680,89526266400,0,0,0,0,0,0,0,0,0,0,0,48003360,6720201600,3031684446464,15216456480,13728411840,72030240,0,0,0,0,0,0,0,0,0,26880039424,331200485760,274560402688,11129296322944,11729297202944,356650963200,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11422634181480,18430123306770,13188284197020,142900286880,13056391680,4791167730720,444301328640,56479338720,0,0,17940506312704,0,1920002816,0,1614722368256,0,0,96002880,0,2433603569280,2053443011712,0,3194884685824,37538627520,6977290233344,1920002816,0,0,0,0,0,0,0,0,0,0,0,9605280,0,0,0,0,0,0,0,0,4734726944256,0,0,0,0,0,0,0,0,0,0,0,2880004224,1920002816,233280342144,992641455872,15066262097152,14754261639552,383884730880,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,8275280677380,6106903815600,4273272644400,46081382400,192005760,2619582585120,1351912556160,25428426240,1248037440,528015840,6224649129472,118080173184,81600119680,72000105600,1565762296448,25920038016,86882606400,6912207360,4128123840,1410242068352,1139521671296,0,54720080256,38402688000,3723845461632,343680504064,0,305280447744,5856087840,0,0,11856355680,0,0,0,0,0,0,0,0,0,0,0,0,0,816024480,2544963732608,3792113760,3792113760,0,0,0,0,0,0,0,0,0,0,25920038016,2062083024384,60480088704,7386250833152,7299850706432,178090211040,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,7419366127080,5622005572470,4003628060520,42049261440,192005760,1821798652320,584465533440,25183552800,2400072000,816024480,5533448115712,104640153472,71040104192,68160099968,1327681947264,56640083072,86690600640,2688080640,9552286560,1211521776896,1188481743104,0,40320059136,29522066400,3549125205376,84480123904,0,324480475904,10272154080,0,144004320,17904537120,68836818240,0,0,48001440,0,0,0,0,0,0,0,0,0,480014400,1800962641408,3984119520,4416132480,48020160,0,0,0,144004320,0,0,0,0,0,31680046464,1771202597760,701761029248,8184972004608,6876490085504,216026388480,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,6241786108560,5175957989790,3520859853600,40177205280,240007200,1214532434880,1099808993280,18571969920,432012960,336010080,5168647580672,182400267520,47040068992,26880039424,1389122037376,12480018304,9936298080,2112063360,864025920,1264321854336,1109761627648,960001408,54720080256,19009330560,2318403400320,139200204160,960001408,564480827904,1344020160,0,48769463040,6768203040,66628663680,0,0,48001440,0,0,0,0,96006720,0,0,0,0,2832084960,1181761733248,51313539360,49297478880,336141120,96006720,0,0,0,0,0,0,0,0,7680011264,1350721981056,31680046464,6682569801088,6285129218176,265101906720,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3692222766720,17695110811770,12329849603880,139108173120,336010080,1376249286240,38881166400,13972190400,10800324000,33168995040,17556505749504,14547861336832,14345301039744,13826900279424,14621781445248,77760114048,155044651200,1152034560,192005760,1641602407680,759361113728,960001408,43200063360,6720470400,1737602548480,141120206976,0,36426293425152,192002880,0,0,27984839520,0,0,0,2448073440,0,1114212480,0,0,17233206240,58468092480,240016800,0,0,31632948960,1166401710720,127539826080,22080662400,7082973600,78197473440,0,0,672020160,0,0,0,0,0,198720291456,16695384486528,162240237952,4385286431744,3634565330688,490673557920,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
__GI_,2182717105560,2320539448500,1703188953720,17328519840,48001440,1116609497280,155428662720,13439230560,384011520,0,2284803351040,30720045056,8640012672,4800007040,613440899712,7680011264,36337090080,768023040,240007200,549120805376,457920671616,0,23040033792,61204284000,2470083622784,95040139392,0,117120171776,1824027360,0,0,6912207360,0,0,0,0,0,0,0,0,0,0,0,0,0,480014400,1070401569920,15120453600,15312459360,48020160,0,0,0,0,0,0,0,0,0,24000035200,227520333696,73920108416,3272644799872,2132163127168,102842043360,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1858531594500,2052154886040,1581866891280,16512495360,48001440,702885085920,317577527040,8004000480,1008030240,96002880,2125443117312,382080560384,372480546304,348480511104,771841132032,15360022528,9072272160,2976089280,240007200,462720678656,357120523776,63360092928,8640012672,13536947520,1117441638912,27840040832,0,526080771584,192002880,0,0,5280158400,0,0,0,0,0,0,0,0,528036960,48003360,0,0,0,10608318240,614400901120,23904717120,19728591840,48020160,576040320,0,0,48001440,0,0,0,0,960001408,48960071808,693121016576,169920249216,2328003414400,1978562901888,80328091200,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432104
tcache_get,1722089275020,862484661990,635770807920,6576197280,0,288296648640,720405611520,3034510080,336010080,144004320,940801379840,10560015488,13440019712,13440019712,141120206976,6720009856,720021600,528015840,48001440,242880356224,219840322432,0,960001408,5616393120,582720854656,21120030976,0,63360092928,288004320,0,0,3840115200,0,0,0,0,0,0,0,0,0,0,0,0,0,144004320,293760430848,9744292320,9840295200,120050400,0,0,0,0,0,0,0,0,0,8640012672,334080489984,22080032384,1157761698048,1510082214784,22974890400,libc-2.29.so,tcache_get,malloc.c,0x98bd9
