Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,11488.605938,68.0,4.5,7.6,9.5,57.3,0.0,0.0,4480406408160,379499384640,63364435200,26689868160,27265908480,0,0,1632114240,20.167007,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
sumVertexDegree$omp$parallel_for@74,3326.489282,41.3,0.0,0.0,11.5,60.5,0.0,0.0,4320129600,0,0,0,0,0,0,0,667.000000,driverForGraphClustering,sumVertexDegree$omp$parallel_for@74,utilityClusteringFunctions.cpp,0x43d96c
max,1284.508873,66.0,0.5,3.4,2.3,74.2,0.0,0.0,337690130400,3504105120,14881041600,3888272160,8928624960,0,0,144010080,42.216898,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",933.464431,10.0,9.3,0.0,0.0,0.0,0.0,0.0,871370140320,79874396160,0,0,0,0,0,0,6.811580,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,571.398371,0.0,22.9,1.8,1.2,0.8,0.0,0.0,596465893440,305289158400,0,0,0,0,0,0,7.183740,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_free,514.603695,0.0,16.3,0.8,0.4,0.4,0.0,0.0,735046050720,336154084320,48003360,0,0,0,0,0,8.629954,libc-2.29.so,_int_free,malloc.c,0x950c0
_int_malloc,506.602235,2.8,22.4,2.2,0.0,1.4,0.0,0.0,356842704960,319737591840,48003360,0,0,0,0,0,13.971402,libc-2.29.so,_int_malloc,malloc.c,0x966c0
__GI___libc_malloc,407.917563,0.0,16.8,1.1,0.2,1.7,0.0,0.0,500847024960,142132263840,0,0,0,0,0,0,8.351925,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
func@0xbcd30,233.415136,0.0,23.2,1.6,0.3,2.3,0.0,0.0,217590527520,0,0,0,0,0,0,0,7.128280,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,174.580872,0.0,31.9,0.7,0.4,1.1,0.0,0.0,257863735680,29376881280,0,0,0,0,0,0,8.125397,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
