Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,66610923961560,187224811945200,134847142683240,1465867974720,297320919360,30505011122880,2350726519680,370796005440,33505005120,24000720000,186835474024960,122673779921280,93865097668608,86293566563712,144838292429184,1755842575232,22520163584640,39217176480,12240367200,17017944959616,9384973764608,15360022528,125760184448,215007049440,27322600073088,1421762085248,13440019712,133929796430080,14592218880,0,48001440,82178465280,0,0,0,102435072960,96002880,393816480,0,0,18097266720,9312651840,0,0,18481293600,816360490080,29283882949632,570161104320,476174284800,23145717120,68356784640,17761243200,0,288008640,0,0,144004320,0,1707842504832,41660221101568,153861345662976,2653443891712,69508901946240,57093203736576,5931602947200,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
_int_free,18842876732460,11750940518400,8238918972840,88610658240,21840655200,4478534352000,2021820652800,58279878720,5760172800,624018720,11715857183232,1791362627328,1437122107776,1388162035968,4288326289536,48960071808,89282678400,672020160,2208066240,2266563324288,2053443011712,188160275968,11520016896,27265908480,6059528887296,42240061952,960001408,3033604449280,2592038880,0,13776413280,40033200960,145594190880,0,0,192005760,0,0,0,0,624043680,48003360,0,0,48003360,22848685440,4485126578176,19680590400,18336550080,984413280,672047040,192013440,0,0,0,0,0,0,23040033792,533760782848,2767684059264,2384643497472,16937304841344,17685145938176,847833473760,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13481450118180,10767495282000,7749806474700,84482534400,17184515520,3234913044480,1132737981120,37892964480,2544076320,528015840,10763535786496,561600823680,403200591360,181440266112,4239366217728,159360233728,177413322240,6576197280,19584587520,1782722614656,1805762648448,9600014080,61440090112,32498274720,5325127810176,217920319616,10560015488,782401147520,18912283680,0,912027360,51025530720,134937444960,0,0,0,0,0,0,0,0,0,0,0,0,1488044640,3296644835072,5232156960,4608138240,96040320,0,0,0,0,0,0,0,0,55680081664,1104001619200,4533126648576,2620803843840,14376981086208,12595218472960,469547221920,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12824719909980,10781895944400,7798258703400,85250557440,17904537120,3861619845120,1961338838400,36913470720,1968059040,480014400,10583055521792,1281601879680,1108801626240,970561423488,3481925106816,37440054912,331593947520,20448613440,34801044000,2144643145472,1732802541440,12480018304,74880109824,68308781280,7444810919040,642240941952,1920002816,2332803421440,2496037440,0,0,27840835200,0,0,0,1296038880,96002880,0,0,0,528036960,0,0,0,48003360,14352430560,3745925494016,33120993600,28272848160,1848776160,1056073920,432030240,0,0,0,0,0,0,18240026752,1296001900800,5489288050944,387840568832,13717460118912,11256976510208,449160307680,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,10420229308500,7800358800000,5633719139160,55105653120,12672380160,1897976937600,2048893464960,30354703680,336010080,288008640,7637771202048,388800570240,316800464640,210240308352,1998722931456,27840040832,19008570240,4032120960,6336190080,1796162634368,1647362416128,9600014080,70080102784,25153760640,3510725149056,148800218240,1920002816,643200943360,6144092160,0,68210046240,21936658080,93654555360,0,0,48001440,48001440,0,0,0,192013440,0,0,0,0,2784083520,1864322734336,35329059840,35137054080,312131040,288020160,48003360,0,0,0,0,0,0,30720045056,1048321537536,3522245165952,147840216832,10825935878016,10439055310592,437910533760,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4668724751460,31049028189600,22013122557060,239623188480,40465213920,1757140712640,75458263680,20223665280,19248577440,8592257760,31242285821952,26259878514432,25603237551360,24140195405568,26861799397248,96960142208,8942476266240,2448073440,1440043200,1466882151424,912001337600,4800007040,64320094336,25633794240,3568325233536,282240413952,2880004224,52027276306560,0,0,0,30048901440,0,0,0,23472704160,0,883685760,0,0,8544598080,3456241920,0,0,5568389760,57505725120,1591682334464,102675080160,56929707840,10828546080,30914163840,6720470400,0,192005760,0,0,0,0,67200098560,4581126718976,28480361771136,293760430848,6609609694080,4536966654208,635921919360,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
func@0xbcd30,3479350042740,3276150696000,2304796015740,23616708480,4752142560,1463659908480,0,10476742080,576017280,0,3152644623872,334080489984,371520544896,279360409728,1163521706496,18240026752,134980049280,6096182880,864025920,582720854656,454080665984,0,50880074624,84293900160,2652483890304,393600577280,0,518400760320,1056015840,0,0,6384191520,0,0,0,0,0,0,0,0,720050400,0,0,0,96006720,2736082080,1409282066944,9168275040,6816204480,408171360,672047040,144010080,0,0,0,0,0,0,3840005632,347520509696,1704962500608,69120101376,2862724198656,3352324916736,124011592320,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,3052310399820,4109589032400,2879592455160,32064961920,7248217440,1621200634560,159844795200,18063017280,1296038880,192005760,4012805885440,1319041934592,1082881588224,1042561529088,1926722825856,31680046464,116355490560,1056031680,768023040,704641033472,552960811008,2880004224,32640047872,76229335680,2937604308480,60480088704,960001408,1651202421760,1536023040,0,1536046080,10608318240,0,0,0,288008640,0,0,0,0,2160151200,96006720,0,0,336023520,2352070560,1651202421760,26496794880,22224666720,840352800,4512315840,1824127680,0,0,0,0,0,0,13440019712,368640540672,1491842188032,155520228096,4838407096320,2764804055040,272179229280,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,2674443018720,8387785820400,5587307004300,61249837440,32352970560,617490524160,256327689600,6866059200,14112423360,1344040320,8240652086272,6117128971776,5581448186112,5074567442688,6575049643392,19200028160,315273457920,9936298080,59953798560,506880743424,389760571648,142080208384,26880039424,30722150400,1716482517504,114240167552,0,13060819155840,768011520,0,0,6480194400,1920134400,0,0,3120093600,0,0,0,0,8448591360,192013440,0,0,864060480,41569247040,510720749056,57601728000,36769103040,2833189440,13872971040,4896342720,0,0,0,0,0,0,23040033792,1969922889216,6079688916864,1420802083840,3107524557696,2305923382016,302898842400,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2607779952360,4247595380400,2994347733660,33409002240,8592257760,1149442482240,105267157920,13223165760,0,0,4423686488064,8640012672,2880004224,2880004224,420480616704,960001408,0,0,48001440,604800887040,494400725120,0,768001126400,6912483840,1684802471040,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988801450240,48001440,0,0,0,0,0,0,0,0,0,0,28800042240,51840076032,216000316800,816001196800,3461765077248,3363844933632,182858040960,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
