Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,37952518541400,104142754188900,74141344173600,799607987520,5280158400,17293334784480,1263589906560,212756607840,148084442400,139732191840,103578391914752,73280747478272,69855462454528,60243928357632,79724276928768,260160381568,479582387040,12480374400,528015840,9678734195456,5950088726784,2880004224,77760114048,122024541120,16860504728704,723841061632,0,95424139955200,10368155520,0,48001440,36769103040,0,0,0,1344040320,0,10748308320,0,0,107143499520,81653715360,2064144480,0,0,214374431040,16489944185216,262951888320,18336550080,32701728960,198829917120,1008070560,0,11808354240,0,0,0,0,960001408,6980170237568,84402363789952,1318081933184,38571896572032,32235887279232,3263615591040,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43df20
_int_free,12255307648200,6453073586400,4587797629800,51121533600,48001440,2932071959520,1290086701440,42564765600,576017280,96002880,6470409489920,62400091520,9600014080,5760008448,1086721593856,12480018304,2640079200,960028800,0,1848962711808,1590722333056,112320164736,10560015488,23089616160,4290246292352,15360022528,0,328320481536,960014400,0,288008640,19968599040,91830427680,0,0,0,0,0,0,0,0,0,0,0,0,6096182880,2910724269056,15120453600,16080482400,120050400,0,0,0,0,0,0,0,0,0,37440054912,264000387200,261120382976,10971856092032,11561296956544,352915442880,libc-2.29.so,_int_free,malloc.c,0x950c0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",11759932787400,18921357623700,13684730529600,147748432320,13344400320,4940788219200,452653579200,58639986720,0,0,19082907988224,960001408,960001408,0,1660802435840,0,96002880,96002880,48001440,2465283615744,2066883031424,1920002816,3256324775936,35234466240,7241290620544,0,0,3840005632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4950727261056,48001440,0,0,0,0,0,0,0,0,0,0,960001408,0,186240273152,967681419264,15402262589952,15089302130944,398985259680,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,8288708653800,6107403216600,4331289934800,46561396800,144004320,2582717479200,1369577086080,25255574400,1296038880,1536046080,6199689092864,99840146432,67200098560,63360092928,1547522269696,24960036608,93650809440,7104213120,3504105120,1385282031744,1182721734656,0,45120066176,38450691360,3671045384192,332160487168,0,264960388608,6240093600,0,0,13296398880,0,0,0,0,0,0,0,0,0,0,0,0,0,912027360,2639043870592,3648109440,4320129600,24010080,0,0,0,0,0,0,0,0,0,20160029568,1422722086656,57600084480,7394890845824,7435210904960,178527142080,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,7475084245800,5636779098300,4045261354200,44065321920,144004320,1834759041120,589553686080,25970988960,3072092160,1632048960,5573768174848,69120101376,72000105600,70080102784,1377602020480,48960071808,84962548800,1296038880,9696290880,1305601914880,1176961726208,960001408,51840076032,28946026080,3501125134976,67200098560,0,349440512512,10176152640,0,0,18096542880,67348714080,0,0,48001440,0,0,0,0,0,0,48003360,0,0,576017280,1818242666752,3552106560,3552106560,0,0,0,0,48001440,0,0,0,0,0,29760043648,1306561916288,696001020800,8256012108800,7086730393856,227890746720,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
_int_malloc,6190925722200,5127303814500,3606048178200,40225206720,384011520,1210788322560,1116993508800,18067818720,624018720,1680050400,5107207490560,180480264704,48000070400,40320059136,1317121931776,8640012672,10368311040,1200036000,1632048960,1287361888128,1149121685376,0,46080067584,21841528800,2375043483392,127680187264,0,458880673024,1920028800,0,50065501920,6576197280,64180492320,0,0,48001440,0,0,0,0,0,0,0,0,0,2016060480,1180801731840,50977529280,52369571040,408171360,48003360,0,0,0,0,0,0,0,0,9600014080,778561141888,30720045056,6562569625088,6330249284352,256430506080,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,3669050068200,17428212830700,12154864635000,133155994560,624018720,1402746081120,37729131840,13564068000,10032300960,33457003680,17512345684736,14264660921472,14343381036928,13674260055552,14408661132672,81600119680,179861395680,576017280,240007200,1637762402048,803521178496,960001408,28800042240,7008490560,1778882609024,144960212608,0,36414773408256,0,0,0,28848865440,0,0,0,2880086400,0,1152633600,0,0,17233206240,58516095840,240016800,0,0,34369031040,1152001689600,122307669120,19248577440,7491144960,78485493600,0,0,432012960,0,0,0,0,0,137280201344,16641624407680,109440160512,4526406638720,3570245236352,463809501120,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43ea30
__GI_,2231346938400,2313219394500,1669010068800,17760532800,48001440,1126401791040,154660639680,13573670880,384011520,144004320,2323203407360,37440054912,13440019712,4800007040,718081053184,13440019712,35329059840,576017280,240007200,531840780032,449280658944,0,29760043648,61204284000,2517123691776,98880145024,0,101760149248,2112031680,0,0,6192185760,0,0,0,0,0,0,0,0,0,0,0,0,0,528015840,1063681560064,16224486720,16272488160,72030240,0,0,0,0,0,0,0,0,0,22080032384,207360304128,82560121088,3276484805504,2167683179264,104455327200,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
plm_analyzeClusters$omp$parallel_for@64,1909497283200,2135134052100,1551286537200,17472524160,96002880,698708960640,330345910080,7970390400,816024480,96002880,2125443117312,410880602624,369600542080,345600506880,723841061632,11520016896,8784263520,2160064800,288008640,432000633600,432000633600,66240097152,14400021120,14737031520,1083841589632,29760043648,0,639360937728,480007200,0,0,3984119520,0,0,0,0,0,0,0,0,672047040,0,0,0,0,13584407520,648000950400,22224666720,21504645120,48020160,672047040,48003360,0,0,0,0,0,0,0,52800077440,731521072896,173760254848,2309763387648,2006402942720,88284077280,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432104
tcache_get,1713291397200,865435962300,623718711000,7872236160,0,289592687520,723573706560,3077723040,528015840,336010080,908161331968,11520016896,13440019712,8640012672,141120206976,10560015488,1152034560,96002880,0,251520368896,207360304128,0,0,6096426720,633600929280,16320023936,0,90240132352,288004320,0,0,2832084960,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,287040420992,11520345600,9168275040,48020160,0,0,0,0,0,0,0,0,0,11520016896,288000422400,20160029568,1135681665664,1511042216192,23286984000,libc-2.29.so,tcache_get,malloc.c,0x98bd9
