Function,CPU Time,Memory Bound(%),Memory Bound:L1 Bound(%),Memory Bound:L2 Bound(%),Memory Bound:L3 Bound(%),Memory Bound:DRAM Bound(%),Memory Bound:Store Bound(%),Memory Bound:Persistent Memory Bound(%),Loads,Stores,LLC Miss Count,LLC Miss Count:Local DRAM Access Count,LLC Miss Count:Remote DRAM Access Count,LLC Miss Count:Local Persistent Memory Access Count,LLC Miss Count:Remote Persistent Memory Access Count,LLC Miss Count:Remote Cache Access Count,Average Latency (cycles),Module,Function (Full),Source File,Start Address
buildLocalMapCounter,56637.303887,68.0,11.9,15.1,3.8,45.9,0.0,38.8,30055621641600,2348710459200,63844468800,14721030400,1120078400,15361075200,16161131200,0,17.133522,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
max,8864.799526,78.2,2.3,1.7,5.6,76.1,0.0,54.4,1815414460800,80642419200,30242116800,7200504000,320022400,5280369600,1920134400,0,35.840293,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f330
sumVertexDegree$omp$parallel_for@83,6301.517605,88.9,0.0,0.0,16.0,76.6,0.0,76.6,82242467200,480014400,9280649600,0,0,8160571200,1440100800,0,1278.869565,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e63c
_int_free,3871.769006,14.8,24.4,1.6,1.7,11.3,1.1,5.2,4573257193600,2055581665600,1760123200,480033600,0,160011200,0,0,11.252626,libc-2.29.so,_int_free,malloc.c,0x950c0
std::_Rb_tree_insert_and_rebalance,3475.004203,2.7,20.4,0.7,1.2,8.0,0.1,3.6,3860275804800,2016540494400,1280089600,640044800,0,0,160011200,0,7.265930,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
__GI___libc_malloc,3342.865486,9.5,32.1,0.0,2.4,1.4,0.2,0.0,3252257564800,1159074771200,0,0,0,0,0,0,9.392263,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
parallelLouvianMethod$omp$parallel_for@237,3008.857859,56.1,4.8,0.0,8.2,59.6,4.8,0.0,27200816000,15520465600,160011200,0,0,0,0,0,209.720000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@237,parallelLouvainMethod-nrt.cpp,0x432320
_int_malloc,2539.922306,7.7,23.7,2.1,0.0,3.0,0.0,3.0,1912377369600,2027100811200,160011200,0,0,160011200,0,0,12.965732,libc-2.29.so,_int_malloc,malloc.c,0x966c0
std::_Rb_tree_increment,2500.524746,80.2,6.3,2.3,3.8,84.2,0.0,54.5,683860515200,0,12480873600,6400448000,0,3840268800,640044800,0,27.411229,libstdc++.so.6.0.26,std::_Rb_tree_increment(std::_Rb_tree_node_base*),[Unknown],0xbcd90
malloc_consolidate,2344.852089,73.0,7.2,6.4,5.7,60.7,2.6,39.3,595857875200,266728001600,12800896000,8000560000,0,4000280000,1440100800,0,33.150655,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
native_queued_spin_lock_slowpath,2172.269859,22.4,13.8,0.0,0.6,0.4,0.0,0.0,115523465600,160004800,320022400,0,0,0,0,0,7.000000,vmlinux,native_queued_spin_lock_slowpath,[Unknown],0xffffffff8b0f1320
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1332.718327,10.5,9.2,0.0,0.0,0.1,0.0,0.0,1145954377600,104323129600,0,0,0,0,0,0,6.805721,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
plm_init$omp$parallel_for@285,1285.999097,94.7,0.0,0.0,1.1,0.0,87.1,0.0,0,21440643200,0,0,0,0,0,0,0.0,driverForGraphClustering,plm_init$omp$parallel_for@285,parallelLouvainMethod-nrt.cpp,0x4336e0
__GI_,1214.176998,7.6,16.1,4.9,0.0,19.7,0.2,13.6,1749492483200,173445203200,3360235200,1120078400,0,800056000,160011200,0,7.966608,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
parallelLouvianMethod$omp$parallel_for@210,1143.749502,73.8,0.0,37.8,10.5,37.5,0.0,37.5,13120393600,0,480033600,0,0,160011200,0,0,341.250000,driverForGraphClustering,parallelLouvianMethod$omp$parallel_for@210,parallelLouvainMethod-nrt.cpp,0x432633
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase",1143.052200,81.8,1.7,0.0,5.9,73.6,0.0,53.5,108483254400,22240667200,2240156800,800056000,0,640044800,160011200,0,44.116071,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_erase(std::_Rb_tree_node<std::pair<long const, long>>*)",stl_tree.h,0x41fa60
plm_analyzeClusters$omp$parallel_for@64,1071.578752,33.0,10.4,2.5,2.7,40.0,5.2,40.0,744662339200,297448923200,1120078400,0,0,320022400,0,0,12.569728,driverForGraphClustering,plm_analyzeClusters$omp$parallel_for@64,parallelLouvainMethod-nrt.cpp,0x432dd4
func@0xbcd30,1046.650208,4.1,26.3,1.7,1.9,9.4,0.0,6.7,1437483123200,0,480033600,160011200,0,160011200,0,0,8.278443,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
"__gnu_cxx::new_allocator<double>::construct<double, double const&>",950.248215,68.2,6.4,11.1,2.0,58.4,0.0,58.4,353930617600,311209336000,2560179200,0,0,640044800,320022400,0,21.182609,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&&&)",new_allocator.h,0x43f03b
copy_user_enhanced_fast_string,909.630377,70.0,4.8,0.0,5.2,56.6,0.0,35.9,44801344000,24000720000,800056000,0,160011200,0,160011200,0,112.778761,vmlinux,copy_user_enhanced_fast_string,[Unknown],0xffffffff8ba3c560
