Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,9329014562400,38775681820170,28193208428880,305385161280,20688620640,4310193301920,380699420640,52230064320,33793013760,76418292480,38331896220032,29527723307264,27026919639424,23167713979264,31541806261248,94080137984,721557646080,1488044640,624018720,2894404245120,1659842434432,0,50880074624,43011010560,5860808595840,309120453376,0,40215418982528,1920028800,0,0,6480194400,0,0,0,8880266400,0,5158035360,0,0,25489784160,33218325120,1104077280,0,144010080,131235936960,4060805955840,115827474720,28032840960,16855076160,66532656960,0,0,5328159840,0,0,0,0,0,3402244989952,33682609401088,177600260480,10753935772416,8143691944064,1137125035200,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
_int_free,3084970952700,1644157814760,1198707569640,13584407520,192005760,724101722400,333081992160,10116634080,288008640,0,1597442342912,30720045056,8640012672,3840005632,301440442112,2880004224,2928087840,96002880,0,472320692736,392640575872,0,3840005632,6912483840,1085761592448,3840005632,0,164160240768,576008640,0,288008640,4848145440,24337703520,0,0,0,0,0,0,0,48003360,0,0,0,0,2736082080,702721030656,5472164160,4944148320,144060480,0,0,0,0,0,0,0,0,0,1920002816,56640083072,22080032384,2873284214144,2884804231040,86161840800,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,1918844132400,1336350735360,970162313220,10416312480,432012960,508719261120,146116383360,6016204320,144004320,1008030240,1373762014848,19200028160,16320023936,22080032384,278400408320,3840005632,33649009440,192005760,2496074880,264960388608,264960388608,0,2880004224,7872551040,937921375616,24000035200,0,99840146432,1248018720,0,0,4944148320,17185202880,0,0,0,0,0,0,0,0,0,0,0,0,192005760,518400760320,1920057600,1344040320,0,0,0,0,48001440,0,0,0,0,0,3840005632,427200626560,15360022528,2040002992000,1747202562560,52052411040,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1895683599720,3041979963930,2170909929780,24048721440,2736082080,805080151680,72434172960,10361507520,0,0,3344644905472,960001408,960001408,0,259200380160,3840005632,48001440,2784083520,0,410880602624,326400478720,0,505920742016,4752332640,1162561705088,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694081017984,0,0,0,0,0,0,0,0,0,0,0,1920002816,0,56640083072,87360128128,2630403857920,2576643779072,71987989920,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
std::_Rb_tree_insert_and_rebalance,1837542262500,1764940592700,1309710122640,15072452160,768023040,581105432640,302361070560,5795338080,240007200,912027360,1775042603392,55680081664,43200063360,21120030976,494400725120,960001408,42001260000,768023040,1488044640,397440582912,283200415360,0,9600014080,15937115520,1386242033152,109440160512,0,144960212608,1632024480,0,0,2976089280,0,0,0,48001440,0,0,0,0,0,0,0,0,0,1584047520,576960846208,3744112320,3408102240,216090720,48003360,0,0,0,0,0,0,0,0,5760008448,453120664576,9600014080,2074563042688,1520642230272,40879460160,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,1796021307540,1612837094400,1160546691960,12000360000,384011520,349498484640,317865535680,5161548000,432012960,432012960,1556162282368,53760078848,33600049280,17280025344,417600612480,960001408,3456103680,432012960,144004320,382080560384,336000492800,0,5760008448,7680537600,733441075712,45120066176,0,177600260480,1056015840,0,12144364320,1584047520,19489364160,0,0,0,0,0,0,0,48003360,0,0,0,0,576017280,329280482944,14976449280,14928447840,120050400,0,0,0,0,0,0,0,0,0,3840005632,384960564608,11520016896,1939202844160,1893122776576,79521449280,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,878720210100,3987901719630,2929147368840,31344940320,1440043200,337930137600,3504105120,3418625280,2064061920,5904177120,4142406075520,3152644623872,3013444419712,2897284249344,3202564697088,12480018304,61777853280,48001440,144004320,413760606848,210240308352,0,10560015488,2976208320,514560754688,71040104192,0,7788491423104,96001440,0,0,2928087840,0,0,0,336010080,0,912501600,0,0,4032282240,7488524160,48003360,0,0,9888296640,274560402688,37201116000,7248217440,5066126880,16321142400,0,0,192005760,0,0,0,0,0,118080173184,3736325479936,18240026752,1245121826176,883201295360,121317984480,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f330
func@0xbcd30,630374498280,712726392330,528612157800,5952178560,96002880,212022360480,0,1526857920,144004320,432012960,709441040512,19200028160,17280025344,11520016896,214080313984,0,38305149120,240007200,0,143040209792,91200133760,0,5760008448,20785454880,658560965888,114240167552,0,63360092928,96001440,0,0,864025920,0,0,0,0,0,0,0,0,0,0,0,0,0,480014400,209280306944,1056031680,1056031680,48020160,0,0,0,0,0,0,0,0,0,6720009856,243840357632,4800007040,629760923648,624960916608,10884864480,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
__GI_,449650341720,544062513150,389588960340,4080122400,48001440,258871765920,29616888480,3068120160,0,48001440,563520826496,14400021120,8640012672,3840005632,173760254848,0,21504645120,0,384011520,116160170368,91200133760,0,6720009856,13776964320,615360902528,17280025344,0,40320059136,768011520,0,48001440,912027360,0,0,0,48001440,0,0,0,0,0,0,0,0,0,144004320,252480370304,6528195840,6000180000,240100800,0,0,0,0,0,0,0,0,0,0,35520052096,5760008448,722881060224,408000598400,24237669120,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
malloc_consolidate,382508797500,385298861670,278766411480,2880086400,432012960,83330499840,45889376640,912273600,48001440,0,374400549120,65280095744,48000070400,18240026752,130560191488,960001408,9600288000,864025920,2064061920,77760114048,74880109824,0,0,5280369600,249600366080,24960036608,0,157440230912,0,0,0,576017280,912063840,0,0,144004320,0,0,0,0,0,0,0,0,0,3648109440,63360092928,7872236160,6528195840,864362880,48003360,0,0,0,0,0,0,0,0,11520016896,54720080256,3840005632,479040702592,367680539264,11096127840,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
