Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,68590796351220,127119780368100,94082825011500,1027230816000,39793193760,31847515396800,2233651007520,393468405120,4320129600,2832084960,127434426903552,70318183133184,13526419838720,9705614234880,86457726804480,543360796928,2266723999680,27888836640,1632048960,16403544058496,9944654585472,10560015488,86400126720,141945935520,24272675599872,734401077120,8640012672,75471470691328,13248198720,0,48001440,65569967040,0,0,0,96002880,0,28815840,0,0,144010080,0,0,0,2208154560,663139893600,30495404726528,364042920960,358042740960,2977249920,4416309120,960067200,0,0,0,0,0,0,21768991927808,72049065671808,103996952528640,8183052001792,66295777233664,58072405172736,5287979518080,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43ebf0
_int_free,17597588682960,9890805836340,7214674147200,81506445120,4560136800,4198205942400,1953130592160,58174247040,1104033120,384011520,9835214424960,377280553344,280320411136,172800253440,2511363683328,14400021120,3936118080,816024480,48001440,2365443469312,2112003097600,147840216832,19200028160,38930724960,6436809440640,11520016896,960001408,698881025024,1824027360,0,5232156960,31920957600,143530046400,0,0,0,0,0,0,0,48003360,0,0,0,0,8832264960,4045445933312,12624378720,11280338400,120050400,96006720,48003360,0,0,0,0,0,0,160320235136,711361043328,1676162458368,1267201858560,15628822922240,16815384662528,582049762560,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13641728365980,47948451971940,35441996744700,385739571840,17952538560,3176975306400,1355368659840,38238668160,432012960,2544076320,48386950967424,23690914746624,23656354695936,552960811008,40812539858304,110400161920,69410082240,4512135360,13728411840,2228163267968,2083203055360,7680011264,39360057728,51651615360,5443207983360,71040104192,8640012672,24276515605504,18240273600,0,240007200,40705221120,163403437440,0,0,0,0,96052800,0,0,0,96006720,0,0,0,9312279360,3187204674560,13632408960,4992149760,7010943360,432030240,0,0,0,0,0,0,0,389760571648,4703046897792,30700845027840,3325444877312,13514899821824,13219219388160,678333038880,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,13099187750220,9753610623120,7345179106200,80546416320,4272128160,3960598814400,2129823892800,40687402560,48001440,192005760,9794894365824,144000211200,72960107008,40320059136,2738884017024,16320023936,66529995840,10272308160,5376161280,2376963486208,1800962641408,23040033792,90240132352,73589150880,6160329035136,487680715264,0,268800394240,2016030240,0,0,23568707040,0,0,0,0,0,0,0,0,0,0,0,0,0,2496074880,3960965809408,7728231840,8160244800,24010080,48003360,0,0,0,0,0,0,0,132480194304,1607042356992,4394886445824,637440934912,12384018163200,11544976932608,375126904320,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,12647730595500,8645848529760,6522547847400,72098162880,3648109440,2116383489600,2451097530720,36894264960,240007200,336010080,8625612650880,325440477312,209280306944,65280095744,2263683320064,27840040832,9792293760,4560136800,1680050400,2013122952576,1854722720256,1920002816,88320129536,29570069760,3836165626368,139200204160,0,506880743424,3168047520,0,52993589760,20448613440,73637154240,0,0,0,0,9605280,0,0,0,0,48003360,0,0,5232156960,2140803139840,30048901440,31200936000,120050400,240016800,0,0,48001440,0,0,0,0,110400161920,1272961867008,3813125592576,618240906752,12065297695744,12662418571520,446457096960,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4461439528260,7266246106860,5515409577600,61633848960,2736082080,1703091091200,59473784160,21270379200,2064061920,1152034560,7338250762752,3827525613696,3402244989952,2555523748096,4691526880896,33600049280,1098752961600,720021600,720021600,1047361536128,789121157376,2880004224,34560050688,19297350720,2200323227136,76800112640,2880004224,6593289670144,0,0,0,20160604800,0,0,0,96002880,0,9605280,0,0,48003360,0,0,0,288020160,44737342080,1501442202112,71090132640,65665969920,1776745920,2304161280,192013440,0,0,0,0,0,0,350400513920,1615682369664,5057287417344,468480687104,5289607758080,4147206082560,279400595040,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f330
malloc_consolidate,3445000905060,3006564245100,2318488099200,25344760320,2208066240,841465243200,249703490880,10054215360,1776053280,96002880,2989444384512,849601246080,516480757504,328320481536,1330561951488,960001408,10944328320,768023040,672020160,527040772992,471360691328,82560121088,18240026752,29330052960,1321921938816,60480088704,0,1251841836032,288004320,0,0,8160244800,2160151200,0,0,0,0,0,0,0,0,0,0,0,96006720,18048541440,787201154560,18576557280,19440583200,120050400,768053760,384026880,0,0,0,0,0,0,67200098560,624960916608,947521389696,330240484352,3239044750592,3204484699904,113434020000,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI_,3169770446700,3143759458320,2329288509600,26208786240,1008030240,1703091091200,146596397760,17918974080,288008640,48001440,3072964507008,394560578688,259200380160,132480194304,1010881482624,5760008448,55393661760,624018720,432012960,750721101056,529920777216,1920002816,19200028160,75893312160,2813764126848,46080067584,0,514560754688,2112031680,0,1152034560,7104213120,0,0,0,0,0,0,0,0,0,0,0,0,0,816024480,1668482447104,13776413280,15072452160,168070560,288020160,48003360,0,0,0,0,0,0,116160170368,452160663168,924481355904,218880321024,4398726451456,3022084432384,160555352160,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2556607147380,4211230020660,3084417203400,32448973440,7584227520,1036351089600,97490924640,13223165760,0,0,4305606314880,11520016896,3840005632,0,362880532224,19200028160,96002880,2640079200,144004320,517440758912,410880602624,0,680640998272,4464312480,1880642758272,2880004224,0,11520016896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080961585408,0,48001440,0,0,0,0,0,0,0,0,0,43200063360,48960071808,190080278784,802561177088,3133444595712,3095044539392,184437714720,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
func@0xbcd30,2159602061760,1701424651680,1290649042800,15072452160,672020160,917307518400,0,8248873920,0,144004320,1785602618880,17280025344,24960036608,13440019712,495360726528,3840005632,49345480320,2640079200,96002880,344640505472,279360409728,0,15360022528,55155860640,1457282137344,154560226688,0,57600084480,480007200,0,0,2784083520,0,0,0,0,0,0,0,0,0,0,0,0,0,384011520,808321185536,1392041760,1584047520,24010080,48003360,0,0,0,0,0,0,0,17280025344,201600295680,668160979968,113280166144,1674242455552,1998722931456,69183948960,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
tcache_get,1603530931860,978727190220,771329309400,8544256320,288008640,282968488800,762358870080,3005701440,0,0,990721453056,86400126720,67200098560,15360022528,187200274560,9600014080,6816204480,144004320,336010080,240960353408,192000281600,2880004224,960001408,7872551040,601920882816,19200028160,0,145920214016,288004320,0,0,4176125280,0,0,0,0,0,0,0,0,0,0,0,0,0,192005760,282240413952,5952178560,6384191520,72030240,0,0,0,0,0,0,0,0,96000140800,339840498432,527040772992,61440090112,1280641878272,1317121931776,24242470560,libc-2.29.so,tcache_get,malloc.c,0x98bd9
