Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,68509437275520,138825940444620,103023066787080,1114881445440,45985379520,31190375683200,2201970057120,393497213760,19056571680,8736262080,137825482143744,81832440020736,11418256746752,7630091190784,98108303891968,590400865920,1752052560000,30720921600,1824054720,16256663843072,9775694337664,15360022528,72000105600,152890701600,23886755033856,698881025024,5760008448,88603329951360,16320244800,0,48001440,69602088000,0,0,0,96002880,0,9605280,0,0,720050400,144010080,0,0,864060480,673940217600,30839085230592,367067011680,357178715040,3241360800,4752332640,1776124320,0,0,0,0,0,0,23352994251008,84080763318272,114729768270080,12011537616896,64636894800640,57269843995648,5638815937440,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43eb70
_int_free,17707883699880,9282389844000,6930291060000,77474324160,3984119520,4203486100800,1907913235680,57146738880,1776053280,432012960,9264973588608,232320340736,203520298496,85440125312,2062083024384,16320023936,2592077760,1008030240,144004320,2376963486208,2155203160960,179520263296,17280025344,39458761920,6733449875712,14400021120,0,593280870144,2688040320,0,4656139680,34369031040,143146019520,0,0,0,0,0,0,0,0,0,0,0,0,8976269280,4169286114944,12576377280,13248397440,48020160,144010080,0,0,0,0,0,0,0,115200168960,766081123584,1530242244352,1016641491072,15594262871552,16650264420352,543441383520,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13778678680200,42343688360220,31738752971640,345274357920,18144544320,3134494032000,1335064050720,37441629120,2160064800,1536046080,42621182510976,20780190477568,20588190195968,506880743424,34604210752768,172800253440,66914007360,5952178560,13728411840,2242563289088,2180163197568,7680011264,30720045056,45891212160,5101447482112,99840146432,1920002816,21700831827840,19488292320,0,336010080,43393301760,165851608800,0,0,0,0,28815840,0,0,48003360,48003360,0,0,0,9552286560,3101764549248,15744472320,5232156960,8451548160,624043680,0,0,0,0,0,0,0,232320340736,4997767330048,28089641198080,2504643673472,13898900385024,12981139038976,781832879520,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12985385363280,9672796240380,7340498287980,78146344320,3456103680,3904197122400,2113839413280,41724513600,432012960,240007200,9411853804032,101760149248,63360092928,20160029568,2563203759360,26880039424,69794093760,9312279360,6288188640,2443203583360,1707842504832,24960036608,88320129536,74117187840,5907848664832,484800711040,960001408,184320270336,1536023040,0,0,22560676800,0,0,0,0,0,0,0,0,0,0,48003360,0,0,2352070560,4006085875584,8400252000,7632228960,120050400,0,0,0,0,0,0,0,0,61440090112,1251841836032,4404486459904,588480863104,12105617754880,11397136715776,386525522880,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,12616819884180,8368971482040,6299964587400,63553906560,3744112320,2095982877600,2398391949600,37201557120,432012960,288008640,8320332203136,268800394240,213120312576,62400091520,2135043131392,29760043648,9408282240,6096182880,1632048960,2065923030016,1843202703360,960001408,85440125312,26401848000,3421445018112,128640188672,0,512640751872,3072046080,0,54001620000,22656679680,70708949280,0,0,0,0,9605280,0,0,144010080,48003360,0,0,0,5232156960,2142723142656,30432912960,32304969120,240100800,144010080,0,0,0,0,0,0,0,64320094336,1100161613568,3905285727744,575040843392,11631377059328,12362898132224,401602044480,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4455997144020,6196580245440,4738669015740,51505545120,2304069120,1710291307200,62209866240,20511751680,3888116640,1968059040,6301449242112,2954884333824,2561283756544,1617602372480,3461765077248,29760043648,877274317440,768023040,528015840,1076161578368,847681243264,2880004224,30720045056,18481293600,2242563289088,89280130944,960001408,5293447763712,192002880,0,0,18192545760,0,0,0,144004320,0,0,0,0,336023520,192013440,0,0,48003360,49057471680,1534082249984,70706121120,63073892160,2280957600,1968137760,96006720,0,0,0,0,0,0,290880426624,1489922185216,4264326254336,456960670208,5233927676416,4126086051584,291428202240,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43f2b0
malloc_consolidate,3456955186020,2465683554360,1845107491260,20016600480,1344040320,834745041600,241639248960,9506851200,3120093600,528015840,2520003696000,364800535040,197760290048,110400161920,744961092608,1920002816,6528195840,624018720,576017280,499200732160,432960635008,19200028160,12480018304,32882301600,1338241962752,48000070400,0,653760958848,288004320,0,0,8064241920,1440100800,0,0,0,0,0,0,0,240016800,0,0,0,0,18000540000,822721206656,20256607680,18384551520,168070560,864060480,0,0,0,0,0,0,0,27840040832,240000352000,564480827904,175680257664,3275524804096,3120004576000,120208851840,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI_,3163182848100,2954764094880,2224953444120,24528735840,768023040,1707171213600,139972199040,17083523520,528015840,144004320,2969284354944,234240343552,115200168960,39360057728,969601422080,15360022528,62497874880,1104033120,816024480,716161050368,575040843392,1920002816,21120030976,74645224800,2785924086016,35520052096,0,434880637824,1536023040,0,576017280,5136154080,48003360,0,0,0,0,0,0,0,240016800,0,0,0,0,1488044640,1727042532992,13632408960,13824414720,408171360,240016800,0,0,0,0,0,0,0,96960142208,433920636416,744961092608,196800288640,4233606209280,2828164147968,166797224160,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
func@0xbcd30,2128229381880,1709051777160,1313455162800,13872416160,432012960,917307518400,144004320,7835950080,48001440,96002880,1753922572416,26880039424,17280025344,5760008448,489600718080,5760008448,50305509120,2832084960,48001440,382080560384,312000457600,0,16320023936,56931984960,1294081897984,166080243584,0,40320059136,672010080,0,0,4272128160,0,0,0,0,0,0,0,0,0,0,0,0,0,192005760,887041300992,2064061920,2064061920,24010080,0,0,0,0,0,0,0,0,11520016896,247680363264,781441146112,90240132352,1568642300672,1835522692096,73375606080,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",2072337034500,3367401424920,2433522203640,28752862560,6000180000,948508454400,83666509920,11043312000,0,48001440,3525125170176,0,3840005632,960001408,280320411136,5760008448,0,480014400,0,409920601216,312960459008,0,509760747648,3072215040,1332481954304,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748801098240,48001440,0,0,0,0,0,0,0,0,0,0,30720045056,72960107008,113280166144,543360796928,2862724198656,2814724128256,177677287200,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
