Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
buildLocalMapCounter,70279208313000,146978369218800,108807144116400,1195379860320,46705401120,32442733252800,2266772001120,405414387840,20064601920,10560316800,148478617768320,89424131155200,11800337307136,7516811024640,105561754823680,550080806784,1957402720320,31152934560,1632048960,16820184669568,10080014784000,27840040832,76800112640,179004529440,25776037804800,844801239040,3840005632,96065420895744,16800252000,0,0,75842275200,48003360,0,0,192005760,0,0,0,0,1008070560,96006720,48003360,0,240016800,661507844640,31302765910656,357850735200,349450483200,3361411200,4224295680,912063840,0,0,0,0,0,0,26736039212800,92882056226816,123212340711168,11589136997376,66752737903872,59454807200256,5913592745760,driverForGraphClustering,"buildLocalMapCounter(long, long, std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, edge*, long*, long)",utilityClusteringFunctions.cpp,0x43dea0
_int_free,17496224871000,9365860967400,6966208980000,76130283840,3024090720,4217406518400,1958170743360,57694103040,2016060480,768023040,9345613706880,238080349184,165120242176,70080102784,2017922959616,15360022528,2304069120,672020160,144004320,2405763528448,2048643004672,181440266112,13440019712,47139299520,6576009644800,9600014080,0,570240836352,1344020160,0,4656139680,32976989280,145210164000,0,0,0,0,0,0,0,48003360,0,0,0,0,9168275040,4114566034688,12192365760,12624378720,96040320,48003360,0,0,0,0,0,0,0,134400197120,842881236224,1509122213376,894721312256,15571222837760,16671384451328,621805685760,libc-2.29.so,_int_free,malloc.c,0x950c0
__GI___libc_malloc,13504605126000,48862165821000,36501855022800,390251707200,17664529920,3223536703200,1310295307680,38209859520,1392041760,2256067680,48337990895616,24042275261952,23836834960640,576000844800,41813821326848,67200098560,65473964160,4320129600,10560316800,2206083235584,2060163021568,12480018304,39360057728,50307521280,5180167597568,83520122496,960001408,24655716161664,42144632160,0,288008640,41281238400,164555518080,0,0,0,0,19210560,0,0,0,96006720,0,0,0,10656319680,3142084608384,12912387360,4704141120,7179013920,240016800,0,0,48001440,0,0,0,0,270720397056,4675206856960,31112685631872,3275524804096,13165459309312,12913938940416,750431461920,libc-2.29.so,__GI___libc_malloc,malloc.c,0x98a40
std::_Rb_tree_insert_and_rebalance,12948388440000,9907257208800,7416582490800,80594417760,3504105120,3914037417600,2106207184320,41407618560,576017280,336010080,9630734125056,90240132352,53760078848,23040033792,2553603745280,15360022528,67010010240,9216276480,6288188640,2319363401728,1767362592128,15360022528,91200133760,82325762400,6072968907008,456960670208,960001408,276480405504,2880043200,0,0,23952718560,0,0,0,0,0,0,0,0,48003360,0,0,0,0,2496074880,3888965703808,9072272160,7440223200,48020160,48003360,0,0,0,0,0,0,0,80640118272,1453442131712,4242246221952,579840850432,12113297766144,11182096400384,371084091840,libstdc++.so.6.0.26,"std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)",[Unknown],0xbced0
_int_malloc,12642979278000,8606058174000,6391271732400,70850125440,3696110880,2082782481600,2465353958400,36577369920,912027360,240007200,8429772363648,347520509696,243840357632,77760114048,2067843032832,26880039424,9120273600,3696110880,1536046080,2121603111680,1859522727296,1920002816,98880145024,32402268000,3500165133568,130560191488,960001408,512640751872,4992074880,0,54337630080,21936658080,71861029920,0,0,0,0,9605280,0,0,0,0,0,0,0,5664169920,2066883031424,31344940320,33168995040,312131040,144010080,0,0,0,0,0,0,0,95040139392,1463042145792,3893765710848,552960811008,11771537264896,12368658140672,415353368640,libc-2.29.so,_int_malloc,malloc.c,0x966c0
max,4417332516000,6259027765200,4590137700000,51409542240,2496074880,1678610356800,67250017440,19954784640,4032120960,1632048960,6422409419520,2929924297216,2492163655168,1330561951488,3373444947712,34560050688,917307518400,912027360,576017280,1029121509376,798721171456,0,37440054912,17953256640,2027522973696,90240132352,0,5022727366656,192002880,0,0,19152574560,0,0,0,96002880,0,0,0,0,288020160,0,0,0,0,47329419840,1627202386560,67730031840,64705941120,2425018080,1824127680,48003360,0,0,0,0,0,0,313920460416,1582082320384,3985925846016,443520650496,5107207490560,4295046299392,237541641120,driverForGraphClustering,"max(std::map<long, long, std::less<long>, std::allocator<std::pair<long const, long>>>&, std::vector<double, std::allocator<double>>&, double, comm*, double, long, double)",utilityClusteringFunctions.cpp,0x43e9b0
malloc_consolidate,3496004877000,2440273206000,1897976937600,20880626400,1248037440,827304818400,231990959520,9967789440,3360100800,432012960,2419203548160,399360585728,232320340736,115200168960,789121157376,0,10080302400,480014400,576017280,513600753280,495360726528,14400021120,11520016896,33026311680,1297921903616,65280095744,0,820801203840,480007200,0,0,6480194400,2112147840,0,0,0,0,0,0,0,144010080,48003360,0,0,0,15120453600,831361219328,20016600480,19920597600,288120960,384026880,0,0,0,0,0,0,0,24000035200,272640399872,639360937728,178560261888,3285124818176,3073924508416,100964680320,libc-2.29.so,malloc_consolidate,malloc.c,0x94880
__GI_,3202596075000,3007290216000,2269868094000,25296758880,528015840,1670690119200,151348540320,17736519360,720021600,144004320,3024004435200,211200309760,145920214016,54720080256,890881306624,10560015488,55873676160,432012960,336010080,738241082752,599040878592,960001408,18240026752,76565359200,2808964119808,44160064768,0,423360620928,1536023040,0,864025920,5568167040,0,0,0,0,0,0,0,0,144010080,0,0,0,0,1296038880,1655042427392,13968419040,15648469440,48020160,144010080,0,0,0,0,0,0,0,91200133760,422400619520,768961127808,165120242176,4392966443008,2993284390144,152023193280,libc-2.29.so,"float __GI_(long, int, bool, char)",malloc.c,0x991d0
func@0xbcd30,2452873584000,1809834293400,1369481083200,14400432000,432012960,999869995200,0,7855155840,48001440,48001440,1872002745600,13440019712,17280025344,3840005632,445440653312,3840005632,51649549440,2064061920,0,419520615296,341760501248,0,17280025344,59524166400,1307521917696,187200274560,0,48960071808,576008640,0,0,4368131040,0,0,0,0,0,0,0,0,0,0,0,0,0,480014400,1030081510784,1824054720,1968059040,0,0,0,0,0,0,0,0,0,8640012672,311040456192,849601246080,134400197120,1645442413312,2183043201792,73682898240,libstdc++.so.6.0.26,func@0xbcd30,[Unknown],0xbcd30
"_INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>",1938058140000,3050971526400,2216226484800,21648649440,3600108000,730581916800,62209866240,8642592000,0,0,2681283932544,3840005632,0,960001408,284160416768,0,0,0,0,352320516736,285120418176,960001408,491520720896,4080285600,1065601562880,1920002816,0,2880004224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732481074304,0,0,24010080,0,0,0,0,0,0,0,0,12480018304,88320129536,195840287232,370560543488,2482563641088,2449923593216,126066608640,libiomp5.so,"bool _INTERNAL_25_______src_kmp_barrier_cpp_ddfed41b::__kmp_wait_template<kmp_flag_64, (int)1, (bool)0, (bool)1>(kmp_info*, kmp_flag_64*, void*)",kmp_wait_release.h,0x62210
